question,answer,
大陷胸丸与大陷胸汤鉴别,同属泻热逐水之剂，均治水热互结之结胸证。但大陷胸汤证以从心下至少腹硬满而痛不可近为主；大陷胸丸证则以胸中硬满而痛，项强如柔痉状为主，邪结部位偏上，故在大陷胸汤基础上加苇房子、杏仁以泻肺，并将汤剂改作丸，用臼蜜煎服，取缓攻之意。 ,
大陷胸汤方论选录,治太阳病表邪不解，而反下之，热陷于里，其人素有水饮停胸，以致水热互结心下，满而硬痛，手不可近，不大便，舌上燥而渴，成结胸胃实之证。以甘遂之行水直达所结之处，而破其溜褒，大黄荡涤邪热，芒硝咸润软坚。三者皆峻下之品，非表邪尽除、内有水热互结者，不可用之。（张秉成《成方便读》卷一 ） ,
大陷胸汤方歌,大陷胸汤用硝黄，甘遂一克效力强，擅疗热实结胸证，泻热逐水效专长。 ,
温下剂适用于哪里,里寒积滞实证。代表方如大黄附子汤、温脾汤等。,
大黄附子汤选自,《金匮要略》,
大黄附子汤组成,大黄三两(9g)附子炮，三枚(12g)细辛二两(3g),
大黄附子汤用法,上三味，以水五升，煮取二升，分温三服；若强人煮二升半，分温三服。服后如人行四五里，进一服（现代用法,水煎服）。
大黄附子汤功用,温里散寒，通便止痛。,
大黄附子汤主治,寒积里实证。腹痛便秘，胁下偏痛，发热，畏寒肢冷，舌苔白腻，脉弦紧。,
大黄附子汤证治机理,本方所治之寒积里实证为里寒积滞内结，阳气不运所致。阴寒凝滞，冷积内结，腑气不通，故腹痛便秘、胁下偏痛；积滞阻结，气机被郁，故见发热；阳气不运，则畏寒肢冷；舌苔臼腻、脉弦紧，是寒实内结之象。治宜温里散寒，通便止痛。,
大黄附子汤方解,方中重用附子温里助阳，散寒止痛，为君药。里已成实，虽用温药以祛其寒，同时亦需配伍泻下之品以通其结，故以大黄通导大便，荡涤肠道积滞，为臣药。大黄性虽寒，与大辛大热之附子相伍，其寒性去而走泄之性存，为“去性存用”之制。附子、大黄并用，前者散寒助阳，后者通积导滞，是温下法的常用配伍。佐以细辛，辛温宣通，既散寒结以止痛，又助附子温里祛寒。三药并用，苦寒辛热合法，相反相成，共奏温里散寒、攻下寒积之效。,
大黄附子汤运用,本方为温下法之基础方，乃治疗寒积里实证之代表方。以腹痛便秘，手足不温，苔白腻，脉弦紧为辨证要点。方中附子用量应大于大黄，以达温里散寒、泻结行滞之目的。,
大黄附子汤方论选录,胁下偏痛而脉紧弦，阴寒成聚，偏着一处，虽有发热，亦是阳气被郁所致。是以非温不能已其寒，非下不能去其结，故曰宜以温药下之。程氏曰大黄苦寒，走而不守，得附子、细辛之大热，则寒性散而走泄之性存是也。（尤怡《金匮要略心典》）,
大黄附子汤医案举例,脾肾之阳素亏，醉饱之日偏多。腹痛拒按，自汗如雨，大便三日未行，舌垢腻，脉沉实。湿痰食滞，团结千内，非下不通，而涉及阳虚之体，又非温不动。许学士温下之法，原从仲景大实痛之例化出，今当宗之。制附子五分，肉桂四分，干姜五分，生大黄四钱，积实一钱五分，厚朴一钱。再诊，大腑畅行，痛止汗收，神思倦而脉转虚细，拟养胃和中。（《柳选四家医案》）,
大黄附子汤方歌,大黄附子细辛汤，散寒通便止痛良，寒积里实服此方，邪去正安腹通畅。,
温脾汤出自,《备急千全要方》卷十三,
温脾汤组成,当归 干姜各三两（各9g) 附子 人参 芒硝各二两（各6g) 大黄五两(15g) 甘草二两(6g),
温脾汤用法,上七味，哎咀，以水七升，煮取三升，分服，日三（现代用法水煎服，后下大黄）。,
温脾汤功用,攻下冷积，温补脾阳。,
温脾汤主治,阳虚冷积证。便秘腹痛，跻周绞痛，手足不温，苔臼不渴，脉沉弦而迟。,
温脾汤证治机理,本方所治之阳虚冷结证为脾阳不足，寒积中阻所致。脾阳不足，运化失常，冷积中阻，腑气不通，故便秘腹痛、跻周绞痛；阳气不足，四肢失于温煦，故手足不温；苔白不渴，脉沉弦而迟，是阴寒里实之象。治宜攻下寒积，温补脾阳。,
温脾汤方解,方中附子大辛大热，温脾阳以散寒凝；干姜温中助阳，增附子温阳祛寒之力；大黄苦寒沉降，荡涤泻下而除积滞；芒硝软坚，助大黄泻下攻积，四药相配，温下以攻逐寒积。脾阳虚弱，脾气亦惫，运化无力，故入人参、甘草补益脾气，且二者与附子、干姜相伍，有阳虚先益气之意。甘草尚能调药和中。当归养血润燥，既润肠以资泻下，又使泻下而不伤正。诸药合用，辛热甘温咸寒合法，寓补于攻，温下相成，共成泻下冷积，温补脾阳之剂。,
温脾汤运用,本方为治疗脾阳不足、冷积内停证之常用方。以便秘腹痛，得温则缓，倦怠少气，手足欠温，苔白，脉沉弦为辨证要点。,
温脾汤附方,温脾汤（《备急千金要方》卷十五）大黄四两(12g) 附子大者一枚(12g) 干姜人参甘草各二两（各6g)上五味，呋咀，以水八升，煮取二升半，分三服。功用攻下寒积，温补脾阳。主治下利赤白，连年不止，霍乱，脾胃冷积不消，手足欠温，苔白不渴，脉沉弦而迟。,
温脾汤鉴别,温脾汤与大黄附子汤同属温下剂，组成中均有大黄、附子，皆具温阳泻下、攻下寒积之功，用治寒积腹痛便秘。但温脾汤又伍以当归、干姜、人参、芒硝、甘草，寓温补于攻下之中，下不伤正，主治脾阳不足、冷积阻滞之便秘腹痛，证属虚中夹实；大黄附子汤以大黄、附子配细辛，通便止痛，辛温宣通力强，主治寒积腹痛之里实证。《备急千金要方》＂卷十三”和“卷十五”之温脾汤二方皆含附子、大黄，均有温下之功。但“卷十五”之温脾汤较＂卷十三”之温脾汤少芒硝、当归，大黄减至四两，且附子用最大于干姜，该方所治为久利赤白，虽有寒积，但其证大便自利，故只用大黄，并减其用量，同时重用附子，意在以温阳为主；而“卷十三”之温脾汤治证为大便不通，肪腹绞痛，其证以寒积为主，故芒硝、大黄并用，同时重用干姜。,
温脾汤方论选录,张秉成《成方便读》卷一提及此方治寒积之一法也。凡积之所成，无不由于正气之虚，故以参、甘以培其气，当归以养其血，使气血复其常度，则邪去而正乃不伤。病因寒起，故以姜、附之辛热，使其走者走，守者守，祛寒散结，纤悉无遗，而后硝、黄导之，由胃入肠，何患乎病不去哉？,
温脾汤方歌,温脾参附与干姜，甘草当归硝大黄，寒热并行治寒积，脐腹绞结痛非常。,
三物备急丸出自,《全匮要略》,
三物备急丸组成,大黄－两(30g)、干姜一两(30g)、巴豆去皮、心，熬，外研如脂，一两(30g),
三物备急丸用法,"先捣大黄、干姜为末，研巴豆内中，合治一千才午，用为散，蜜和丸亦佳，密器中贮之，勿令泄。以暖水若酒服大豆许三四丸，或不下，捧头起，灌令下咽，须臾当癒。如未痉，更与三丸，当腹中呜，即吐下，便搓；若口噤，亦须折齿灌之（现代用法为丸剂，成人每服0.6-1.5g,用米汤或温开水送下；若口噤不开者，用鼻饲法给药）。",
三物备急丸功用,攻下寒积。,
三物备急丸主治,寒实腹痛。猝然心腹胀痛，痛如锥刺，气急口噤，大便不通。,
三物备急丸证治机理,本证由饮食不节，冷食积滞，阻结胃肠，或暴饮暴食之后，又复感寒邪，以致气机不行，甚则气机逆乱所致，故见猝然心腹胀痛，痛如锥刺，气急口噤，大便不通。此时非用下篇各论第二章泻下剂大辛大热之品，不能开结散寒；非用急攻峻下之品，不能祛其积滞。,
三物备急丸方解,方中巴豆辛热峻下，“开窍宣滞，去脏腑沉寒”(《本草从新》），为君药。干姜辛温，温中兼能散结，助巴豆辛热峻下，攻逐肠胃冷积，为臣药。佐以大黄，荡涤胃肠积滞，推陈致新。大黄苦寒之性，既为巴豆、干姜辛热所制，又能监制巴豆辛热之毒，乃相反相成之伍，《本草纲目》言巴豆得大黄则＂泻人反缓＂。诸药合用，苦寒泻下与辛热峻下合法，相反相成，共成温下峻剂。,
三物备急丸运用,本方为治疗寒实冷积，暴急之证之常用方。以猝然心腹胀痛，大便不通，苔白，脉沉实为辨证要点。本方重在攻除冷积，服药后或吐或泻，是邪去之象，故方后云”当腹中鸣，即吐下便痉＂。若服药后不下，或下之不快，可服热粥以助药力。巴豆毒性较大，对胃肠刺激较强，当依据病情轻重选择剂量。孕妇、年老体弱者，均当慎用。若服用本方后泻下较剧烈，可以服冷粥止泻。,
三物备急丸方论选录,王子接《绛雪园古方选注》提及“备，先具以待用也。急，及也，谓临事之迫也。”《金匮》以备急丸救中恶客忤、神昏口噤者，折齿灌之立苏，若临时制药则无及矣。巴豆辛热大毒，生用性急，开通水谷道路之闭塞，荡练五脏六腑之阴霾，与大黄性味相畏，若同用之，泻人反缓。妙在生大黄与生干姜同捣，监制其直下之性，则功专内通于心，外启胃之神明，协助心神归舍，却有拨乱反正之功。,
三物备急丸医案举例,虞恒德治一妇，年五十余，身材瘦小，得大便燥结不通，饮食少进，小腹作痛。虞诊之，六脉皆沉伏而结涩。作血虚治，用四物汤加桃仁、麻仁、煨大黄等药，数服不通，反加满闷。与东垣积实导滞丸及备急大黄丸等药，下咽片时即吐出，盖胃气虚而不能久留性速之药耳。遂以备急大黄丸外以黄蜡包之，又以细针穿一窍，令服三丸，盖以蜡匮者，制其不犯胃气，故得出幽门，达大小肠也。明日，下燥屎一升许，继以四物汤加减作汤，使吞润肠丸。如此调理月余，得大便如常，饮食进而安。（《名医类案》卷九）,
三物备急丸方歌,三物备急巴豆研，干姜大黄炼蜜丸，猝然腹痛因寒积，速投此方急救先。,
润下剂适用,干津枯肠燥所致大便秘结证。代表方如麻子仁丸、五仁丸、济川煎等。,
麻子仁丸出自,又名脾约丸，《伤寒论》,
麻子仁丸组成,麻子仁二升(20g)、芍药半斤(9g)、枳实炙，半斤(9g)、大黄去皮，一斤(12g)、厚朴炙去皮，一尺(9g)、杏仁去皮尖，熬，别作脂，一升(10g),
麻子仁丸用法,"上六味，蜜和丸，如梧桐子大，饮服十丸，日三服，渐加，以知为度（现代用法为药研为末，炼蜜为丸，每次9g,每日1~2次，温开水送服；亦可作汤剂，水煎服）。",
麻子仁丸功用,润肠泄热，行气通便。,
麻子仁丸主治,脾约证。大便干结，小便频数，院腹胀痛，舌红苔黄，脉数。,
麻子仁丸证治机理,本方所治乃《伤寒论》之脾约证，由肠胃燥热，脾津不足，肠道失于濡润所致。《伤寒明理论》云＂脾主为胃行其津液者也。今胃强脾弱，约束津液，不得四布，但输膀胱，致小便数而大便硬，故曰其脾为约。”即由于胃肠燥热，使脾受约束而失其布津之职，津液但输膀胱则致肠失濡润，故大便干结、小便频数、胱腹胀痛、舌红苔黄、脉数。治宜润肠通便，泄热行气。,
麻子仁丸方解,方中麻子仁性味甘平，质润多脂，润肠通便。肺与大肠相表里，宣降肺气有助于通降肠腑，故配杏仁肃降肺气而润肠；白芍养阴和里以缓急；大黄苦寒沉降，泻热通便以通腑；枳实、厚朴行气破结消滞，以助腑气下行而通便；蜂蜜润燥滑肠，调和诸药。诸药合用，泻下与润下相伍，泻而不峻，下不伤正，使燥热去，腑气通，阴液复，脾津布，而大便自调。,
麻子仁丸运用,本方为治疗胃热肠燥便秘之常用方。以大便秘结，小便频数，或胱腹胀痛，舌质红，苔薄黄，脉数为辨证要点。用法中要求“饮服十丸＂，强调＂渐加，以知为度”，即应从小剂量逐渐加量，以取效为度。,
麻子仁丸鉴别,麻子仁丸即小承气汤加麻子仁、杏仁、白芍、蜂蜜组成。方中虽法取小承气汤之轻下热结，但服用量较小，更用质润多脂的果仁类药物麻子仁、杏仁配伍白芍、蜂蜜，既益阴润肠以通便，又减缓小承气汤之攻伐，使全方下不伤正。本方意在润肠通便，属缓下之剂。,
麻子仁丸方论选录,胃强脾弱，不能四布津液濡润大肠，后便燥结者，此方主之。润可以去燥，麻仁、杏仁、芍药是也；苦可以胜燥，积实、厚朴、大黄是也。（吴峎《医方考》卷二）,
麻子仁丸方歌,麻子仁丸小承气，杏芍麻仁治便秘，胃热津亏解便难，润肠通便脾约济。,
五仁丸出自,《世医得效方》,
五仁丸组成,桃仁、杏仁敖炒，去皮尖，各一两（各15g)、松子仁－钱二分半(9g)、柏子仁半两(5g)、郁李仁炒，一钱(5g)、陈皮另研末，四两(15g),
五仁丸用法,"将五仁别研为膏，再入陈皮末研匀，炼蜜为丸，如梧桐子大，每服五十丸，空心米饮送下（现代用法五仁研为膏，陈皮为末，炼蜜为丸，每服9g,每日l~2次，温开水送服；亦可作汤剂，水煎服）。",
五仁丸功用,润肠通便。,
五仁丸主治,津枯便秘。大便干燥，艰涩难出，以及年老或产后血虚便秘。,
五仁丸证治机理,素体阴虚，或年老阴气自半，津液日亏，或产后失血，血虚津少，均可导致津枯肠燥，大肠传导失司，大便艰难，发为津枯便秘。治宜润肠通便。,
五仁丸方解,本方以质润多脂之杏仁滋肠燥，降肺气，利大肠传导之职，“通大肠气秘＂（《本草从新》）；桃仁润燥滑肠，“通大肠血秘＂（《本草从新》）；柏子仁性多润滑，＂润肺治燥……治虚秘＂（《本草纲目》）；郁李仁质润性降，润滑肠道，专治肠胃燥热、大便秘结；松子仁润五脏，“治大肠虚秘＂（《本草从新》）；复以陈皮理气行滞，使气行则大肠得以运化。炼蜜为丸，更能助其润下之功。五仁合用，主以质润，润中寓行，肠肺同调，润肠通便不伤津液，用治津枯肠燥之便秘。,
五仁丸运用,本方为润肠通便之常用方。以大便秘结，口干渴饮，舌燥少津，脉细涩为辨证要点。方中桃仁、郁李仁均能活血，故孕妇慎用。,
五仁丸附方,润肠丸（《脾胃论》）大黄去皮、当归梢、羌活各五钱（各15g)、桃仁汤浸，去皮尖，一两(30g)、麻子仁去皮取仁，一两二钱五分(37.5g)，上除麻仁另研如泥外，余为细末，炼蜜为丸，如梧桐子大。每服五十丸，空心用白汤送下。功用为润肠通便，活血祛风。主治为饮食劳倦，风结血结。症见大便秘涩或千燥闭塞不通，全不思食。,
五仁丸鉴别,五仁丸与润肠丸均为润肠通便之剂。但五仁丸以润燥为主，配伍少量行气导滞之陈皮组方，善治津亏肠燥之便秘证；润肠丸以当归、桃仁、麻子仁等养血润肠通便之品为主，配伍大黄、羌活等泻下活血祛风之品组方，主治风热入千大肠所致之风结、血结之证。,
五仁丸医案举例,某，高年下焦阴弱，六腑之气不利，多痛，不得大便，乃幽门之病。面自脉小，不可峻攻，拟五仁润燥，以代通幽，是王道之治。火庥仁、郁李仁、柏子仁、松子仁、桃仁、当归、白芍、牛膝。（《临证指南医案》）,
五仁丸方歌,五仁柏子杏仁桃，松子陈皮郁李饶，炼蜜为丸米饮下，润肠通便效力高。,
济川煎出自,《景岳全书》,
济川煎组成,当归三至五钱(9~15g)、牛膝二钱(6g)、肉从蓉酒洗去咸，二至三钱（6~9g)、泽泻－钱半(4.5g)、升庥五分至七分或一钱(1.5~3g)、积壳一钱(3g),
济川煎用法,水一蛊半，煎七分，食前服（现代用法水煎服）。,
济川煎功用,温肾益精，润肠通便。,
济川煎主治,肾虚便秘。大便秘结，小便清长，腰膝酸冷，舌淡苔臼，脉沉迟。,
济川煎证治机理,本方所治之肾虚便秘证为肾虚精亏，开阖失司所致。肾司气化而主二便之开阖，肾阳虚弱，气化失司，津液不布，肠失濡润，传导不利，故大便秘结、小便清长；腰为肾之府，肾主骨生髓，肾虚精亏，髓海不充，故腰膝酸软、头晕目眩。舌淡苔臼，脉沉迟为肾精亏虚之象。治宜温肾益精，润肠通便。,
济川煎方解,方中肉从蓉咸温，入肾与大肠经，善于温补肾精、暖腰润肠，为君药，《本草从新》谓其＂补命门相火，滋润五脏，峻补精血，滑大便。”当归养血和血，润肠通便；牛膝补肾壮腰，善行于下，二者共为臣药。积壳宽肠下气助通便，《本草纲目》卷十六云“利肠胃，大肠秘塞、里急后重，又以积壳为通用”；泽泻性降，渗利泄浊，共为佐药。少加升麻升举清阳，使清升浊降以助通便，用为佐使。诸药合用，寓通于补，既可温肾益精以治其本，又能润肠通便以治其标，而成标本兼顾之剂。方名“济川＂，意在滋润河川以行舟车。,
济川煎运用,本方为治疗肾虚便秘之常用方。以便秘，小便清长，腰膝酸冷，舌淡苔白，脉虚弱为辨证要点。原著载“如气虚者，但加人参无碍；如有火，加黄芩；若肾虚，加熟地。”,
济川煎附方,半硫丸（《太平惠民和剂局方》）半夏汤浸七次，焙干，为细末硫黄明净好者，研令极细，用柳木梩子杀过，各等分，以生姜自然汁同熬，入干蒸饼末搅和匀，入臼内忤数百下，丸如梧桐子大。每服空心，温酒或生姜汤送下十五丸至二十丸，妇人醋汤下。功用温肾祛寒，通阳泄浊。主治为老人下元虚冷便秘，或阳虚寒湿久泻。,
济川煎鉴别,济川煎与半硫丸皆可治疗阳虚便秘。济川煎所治为肾阳虚衰、精津不足之证，可见大便秘结伴腰膝酸软等；半硫丸治证阳虚较重，便秘或腹泻伴见手足不温、腹中冷痛等。,
济川煎方论选录,夫济川煎，注重肝肾，以肾主二便，故君以炊蓉、牛膝，滋肾阴以通便也；肝主疏泄，故臣以当归、积壳，一则辛润肝阴，一则苦泄肝气。妙在升麻升清气以输脾，泽泻降浊气以输膀胱，佐蓉、膝以成润利之功。（俞根初《重订通俗伤寒论》）,
济川煎方歌,济川归膝肉欢蓉，泽泻升麻积壳从，肾虚精亏肠中燥，寓通于补法堪宗。,
逐水剂适用,水饮壅盛于里之实证。代表方如十枣汤、禹功散等。,
十枣汤出自,《伤寒论》,
十枣汤组成,芫花熬、甘遂、大戟各等分,
十枣汤用法,"三味等分，各别捣为散。以水一升半，先煮大枣肥者十枚，取八合去滓，内药末。强人服一钱匕(2g)，羸人服半钱(lg)，温服之，平旦服。若下少病不除者，明日更服，加半钱。得快下利后，糜粥自养（现代用法三药研细末，或装入胶襄，每次服0.5~lg,每日l次，以大枣10枚煎汤送服，清晨空腹服，得快下利后，糜粥自养）。",
十枣汤功用,攻逐水饮。,
十枣汤主治,l．悬饮。咳唾胸胁引痛，心下疮硬，干呕短气，头痛目眩，或胸背掣痛不得息，舌苔白滑，脉沉弦。2．水肿。一身悉肿，尤以身半以下为重，腹胀喘满，二便不利，脉沉实。,
十枣汤证治机理,本证系水饮壅盛，停聚于里，内外泛滥所致。饮停胸胁，上迫于肺，气机阻滞，则咳唾引胸胁疼痛，甚或胸背掣痛不得息；水饮停于心下，则心下疮硬，干呕短气；上扰清阳，则头痛目眩；水饮泛溢肢体，则成水肿；阻滞胸腹，气机壅塞，则腹胀喘满；舌苔白滑，脉沉弦均为水饮壅盛之象，治当遵循“留者攻之”“有水可下之”的原则，宜攻逐水饮。,
十枣汤方解,方中甘遂苦寒有毒，善行经隧之水湿；大戟苦寒，善泻脏腑之水邪；芫花辛温，善消胸胁伏饮痰癖。三药峻烈，各有所长，合而用之，峻泻攻逐，可将胸腹积水迅速逐出体外。大枣煎汤送服，取其益脾缓中，防止逐水伤及脾胃，并缓和诸药毒性，使邪去而不伤正，且寓培土制水之意。《医方集解》载＂芫花、大戟性辛苦以逐水饮；甘遂苦寒，能直达水气所结之处，以攻决为用；三药过峻，故用大枣之甘以缓也，益土所以胜水，使邪从二便而出也。”,
十枣汤运用,本方为峻下逐水法之基础方，是治疗悬饮、水肿实证之代表方。以咳唾胸胁引痛，或水肿腹胀，二便不利，脉沉弦为辨证要点。本方服法乃“三药”为末，枣汤送服；“平旦“空腹服之；从小剂量始，据证递加；“得快下利后”，停后服，＂糜粥自养＂。因其逐水之力峻猛，只宜暂用，不可久服；孕妇忌服。,
十枣汤附方,1．舟车丸（《太平圣惠方》录自《袖珍方》）组成为黑丑头末，四两(120g)、甘遂面裹煮、芫花、大戟俱醋炒，各一两（各30g)、大黄二两(60g)、青皮、陈皮、木香、槟榔各五钱（各15g)、轻粉－钱(3g)上为末，水糊丸如小豆大，空心温水下，初服五丸，日三服，以快利为度。功用为行气逐水。主治为水热内壅，气机阻滞证。症见水肿水胀，口渴，气粗，腹坚，二便秘涩，脉沉数有力。2．控涎丹（《三因极一病证方论》，又名妙应丸、子龙丸），组成为甘遂去心、紫大戟去皮、白芥子各等分上为末，煮糊丸如梧子大，晒干，食后临卧，淡姜汤或熟水下五七丸至十丸(2~3g)。如痰猛气实，加数丸不妨。功用祛拔逐饮。主治为痰涎伏在胸脱上下，忽然胸背、手脚、颈项、腰膀隐痛不可忍，连筋骨，牵引钓痛，走易不定，或令头痛不可举，或神志昏倦多睡，或饮食无味，拔唾稠黏，夜间喉中痰鸣，多流涎唾，手脚重，腿冷痹。3．甘遂半夏汤（《金匮要略》）组成为甘遂大者三枚(2g)、半夏十二枚(5g)，以水一升，煮取半升，去滓，芍药五枚(10g)、甘草炙，如指大一枚(3g)上四味，以水二升，煮取半升，去滓，以蜜半升，和药汁，煎取八合，顿服之。功用化亵逐饮。主治留饮脉伏，其人欲自利，利后虽自觉轻快，但心下仍然坚满者。,
十枣汤鉴别,十枣汤、舟车丸、控涎丹、甘遂半夏汤皆为逐水之剂。十枣汤为攻逐水饮之通用剂，尤善治悬饮；舟车丸即十枣汤去大枣，加诸多破气之品，尤重加黑丑、轻粉，其逐水之力峻猛，适用于水肿实证而病情急重者，此乃逐水与行气相配，前后二阴水陆并行，故称＂舟车”;控涎丹即十枣汤去芫花、大枣，加白芥子，改为丸剂，其逐水之力较十枣汤略缓，又增祛痰之力，尤能祛皮里膜外之痰，故主治多种伏痰之证；甘遂半夏汤只用甘遂加半夏、芍药、甘草，其逐水之力尤缓，加半夏和胃化痰，且方中甘遂与甘草为伍，相反相成，激发药力，独具匠心，主治留饮心下坚满。,
十枣汤方论选录,表邪已罢，非汗散之法所宜；里邪充斥，又非淡渗之品所能胜。非选利水之所至峻者以直折之，中气不支，束手待毙耳。甘遂、芫花、大戟三味，皆辛苦气寒而禀性最毒，并举而用之，气味合柜济相须，故可交相去邪之巢穴，决其渎而大下之，一举而水患可平也。然水利所凑，其元气已虚，而毒药攻邪，必脾胃反弱，使无健脾调胃之品为主宰，邪气尽，而大命亦随之矣。故选十枣之大而肥者以君之，一以培脾土之虚，一以制水气之横，一以解诸药之毒。得一物而三善备，既不使邪气之盛而不制，又不使元气之虚而不支，此仲景立法之尽善也。（罗美《古今名医方论》卷三）,
十枣汤方歌,十枣逐水效堪夸，大戟甘遂与芫花，悬饮内停胸胁痛，大腹肿满用无差。,
禹功散来自,《儒门事亲》,
禹功散组成,黑牵牛头末，四两(12g)、茼香炒，一两(3g)、或加木香一两(3g),
禹功散用法,"上为细末，以生姜自然汁调一二钱(3~6g)，临卧服（现代用法二药为散，每服3g,食后临卧，以生姜汁或温开水送服；亦可作汤剂，水煎服）。",
禹功散功用,逐水通便，行气消肿。,
禹功散主治,阳水。遍身水肿，腹胀喘满，大便秘结，小便不利，脉沉有力。,
禹功散证治机理,本证系水湿壅盛泛溢所致。泛溢肌肤，则遍身水肿；内聚脏腑，气机阻滞，则大便秘结、小便不利；脉沉有力为水湿内结之象。治宜逐水通便，行气消肿。,
禹功散方解,方中牵牛子苦寒，通利二便，逐水消痰为君药。小茼香辛温芳香，行气止痛，与牵牛相伍，既能增其逐水之功，又尤寒凝碍水之弊，为臣药。姜汁调服，利水和胃为佐药。诸药配伍，逐水通便之中佐辛散行气之品，共奏逐水消肿之功，因其逐水之力，“如神禹决水”，故名“禹功散”。,
禹功散运用,本方为治疗水湿泛溢阳水证之常用方。以遍身浮肿，二便不利，脉沉有力为辨证要点。孕妇及年老体弱者慎用。,
禹功散附方,导水丸（《估门事亲》）大黄二两(6g)、黄芩二两(6g)、滑石四两(12g)、黑牵牛另取头末，四两(12g)上为细末，滴水丸如梧桐子大，每服五十丸(6g)，或加至百丸(12g)，临卧温水下。功用为攻下逐水。主治为水肿。症见遍身浮肿，二便不利，口渴，搜赤，苔黄，脉数。或湿热腰痛，痰湿流注身痛。,
禹功散鉴别,导水丸与禹功散均以牵牛子为主，主治水湿壅盛之水肿，见有二便不利者。导水丸配伍滑石、大黄，其通利二便之力较强，且有黄芩清热之功，主治水肿湿热之证；禹功散配伍少量茼香，逐水之力专，且能行气止痛，主治水肿实证属水气内聚者。,
禹功散方论选录,王子接《绛雪园古方选注》提及禹功者，脾湿肿胀肉坚，攻之如神禹决水。牵牛苦热，入脾泻湿，欲其下走大肠，当从舶茼辛香引之，从戊入丙至壬，开通阳道，走泄湿邪，决之使下，一泻尤余，而水土得平。,
禹功散方歌,《儒门事亲》禹功散，牵牛茼香一同研，行气逐水又通便，姜汁调下阳水痊。,
攻补兼施剂适用,里实正虚证。代表方如黄龙汤、增液承气汤等。,
黄龙汤出自,《伤寒六书》,
黄龙汤组成,大黄(9g)、芒硝(6g)、枳实(9g)、厚朴(9g)、甘草(3g)、人参(9g)、当归(6g),
黄龙汤用法,水二蛊，姜三片，枣子二枚，煎之后，再入桔梗一撮，热服为度（现代用法水煎服）。,
黄龙汤功用,攻下热结，益气养血。,
黄龙汤主治,阳明腑实，气血不足证。下利清水，色纯青，或大便秘结，院腹胀满，腹痛拒按，身热口渴，神倦少气，澹语甚或循衣撮空，神昏肢厥，舌苔焦黄或焦黑，脉虚。,
黄龙汤证治机理,本证系阳明热结腑实，兼气血两虚所致。燥热内结肠中，腑气不通，故大便秘结，或下利清水、色纯青（即“热结旁流”)，院腹胀满，腹痛拒按；里热炽盛，故身热；邪热伤津，故身热口渴，舌苔焦黄或焦黑；气血两伤，则见神倦少气，脉虚；余如神昏澹语、肢厥、循衣撮空等，皆为热结千里、上扰神明之危重证候。治当攻下热结，益气养血。,
