question,answer,source
针灸对机体各系统功能的调整作用有哪些？,大量的临床实践和实验研究证明针灸对机体的各系统、各器官的功能具 有多方面、多环节、多水平及多种途径的调节作用。针灸对各器官、各 系统疾病有治疗作用（如镇痛、止痉、抗感染、抗休克）。,手动录入
针灸实验研究如何进行？,针灸实验研 究多选择以电针为主要针刺方法来干预大鼠疾病模型，从而探讨针灸治 疗疾病的作用机制，针刺的主要靶点为具有多系统调节作用的穴位或相 关疾病的特效穴，如足三里、内关、百会、关元等。,手动录入
针灸实验所研究的疾病种类有哪些？,针灸实验所研究的疾病种类很多，主要是运用各种不同针灸方案研究针灸对呼吸系统、循 环系统、消化系统、血液系统、泌尿系统、生殖系统、内分泌系统、神 经系统等的作用机制，其中中枢神经系统疾病、心脑血管疾病及代谢性 疾病为多，研究深度目前已达分子遗传学水平。,手动录入
针灸实验目前研究阶段？,实验研究目前正在深入 研究针灸疗法的作用特点（如双向性、整体性等）的物质基础和规律， 如针刺信息特征的提取、储存，针刺作为生物电信息等在机体的传入、 整合、编码、传出的信号通路及其规律，针刺疗法对细胞水平的信号传 导途径和规律，针刺疗法对神经系统、对大脑水平影响的整体神经信息 特征。针灸作用原理已经从细胞、分子水平深入到了基因组学、蛋白质 组学、代谢组学水平，并将提升到系统生物学研究层次。,手动录入
针灸实验研究技术的发展与更新,针灸实验研究与研究技术密不可分。针灸机制的研究一直以来就是一个 在方法论不断创新的过程，不同时代、不同学科的研究技术都可以运用 到针灸研究领域。从解剖学、组织形态学、病理学、生物化学、分子生 物学等研究技术到整体行为学、基因组学、蛋白质组学、转录组学、代 谢组学、影像学、表观遗传学、脑功能连接组学等系统生物技术，都在 针灸学实验研究中充分运用。鉴于研究对象人与动物的差异，目前的基 础研究方向正逐步引入各种无创伤性人体检测研究技术，如磁共振、功 能磁共振、单光子发射扫描、正电子发射扫描、红外热像图、脑内光学 成像、脑磁图等并结合虚拟现实、人工智能、生物传感器等前沿技术进 行机制探讨，更真实反映针灸作用原理的本质。,手动录入
囟是什么？,巅顶前为囟。即现代解剖学上的前囟。婴儿额骨与左右顶骨未闭合时，称作囟门，可触及动脉搏动；已合，称作囟骨。,手动录入
颜是什么？,颜 又称庭、天庭，即额部中央。一说指左右眉目之间，一说指面部前 中央。,手动录入
阙是什么？,阙 又名印堂，俗称眉心，两眉之间称阙中；两眉之间微上方称阙上。,手动录入
阙中是什么？,两眉之间称阙中。,手动录入
阙上是什么？,两眉之间微上方称阙上。,手动录入
眉本是什么?,眉本 与眉梢对举，俗称眉头。即眉毛之内侧端。,手动录入
目窠是什么？,目窠 眼眶内凹陷如窝状的巢穴，又称眼窝。,手动录入
目胞是什么？,目胞 俗称眼胞，现称眼睑。又名目裹，上面称上眼睑，下面称下眼 睑。,手动录入
目纲是什么？,目纲 纲，或作网，又称眼弦，现称睑缘。即眼睑边缘生长睫毛处。上 面的称目上纲（网），或上弦，即上睑缘；下面的称目下纲（网），或 下弦，即下睑缘。,手动录入
目内眦是什么？,目内眦 又称大眦，即内眼角。,手动录入
目锐眦是什么？,目锐眦 又称小眦、目外眦，即外眼角。,手动录入
頞是什么？,頞（è）俗称鼻梁、山根，现称鼻根。即两目之间，鼻柱之上凹陷处。,手动录入
针灸中王宫是什么？,王宫 又称明堂骨，俗称鼻柱，即鼻根之下，鼻尖之上。或者指鼻根部。,手动录入
明堂是什么?,明堂 即鼻。一说指鼻尖。,手动录入
鼻准是什么？,鼻准 又称面王。指鼻尖、鼻头、准头。,手动录入
頄是什么？,"頄（qiú）亦称颧，即颧骨，为眼眶外下侧之高骨，或指内鼻旁间的部
位。",手动录入
颃颡是什么？,颃颡（hángsǎng）指上腭与鼻相通的部位，相当于鼻咽部。,手动录入
颏是什么？,颏（kē）又称地阁，俗称下巴，现称下颌骨体。,手动录入
吻是什么？,吻 指口四周之口唇。一说指两口角。,手动录入
顑是什么？,顑（kǎn）指口旁颊前肉之空软处，俗称腮。,手动录入
颐是什么？,颐（yí）口角外下方，腮部前方。,手动录入
颞颥是什么？,颞颥（nièrú）俗称太阳，现称翼点。眉弓外侧，颧骨弓上方。,手动录入
曲隅是什么？,曲隅 又名曲角、曲周，俗称鬓角。位于额角外下两旁，耳前上方的发 际呈弯曲下垂的部分。,手动录入
关是什么？,关 耳前核起之骨。,手动录入
耳蔽是什么？,耳蔽 耳前小珠，俗称耳门，现称耳屏。,手动录入
耳缺是什么？,耳缺 耳屏上切迹。,手动录入
引垂是什么？,引垂 即耳垂。,手动录入
颌是什么？,颌 又称辅车。即下颌骨支，为下颌骨的耳下部分。,手动录入
齿本是什么？,齿本 即牙齿的根部。,手动录入
牙车是什么？,牙车 即牙床,手动录入
曲牙是什么？,曲牙 即下牙床。因其弯曲向前，故名。,手动录入
曲颊是什么？,曲颊 指下颌角部。,手动录入
颊车是什么？,颊车 指下颌骨。,手动录入
舌本是什么？,舌本 即舌根。,手动录入
嗌是什么？,嗌 指食管上口（咽腔），又指喉咙。咽喉部的总称。,手动录入
颔是什么？,颔 颏结喉上，两侧肉之空软处。即下颌底与甲状软骨之间。,手动录入
玉枕骨是什么？,玉枕骨 枕外隆凸两旁高起之骨，现称枕骨上项线。,手动录入
完骨是什么？,完骨 又称寿台骨。指耳后之高骨，现称乳突。,手动录入
柱骨是什么？,柱骨 为颈椎的统称。又称天柱骨。,手动录入
缺盆是什么？,缺盆 指锁骨上窝。,手动录入
巨骨是什么？,巨骨 又称缺盆骨，现称锁骨,手动录入
两叉骨是什么？,两叉骨 指肩胛骨与锁骨相接之处，相当于肩锁关节部。古书称的巨骨穴，在两叉骨间。,手动录入
髃骨是什么？,髃骨 简称髃。又名肩髃、肩端骨，俗称肩头。相当于肩胛冈之肩峰 突。,手动录入
肩解是什么？,肩解 指肩端之骨节解处，现称肩关节。,手动录入
膺是什么？,膺 胸前两旁肌肉隆起处。相当于胸大肌处。,手动录入
膻中是什么？,膻中 两乳之间的部位。,手动录入
骬是什么？,骬（héyū）又称鸠尾、前蔽骨。胸骨下端蔽心之骨。现称胸骨剑突。,手动录入
胠是什么？,胠（qū）腋下胁上，是胁肋的总称。,手动录入
季胁是什么？,季胁 又称季肋、软肋、橛（jué）肋。即胁下软肋的部分。,手动录入
甲是什么？,甲 肩胛骨上1/3弯曲突出之处。现称肩胛冈。,手动录入
肩髆是什么？,肩髆 指两肩及肩之偏后部分，或为肩胛骨的别称。,手动录入
丹田是什么？,丹田 指脐直下3寸左右的部位，内与男子精室、女子胞宫所对应。,手动录入
横骨是什么？,横骨 指两股之间的横起之骨。相当于现代解剖学上的耻骨。,手动录入
曲骨是什么？,曲骨 位于横骨的中央部，现称耻骨联合。,手动录入
鼠蹊是什么？,鼠蹊（xī）即腹股沟部。,手动录入
气街是什么？,气街 指气冲部，当腹股沟股动脉搏动处。,手动录入
廷孔是什么？,廷孔 又作庭孔，指阴道口。,手动录入
针灸中篡是什么？,篡（0uàn）又名下极、屏翳，指前后二阴之间，即会阴部。,手动录入
下极是什么？,下极 指两阴之间，即会阴部，或指鼻根、肛门者。,手动录入
脊骨是什么？,脊骨 指脊椎骨（脊柱）。又名膂骨，俗名脊梁骨。中医指的脊多从第1 胸椎棘突开始，向下数至第4骶椎棘突，共21节。,手动录入
膂是什么？,膂（lǚ）又称膂筋。指脊柱两旁的肌肉，约当骶棘肌分布处。膂骨指脊骨，或指脊柱之统称，或指第1胸椎棘突。,手动录入
胂是什么？,胂（shēn）泛指脊柱两侧的肌群。或指髂嵴以下的肌肉部分。,手动录入
腰髁是什么？,腰髁（kē）指腰部两旁凸起之骨，与今之髂后上棘似。,手动录入
尻是什么？,尻 尾骶骨部分的统称。,手动录入
骶端是什么？,骶端 又称骶、尾骶、尾闾、穷骨、撅骨。指尻骨的末节，即尾骨。,手动录入
膊是什么？,膊 又称胳膊。指肩以下手腕以上的部分。一说指上臂外侧面。,手动录入
臑是什么？,臑（nà0）指肩至肘内侧靠近腋部隆起的肌肉，即肱二头肌部，或为上臂的统称，其屈侧称臑内，伸侧称臑外。,手动录入
分肉是什么？,分肉 泛指肌肉。,手动录入
辅骨是什么？,辅骨 在上肢，指桡骨。亦称上骨。在下肢指膝两侧之骨：内侧的名内 辅，即股骨下端的内侧髁与胫骨上端的内侧髁组成的骨突；外侧的名外 辅，即股骨外侧髁与胫骨外侧髁组成的骨突。或指腓骨，又称外辅骨。,手动录入
兑骨是什么？,兑骨 又称锐骨。尺骨下端之高骨。相当于尺骨茎突，或指豆骨。,手动录入
高骨是什么？,高骨 体表高突之骨的通称。或指大指侧臂骨下端的高起骨，相当于桡 骨茎突。,手动录入
寸口是什么？,寸口 两手桡侧掌横纹下，桡动脉搏动处。,手动录入
针灸中鱼是什么？,鱼 大指后侧隆起之肉。其外方赤白肉分界处叫鱼际。亦有称桡侧为大 鱼，尺侧为小鱼。,手动录入
将指是什么？,将指 即第3指。俗称中指（趾）。,手动录入
髀是什么？,髀（bì）指股骨之上端。一说为下肢膝上部分的通称。,手动录入
髀骨是什么？,髀骨 指膝上之大骨，今称股骨。,手动录入
髀枢是什么？,髀枢 指髋关节部。又名髀厌。或指股部外侧最上方，股骨向外上方显 著隆起的股骨大转子。,手动录入
髀关是什么？,髀关 大腿前上端，即股四头肌之上端。髀关穴居此。,手动录入
髀阳是什么？,髀阳 指大腿外侧部。,手动录入
股是什么？,股 膝以上通称股。俗称大腿。,手动录入
股阴是什么？,股阴 指大腿内侧部。,手动录入
鱼腹股是什么？,鱼腹股 大腿内侧，其形如鱼腹处。即股内收肌群处。,手动录入
伏兔是什么？,伏兔 大腿前正中部，股四头肌肌腹隆起处，其状如兔。,手动录入
腘是什么？,腘 膝部后面，腿部弯曲时形成凹窝，并呈现横缝（纹），分别称腘窝 和腘窝横纹,手动录入
膝解是什么？,膝解是指膝骨分解处，如今叫做膝关节。,手动录入
膑是什么？,膑 膝前的圆形骨，亦称膝盖骨。今称髌骨。,手动录入
犊鼻是什么？,犊鼻 即膝眼。状若牛鼻之两孔故名。,手动录入
胻是什么？,胻（hāng）即胫骨。一说指胫骨之下端。,手动录入
踹是什么？,踹 亦写作腨，又称腓肠，俗称小腿肚。今称腓肠肌。,手动录入
然骨是什么？,然骨 内踝下前方隆起之大骨，即舟骨粗隆。,手动录入
绝骨是什么？,绝骨 外踝之上3寸许，腓骨凹陷的部位。悬钟穴所在。,手动录入
跗是什么？,跗 又称趺或足趺，即足背。,手动录入
核骨是什么？,核骨 足第1跖趾关节内侧的圆形突起。,手动录入
京骨是什么？,京骨 足外侧缘中间隆起之高骨，即第5跖骨粗隆部外侧缘。,手动录入
头角是什么？,头角 头顶两旁隆起之处，即顶骨结节部位。,手动录入
外辅骨是什么？,外辅骨 指胫外辅骨，即腓骨头部。,手动录入
三毛是什么？,三毛 足大趾爪甲后方有毛处。又称丛毛、聚毛。,手动录入
踵是什么？,踵 足跟部。,手动录入
赤白肉际是什么？,赤白肉际 指手（足）的掌（跖）面与背面肤色明显差别的分界处。掌 侧皮色较浅，称白肉；背侧肤色较深，称赤肉；两者交界之处称赤白肉 际。,手动录入
歧骨是什么？,歧骨 泛指两骨连接成角之处。如锁骨肩峰端与肩胛冈肩峰之连接处， 第1、2掌骨连接处，胸骨下端与左右肋软骨结合处等。,手动录入
本节是什么？,本节 即指掌指关节或跖趾关节的圆形突起。手足指（趾）最上一节， 即掌指关节与跖趾关节处。,手动录入
子午流注针法是什么？,子午流注针法源于《内经》的天人相应理论，宋金时代是子午流注针法 由理论向临床应用完善的时代，金代何若愚撰写了第一部子午流注针法 专著——《流注指微赋》。窦汉卿大力倡导按时取穴的应用，在《标幽 赋》中写道：“一日取六十六穴之法，方见幽微；一时取一十二经之 原，始知要妙。”明代徐凤《针灸大全》记载的“子午流注逐日按时定穴 诀”提出了具体的开穴使用方法，为子午流注的推广应用做出了贡献。 下面从子午流注的意义、子午流注针法的基本组成、子午流注针法的临 床运用等三个方面做概要介绍。,手动录入
子午流注的意义,子是地支第一数，午是地支第七数，地支是古人用来记年、月、日、时 的符号。在子午流注中，“子午”还有阴阳和方位的含义。从时辰上看， 一天有12个时辰，子时是夜半，午时是日中；在一年中，子为农历的11 月，午为5月。从阴阳来看，子为阴盛之时，为一阳之始的夜半，午为 阳盛之时，是一阴初生的中午。从方位上看，《灵枢·卫气行》说：“岁 有十二月，日有十二辰，子午为经，卯酉为纬。”经指南北（上下）， 纬指东西（左右）。子午还寓意着阳极生阴、阴极生阳和阴阳转化等深 刻道理。 “流”，是流动，“注”，是灌注。它是将人体气血在经脉中循行流注情况 比拟为水流，有着像潮水一样定时涨落、盛衰开阖的变化，这是人与自 然界相应的整体观的一种体现。,手动录入
子午流注针法的基本组成,子午流注针法是以子午流注理论为基础，以五输穴配合阴阳五行，运用 干支来推算经气流注盛衰开阖，按时取穴的针刺治疗方法。主要包括天 干、地支、阴阳、五行、脏腑、经络及五输穴等内容。,手动录入
天干、地支含义,天干又称十干，即甲、乙、丙、丁、戊、己、庚、辛、壬、癸。地支又 称十二地支，即子、丑、寅、卯、辰、巳、午、未、申、酉、戌、亥。 天干、地支在子午流注有两种含义，一是代表时间，二是配合脏腑经 脉,手动录入
天干地支代表时间,代表时间 天干与地支相配，可代表年、月、日、时，如甲子年、乙 丑月、丙寅时、丁卯时等，天干在前，地支在后，按天干地支顺序依次 相配。地支还可以单独与十二个月、时辰相配。1月地支为寅，2月是 卯，3月是辰，4月是巳，5月是午，6月是未，7月是申，8月是酉，9月 是戌，10月是亥，11月是子，12月是丑。 每天十二时辰（24小时），用十二地支来代表，每一个时辰为2小时。 夜半子时为23～1点钟，丑时为1～3点钟，寅时为3～5点钟，卯时为5～ 7点钟，辰时为7～9点钟，巳时为9～11点钟，午时为11～13点钟，未时 为13～15点钟，申时为15～17点钟，酉时为17～19点钟，戌时为19～21 点钟，亥时为21～23点钟。,手动录入
天干地支如何配合脏腑经脉？,天干配脏腑的依据是“肝主春，足厥阴少阳主治，其日 甲乙……心主夏，手少阴太阳主治，其日丙丁……脾主长夏，足太阴阳 明主治，其日戊己……肺主秋，手太阴阳明主治，其日庚辛……肾主 冬，足少阴太阳主治，其日壬癸……”（《素问·脏气法时论》）。天干 配合十二脏腑经脉是甲配胆和胆经，乙配肝和肝经，丙配小肠、三焦和 小肠经、三焦经，丁配心、心包和心经、心包经，戊配胃和胃经，己配 脾和脾经，庚配大肠和大肠经，辛配肺和肺经，壬配膀胱和膀胱经，癸 配肾和肾经。天干配脏腑是“纳干法”的基础之一，应记住下列口诀： 甲胆乙肝丙小肠，丁心戊胃己脾乡。 庚属大肠辛属肺，壬属膀胱癸肾脏。 三焦阳腑须归丙，包络从阴丁火旁。 阳干宜纳阳之腑，脏配阴干理自当。 地支与十二脏腑经脉相配是固定不变的，子配胆及胆经、丑配肝及肝 经、寅配肺及肺经、卯配大肠及大肠经、辰配胃及胃经、巳配脾及脾 经、午配心及心经、未配小肠及小肠经、申配膀胱及膀胱经、酉配肾及 肾经、戌配心包及心包经、亥配三焦及三焦经。这是“纳支法”的基础之 一，要熟记下面的歌诀，便能运用自如： 肺寅大卯胃辰宫，脾巳心午小未中， 申膀酉肾心包戌，亥焦子胆丑肝通。 地支配属脏腑经脉是将十二地支时辰的推移和十二经脉气血流注结合， 两者数字相等，次序排列固定不变。人身经脉气血流注，从中焦开始， 上注于肺经，经过大肠经、胃经、脾经、心经、小肠经、膀胱经、肾 经、心包经、三焦经、胆经、肝经。时序从寅时开始，止于丑时，再流 注于肺，如此循环往复不息。,手动录入
干支的阴阳分配,分阴阳 根据运用不同，干支分阴阳有两种含义，一是在子午流注针 法中开井穴时，依据天干为阳、地支为阴而提出阳进阴退的规律；二是 根据干支序数的奇数偶数分阴阳，1、3、5、7、9、11属阳，2、4、6、 8、10、12属阴。天干按其序数，甲、丙、戊、庚、壬为阳干，乙、 丁、己、辛、癸为阴干；地支，子、寅、辰、午、申、戌为阳支，丑、 卯、巳、未、酉、亥为阴支。,手动录入
干支的五行分配,天干：甲乙属木，丙丁属火，戊己属土，庚辛属金，壬癸属 水。地支：子丑属木，未亥午戌属火，辰巳属土，寅卯属金，申酉属 水。,手动录入
五输穴如何配合阴阳五行、脏腑,《灵枢·本输》提出五输穴的部位，并指出“阴井木，阳井金”的阴阳五 行配合关系。《难经·六十四难》做了全面补充：“阴井木，阳井金；阴 荥火，阳荥水；阴输土，阳输木；阴经金，阳经火；阴合水，阳合 土。”,手动录入
年干支推算法如何计算？,天干从甲到癸，计有10数；地支由子至亥，计有12数。干支配合，天干六轮、地支五轮，循环一遍，便成六十环周，称为一个花甲，列表如下（表10-2）。只要掌握六十环周，就很容易推出年干支。例如2016年丙申，依次顺推2017年丁酉，2018年戊戌……推算年干支的简单方法是：取当年的公元数减3，得出的数值除以60，余数就是该年的干支数。如推算2016年的年干支：（2016-3÷60=33……33余数33，在60环周表中是丙申，故2016年是丙申年。,手动录入
月干支推算法如何计算？,月干支推算法按照农历计算。一年12个月，配合十二 地支，1月为寅，2月是卯，3月是辰，4月是巳，5月是午，6月是未，7 月是申，8月是酉，9月是戌，10月是亥，11月是子，12月是丑，十二地 支配12个月是固定不变的。再根据年干推算月干，需要熟记下列歌诀： 甲己之年丙作首，乙庚之年戊当头， 丙辛之年庚寅上，丁壬壬寅顺行流， 若言戊癸何方起，甲寅之上去寻求。 即甲年、己年正月的天干都是丙，正月干支是丙寅，按顺序下推，二月 的干支是丁卯……依次类推；乙年、庚年正月干支是戊寅，丙年、辛年 正月是庚寅……依次类推。如：2016年为丙申年，正月干支就是庚寅。 按顺序下推，二月为辛卯，其余依次类推。,手动录入
日干支推算法如何计算？,"日干支推算用阳历进行。运用时有几个先决条件：① 当年元旦的干支代数；②每月干支应加应减数；③闰年自3月起都加 一；④当天的日数。有了这四点，便可推算任何一天的干支。元旦干支 可以推算，但查表更为方便，现将2016年～2075年元旦干支列表（表 10-3）。各月加减数是根据日数与六十环周关系推算出来的，下面列出各月加减
数表（表10-4）。为便于记忆，可熟背加减数口诀：
一五双减一，二六加零六，三减二加十，四减一加五，七零九加二，八上加一七，十上加二八，冬三腊三九，闰年三月起，余数均加一。日干支的推算公式如下：
日干序数=元旦天干序数+月份天干加减数（闰年三月后加1）+所求日期
数，其和除以10，取其余数（无余数者作10）。
日支序数=元旦地支序数+月份地支加减数（闰年三月后加1）+所求日期
数，其和除以12，取其余数（无余数者作12）。
如：2016年元旦干支为壬午，求：2016年5月1日的干支。
根据公式推算如下：
日干数：9-1+1+1=10，取其尾数10，为癸。
日支数：7-1+1+1=8，取其尾数8，为未。
故2016年5月1日为癸未日。",手动录入
时干支推算法如何计算？,时干支的推算是运用五门十变理论，把天干化五行， 其推算歌诀是： 甲己起甲子，乙庚起丙子，丙辛起戊子， 丁壬起庚子，戊癸起壬子。 甲日、己日的十二时辰，都是从甲子开始，其后为乙丑时、丙寅时…… 依次类推；乙日、庚日从丙子开始；丙日、辛日从戊子开始；丁日、壬 日从庚子开始；戊日、癸日从壬子开始。,手动录入
子午流注针法的临床应用中纳干法是什么？,纳干法又称纳甲法，是运用天干配脏腑的一种按时开穴的子午流注针 法。应用时，在熟悉上述多种配属关系的基础上，先推算患者来诊当天 的天干和开取井穴的时辰，再按阳日阳时开阳经穴，阴日阴时开阴经穴 的规律，结合十二经脉的流注和五输穴的相生规律依次开穴。,手动录入
纳干法运用基本内容,阳进阴退，开井穴、经生经，穴生穴，开其他五输穴、返本还原（遇输过原）、气纳三焦，开生我穴，血归包络，开我生穴、子午流注逐日按时定穴法、一、四、二、五、三、○反克取穴法,手动录入
阳进阴退，开井穴是什么？,井穴的开取是根据日、时干支，阳进阴退的规 律。阳进是指天干（为阳）主进，即按甲、乙、丙、丁……的顺序推 算，阴退是指地支（为阴）主退，即按戌、酉、申……的顺序推算。戌 是地支中最后一个阳支，故阴退从戌开始。阳进阴退是推算次日的干支 取井穴时辰的方法。如甲日戌时开窍阴，根据阳进阴退原则，次日天干 从甲进为乙，地支从戌退为酉，故乙日应在酉时开井穴为大敦，余可类 推,手动录入
“经生经，穴生穴，开其他五输穴”是什么？,"纳甲法的开穴，先从值日经的井穴
开始，该日的天干与值日经的天干相同。开井穴之后，下面就按时生
时、经生经、穴生穴的规律开五输穴。如甲日是胆经主气，甲（木）戌
时开胆经井穴窍阴，然后按相生的顺序，下个时辰丙子时（甲木生丙
火），开小肠经的前谷穴，因为小肠属火，胆属木，木生火；窍阴属
金，金生水，故开小肠经的水穴前谷。根据这一规律，下一开穴时辰应
是戊寅（丙火生戊土），小肠经属火，胃经属土，火生土，前谷属水，
水生木，故开胃经的木穴陷谷，水生木。按时、经、穴相生，再下一个
开穴时辰是庚辰，当开大肠经阳溪穴；再下当开膀胱经委中穴。",手动录入
“返本还原（遇输过原）”是什么？,运用纳甲法经穴相生顺序开穴，当开的穴是输 穴时，同时要开值日经的原穴，这一规律称“返本还原”。如甲日胆经值 日，当穴位开到足阳明胃经输穴陷谷时，应同时开胆经原穴丘 墟。“本”指的是本日的值日经，“原”指的是值日经的原穴。一般开原穴 的时辰，是在开井穴以后的4个时辰。若为阴经，则以“输”代之，称遇 输过原。,手动录入
“气纳三焦，开生我穴，血归包络，开我生穴”是什么？,五输穴依次开完后，阳 经最后都要纳入三焦而开三焦经的穴位，称“气纳三焦”；阴经都要纳入 心包络而开心包经的穴位，称“血归包络”。阳经按“他生我”，阴经 按“我生他”的规律选穴。如甲日胆经值日，五输穴依次开完后，最后一 个阳时（甲申）的选穴应按“他生我”的规律，开三焦经的液门穴，因为 胆属木，液门穴属水，水生木。又如乙日肝经值日，五输穴依次开完 后，最后应在乙未时按“我生他”的规律，开心包经的劳宫穴，肝属木， 劳宫属火，木生火。 “我”指的是值日经，“他”是指要开的穴。胆经的最后一个阳时甲申，甲 日两见甲，称日干重见，因为天干10个，经脉12条，10天干不够配12 经，故起于甲必重见于甲，起于乙必重见于乙。,手动录入
