question,answer
尺泽穴属于哪一条经络？,手太阴肺经，合穴。
孔最穴的定位？,在前臂前区，腕掌侧远端横纹上7寸，尺泽与太渊连线上。
孔最穴的主治？,"1、鼻衄、咯血、咳嗽、气喘、咽喉肿痛等肺系病证。
2、肘臂挛痛。"
孔最穴的刺法？,直刺0.5~1寸。
孔最穴属于哪一条经络？,手太阴肺经，郄穴。
列缺穴的定位？,在前臂，腕掌侧远端横纹上1.5寸，拇短伸肌腱和拇长展肌腱之间，拇长展肌腱沟的凹陷中。
列缺穴的主治？,"1、咳嗽、气喘、咽喉肿痛等肺系病证。
2、偏正头痛、齿痛、项强痛、口眼歪斜等头面部病证。
3、手腕痛。"
列缺穴的刺法？,向上斜刺0.5~0.8寸。
列缺穴属于哪一条经络？,手太阴肺经，络穴；八脉交会穴。
经渠穴的定位？,在前臂前区，腕掌侧远端横纹上1寸，桡骨茎突与桡动脉之间。
经渠穴的主治？,"1、咳嗽、气喘、胸痛、咽喉肿痛等肺系病证。
2、手腕痛。"
经渠穴的刺法？,避开桡动脉，直刺0.3~0.5寸。
经渠穴属于哪一条经络？,手太阴肺经，经穴。
太渊穴的定位？,在腕前区，桡骨茎突与舟状骨之间，拇长展肌腱尺侧凹陷中。
太渊穴的主治？,"1、咳嗽、气喘等肺系病证。
2、无脉症。
3、腕臂痛。"
太渊穴的刺法？,避开桡动脉，直刺0.3~0.5寸。
太渊穴属于哪一条经络？,手太阴肺经，输穴；原穴；八会穴之脉会。
鱼际穴的定位？,在手外侧，第1掌骨桡侧中点赤白肉际处。
鱼际穴的主治？,"1、咳嗽、咯血、咽干、咽喉肿痛、失音等肺系实热病证。
2、掌中热。
3、小儿疳积。"
鱼际穴的刺法？,直刺0.5~0.8寸。治小儿疳积可用割治法。
鱼际穴属于哪一条经络？,手太阴肺经，荥穴。
少商穴的定位？,在手指，拇指末节桡侧，指甲根角侧上方0.1寸。
少商穴的主治？,"1、咽喉肿痛、鼻衄、高热等肺系实热病证。
2、昏迷、癫狂等急症。"
少商穴的刺法？,浅刺0.1寸，或点刺出血。
少商穴属于哪一条经络？,手太阴肺经，井穴。
手阳明大肠经的循行原文？,《灵枢·经脉》：大肠手阳明之脉，起于大指次指之端，循指上廉，出合谷两骨之间，上入两筋之中，循臂上廉，入肘外廉，上臑外前廉，上肩，出髃骨之前廉，上出于柱骨之会上，下入缺盆，络肺，下膈，属大肠。其支者：从缺盆上颈，贯颊，入下齿中；还出夹口，交人中——左之右、右之左，上夹鼻孔。
手阳明大肠经的主治？,"1、头面五官病： 目病，齿痛，咽喉肿痛，鼻衄，口眼歪斜，耳聋等。
2、热病，神志病：热病昏迷，眩晕，癫狂等。
3、肠腑病证：腹胀，腹痛，肠鸣，泄泻等。
4、经脉循行部位的其他病证：手臂酸痛，半身不遂，手臂麻木等。"
手阳明大肠经有多少个穴位？,左右各20穴，分别为商阳、二间、三间、合谷、阳溪、偏历、温溜、下廉、上廉、手三里、曲池、肘髎、手五里、臂臑、肩髃、巨骨、天鼎、扶突、口禾髎、迎香。
手阳明大肠经的起止点？,起于商阳，止于迎香。
商阳穴的定位？,在手指，食指末节桡侧，指甲根角侧上方0.1寸。
商阳穴的主治？,"1、齿痛、咽喉肿痛等五官病。
2、热病、昏迷等热证、急症。"
商阳穴的刺法？,浅刺0.1寸，或点刺出血。
商阳穴属于哪一条经络？,手阳明大肠经，井穴。
二间穴的定位？,在手指，第2掌指关节桡侧远端赤白肉际处。
二间穴的主治？,"1、鼻衄、齿痛等五官病。
2、热病。"
二间穴的刺法？,直刺0.2~0.3寸。
二间穴属于哪一条经络？,手阳明大肠经，荥穴。
三间穴的定位？,在手背，第2掌指关节桡侧近端凹陷中。
三间穴的主治？,"1、齿痛、咽喉肿痛等五官病证。
2、腹胀、肠鸣等肠腑病证。
3、手背麻木、肿痛。"
三间穴的刺法？,直刺0.3~0.5寸。
三间穴属于哪一条经络？,手阳明大肠经，输穴。
合谷穴的定位？,在手背，第2掌骨桡侧的中点处。
合谷穴的主治？,"1、头痛、目赤肿痛、齿痛、鼻衄、口眼歪斜、耳聋等头面五官病证。
2、发热恶寒等外感病证。
3、热病无汗或多汗。
4、痛经、经闭、滞产等妇产科病证。
5、各种痛证，为牙拔除术、甲状腺手术等五官及颈部手术针麻常用穴。"
合谷穴的刺法？,直刺0.5~1寸，针刺时手呈半握拳状。孕妇不宜针。
合谷穴属于哪一条经络？,手阳明大肠经，原穴。
阳溪穴的定位？,在腕区，腕背侧远端横纹桡侧，桡骨茎突远端，解剖学“鼻烟窝”凹陷中。
阳溪穴的主治？,"1、头痛、目赤肿痛、耳聋等头面五官病证。
2、手腕痛。"
阳溪穴的刺法？,直刺或斜刺0.5~0.8寸。
阳溪穴属于哪一条经络？,手阳明大肠经，经穴。
偏历穴的定位？,在前臂，腕背侧远端横纹上3寸，阳溪与曲池连线上。
偏历穴的主治？,"1、耳鸣，鼻衄。
2、手臂酸痛。
3、腹部胀满。
4、水肿。"
偏历穴的刺法？,直刺或斜刺0.5~0.8寸。
偏历穴属于哪一条经络？,手阳明大肠经，络穴。
温溜穴的定位？,在前臂，腕背侧远端横纹上5寸，阳溪与曲池连线上。
温溜穴的主治？,"1、急性肠鸣、腹痛等肠腑病证。
2、疗疮。
3、头痛、面肿、咽喉肿痛等头面病证。
4、肩背酸痛。"
温溜穴的刺法？,直刺0.5~1寸。
温溜穴属于哪一条经络？,手阳明大肠经，郄穴。
下廉穴的定位？,在前臂，肘横纹下4寸，阳溪与曲池连线上。
下廉穴的主治？,"1、肘臂痛。
2、头痛，眩晕，目痛。
3、腹胀、腹痛等肠腑病证。"
下廉穴的刺法？,直刺0.5~1寸。
下廉穴属于哪一条经络？,手阳明大肠经。
上廉穴的定位？,在前臂，肘横纹下3寸，阳溪与曲池连线上。
上廉穴的主治？,"1、肘臂痛，半身不遂，手臂麻木。
2、头痛。
3、肠鸣，腹痛。"
上廉穴的刺法？,直刺0.5~1寸。
上廉穴属于哪一条经络？,手阳明大肠经。
手三里穴的定位？,在前臂，肘横纹下2寸，阳溪与曲池连线上。
手三里穴的主治？,"1、手臂无力，上肢不遂。
2、腹痛，腹泻。
3、齿痛，颊肿。"
手三里穴的刺法？,直刺1~1.5寸。
手三里穴属于哪一条经络？,手阳明大肠经。
曲池穴的定位？,在肘区，在尺泽与肱骨外上课连线中点凹陷处。
曲池穴的主治？,"1、手臂痹痛，上肢不遂。
2、热病。
3、眩晕。
4、腹痛、吐泻等肠胃病证。
5、咽喉肿痛、齿痛、目赤肿痛等五官热性病证。
6、瘾疹、湿疹、瘰疬等皮外科病证。
7、癫狂。"
曲池穴的刺法？,直刺1~1.5寸。
曲池穴属于哪一条经络？,手阳明大肠经，合穴。
肘髎穴的定位？,在肘区，肱骨外上髁上缘，髁上嵴的前缘。
肘髎穴的主治？,1、肘臂部疼痛、麻木、挛急等。
肘髎穴的刺法？,直刺0.5~1寸。
肘髎穴属于哪一条经络？,手阳明大肠经。
手五里穴的定位？,在臂部，肘横纹上3寸，曲池与肩髃连线上。
手五里穴的主治？,"1、肘臂挛痛。
2、瘰疬。"
手五里穴的刺法？,避开动脉，直刺0.5~1寸。
手五里穴属于哪一条经络？,手阳明大肠经。
臂臑穴的定位？,在臂部，曲池上7寸，三角肌前缘处。
臂臑穴的主治？,"1、肩臂疼痛不遂、颈项拘挛等痹证。
2、瘰疬。
3、目疾。"
臂臑穴的刺法？,直刺或向上斜刺0.8~1.5寸。
臂臑穴属于哪一条经络？,手阳明大肠经。
肩髃穴的定位？,在三角肌区，肩峰外侧缘前端与肱骨大结节两骨间凹陷中。
肩髃穴的主治？,"1、肩臂挛痛，上肢不遂。
2、瘾疹。"
肩髃穴的刺法？,直刺或向下斜刺0.8~1.5寸。肩周炎宜向肩关节方向直刺，上肢不遂宜向三角肌方向斜刺。
肩髃穴属于哪一条经络？,手阳明大肠经。
巨骨穴的定位？,在肩胛区，锁骨肩峰端与肩胛冈之间凹陷中。
巨骨穴的主治？,"1、肩臂挛痛，臂不举。
2、瘰疬，瘿气。"
巨骨穴的刺法？,直刺，微斜向外下方，进针0.5~1寸。直刺不可过深，免刺入胸腔造成气胸。
巨骨穴属于哪一条经络？,手阳明大肠经。
天鼎穴的定位？,在颈部，横平环状软骨，胸锁乳突肌后缘。
天鼎穴的主治？,"1、暴暗气哽、咽喉肿痛、吞咽困难等咽喉病证。
2、瘰疬，瘿气。"
天鼎穴的刺法？,直刺0.5~0.8寸。
天鼎穴属于哪一条经络？,手阳明大肠经。
扶突穴的定位？,在胸锁乳突肌区，横平喉结，胸锁乳突肌前、后缘中间。
扶突穴的主治？,"1、咽喉肿痛、暴喑、吞咽困难等咽喉病证。
2、瘿气，瘰疬。
3、呃逆。
4、咳嗽，气喘。
5、颈部手术针麻用穴。"
扶突穴的刺法？,直刺0.5~0.8寸。注意避开颈动脉，不可过深。一般不用电针，以免引起迷走神经中枢反应。
扶突穴属于哪一条经络？,手阳明大肠经。
口禾髎穴的定位？,在面部，横平人中沟上1/3与下2/3交点，鼻孔外缘直下。
口禾髎穴的主治？,鼻塞、鼻衄、口歪、口噤等口鼻部病证
口禾髎穴的刺法？,直刺或斜刺0.3~0.5寸。
口禾髎穴属于哪一条经络？,手阳明大肠经。
迎香穴的定位？,在面部，鼻翼外缘中点旁，鼻唇沟中。
迎香穴的主治？,"1、鼻塞、鼻衄等鼻病。
2、口歪、面痒等口面部病证。
3、胆道蛔虫症。"
迎香穴的刺法？,略向内上方斜刺或平刺0.3~0.5寸。
迎香穴属于哪一条经络？,手阳明大肠经。
足阳明胃经的循行原文？,"《灵枢．经脉》：胃足阳明之脉，起于鼻，交中，旁约太阳之脉，下循鼻外，入上齿中，还出夹口，环唇，下交承浆，却循颐后下廉，出大迎，循颊车，上耳前，过客主人,循发际，至额颅。其支者：从大迎前，下人迎，循喉咙，入缺盆，下膈，属胃，络脾。其直者：从缺盆下乳内廉，下夹脐，入气街中。其支者：起于胃口，下循腹里，下至气街中而合。以下髀关，抵伏兔，下膝髌中，下循胫外廉，下足跗，入中指内间。其支者：下膝三寸而别，下入中指外间。其支者：别跗上，入大指间，出其端。"
足阳明胃经的主治？,"1、胃肠病： 食欲不振，胃痛，呕吐，噎膈，腹胀，泄泻，痢疾，便秘等。
2、头面五官病： 目赤痛痒，目翳，眼睑动，鼻衄，齿痛，耳病。
3、神志病：癫狂。
4、热病：热病汗出。
5、经脉循行部位的其他病证：下肢痿痹，转筋，腰膝冷痛、半身不遂。"
足阳明胃经有多少个穴位？,左右各45穴，分别为承泣、四白、巨髎、地仓、大迎、颊车、下关、头维、人迎、水突、气舍、缺盆、气户、库房、屋翳、膺窗、乳中、乳根、不容、承满、梁门、关门、太乙、滑肉门、天枢、外陵、大巨、水道、归来、气冲、髀关、伏兔、阴市、梁丘、犊鼻、足三里、上巨虚、条口、下巨虚、丰隆、解溪、冲阳、陷谷、内庭、厉兑。
足阳明胃经的起止点？,起于承泣，止于厉兑。
承泣穴的定位？,在面部，眼球与眶下缘之间，目正视，瞳孔直下。
承泣穴的主治？,"1、眼睑动、迎风流泪、夜盲、近视等目疾。
2、口眼歪斜，面肌痉挛。"
承泣穴的刺法？,以左手拇指向上轻推眼球，紧靠眶缘缓慢直刺0.5~1.5寸，不宜提插捻转，以防刺破血管引起血肿。出针时按压针孔片刻，以防出血。
承泣穴属于哪一条经络？,足阳明胃经。
四白穴的定位？,在面部，眶下孔处。
四白穴的主治？,"1、目赤痛痒、眼睑瞤动、目翳等眼部病证。
2、口眼歪斜、面痛、面肌痉挛等面部病证。
3、头痛，眩晕。"
四白穴的刺法？,直刺或微向上斜刺0.3~0.5寸，不可深刺，以免伤及眼球，不可过度提插捻转。
四白穴属于哪一条经络？,足阳明胃经。
巨髎穴的定位？,在面部，横平鼻翼下缘，目正视，瞳孔直下。
巨髎穴的主治？,口角歪斜、面痛、鼻衄、齿痛、唇颊肿等局部五官病证
巨髎穴的刺法？,斜刺或平刺0.3~0.5寸。
巨髎穴属于哪一条经络？,足阳明胃经。
地仓穴的定位？,在面部，口角旁开0.4寸。
地仓穴的主治？,口角歪斜、流涎、面痛、齿痛等局部病证。
地仓穴的刺法？,斜刺或平刺0.5~0.8寸。可向颊车穴透刺。
地仓穴属于哪一条经络？,足阳明胃经。
大迎穴的定位？,在面部，下颌角前方，咬肌附着部的前缘凹陷中，面动脉搏动处。
大迎穴的主治？,口角歪斜、颊肿、齿痛等局部病证。
大迎穴的刺法？,避开动脉，斜刺或平刺0.3~0.5寸。
大迎穴属于哪一条经络？,足阳明胃经。
颊车穴的定位？,在面部，下颌角前上方一横指，闭口咬紧牙时咬肌隆起，放松时按之有凹陷处。
颊车穴的主治？,齿痛、牙关不利、颊肿、口角歪斜等局部病证。
颊车穴的刺法？,直刺0.3~0.5寸，或平刺0.5~1寸。可向地仓穴透刺。
颊车穴属于哪一条经络？,足阳明胃经。
下关穴的定位？,在面部，颧弓下缘中央与下颌切迹之间凹陷中。
下关穴的主治？,"1、牙关不利、面痛、齿痛、口眼歪斜等面口病证。
2、耳聋、耳鸣、聤耳等耳疾。"
下关穴的刺法？,直刺0.5~1寸。留针时不可做张口动作，以免弯针、折针。
下关穴属于哪一条经络？,足阳明胃经。
头维穴的定位？,在头部，额角发际直上0.5寸，头正中线旁开4.5寸。
头维穴的主治？,头痛、目眩、目痛等头目病证。
头维穴的刺法？,平刺0.5~1寸。
头维穴属于哪一条经络？,足阳明胃经。
人迎穴的定位？,在颈部，横平喉结，胸锁乳突肌前缘，颈总动脉搏动处。
人迎穴的主治？,"1、瘿气，瘰疬。
2、咽喉肿痛。
3、高血压。
4、气喘。"
人迎穴的刺法？,避开颈总动脉，直刺0.3~0.8寸。
人迎穴属于哪一条经络？,足阳明胃经。
水突穴的定位？,在颈部，横平环状软骨，胸锁乳突肌前缘。
水突穴的主治？,"1、咽喉肿痛、失音等咽喉局部病证。
2、咳嗽，气喘。"
水突穴的刺法？,直刺0.3~0.8寸。
水突穴属于哪一条经络？,足阳明胃经。
气舍穴的定位？,在胸锁乳突肌区，锁骨上小窝，锁骨胸骨端上缘，胸锁乳突肌胸骨头与锁骨头中间的凹陷中。
气舍穴的主治？,"1、咽喉肿痛。
2、瘿瘤，瘰疬。
3、气喘，呃逆。
4、颈项强痛。"
气舍穴的刺法？,直刺0.3~0.5寸。本经气舍至乳根诸穴深部有大动脉及肺、肝等重要脏器，不可深刺。
气舍穴属于哪一条经络？,足阳明胃经。
缺盆穴的定位？,在颈外侧区，锁骨上大窝，锁骨上缘凹陷中，前正中线旁开4寸。
缺盆穴的主治？,"1、咳嗽、气喘、咽喉肿痛、缺盆中痛等肺系病证。
2、瘰疬。"
缺盆穴的刺法？,直刺或斜刺0.3~0.5寸。
缺盆穴属于哪一条经络？,足阳明胃经。
气户穴的定位？,在胸部，锁骨下缘，前正中线旁开4寸。
气户穴的主治？,咳嗽、气喘、呃逆、胸痛、胸胁支满等胸肺病证。
气户穴的刺法？,斜刺或平刺0.5~0.8寸。
气户穴属于哪一条经络？,足阳明胃经。
库房穴的定位？,在胸部，第1肋间隙，前正中线旁开4寸。
库房穴的主治？,1、咳嗽、气喘、咳唾脓血、胸胁胀痛等胸肺病证。
库房穴的刺法？,斜刺或平刺0.5~0.8寸。
库房穴属于哪一条经络？,足阳明胃经。
屋翳穴的定位？,在胸部，第2肋间隙，前正中线旁开4寸。
屋翳穴的主治？,"1、咳嗽、气喘、咳唾脓血、胸胁胀痛等胸肺病证。
2、乳痈、乳癖等乳疾。"
屋翳穴的刺法？,斜刺或平刺0.5~0.8寸。
屋翳穴属于哪一条经络？,足阳明胃经。
膺窗穴的定位？,在胸部，第3肋间隙，前正中线旁开4寸。
膺窗穴的主治？,"1、咳嗽、气喘、胸胁胀痛等胸肺病证.
2、乳痈。"
膺窗穴的刺法？,斜刺或平刺0.5~0.8寸。
膺窗穴属于哪一条经络？,足阳明胃经。
乳中穴的定位？,在胸部，乳头中央。
乳中穴的主治？,"1、乳痈。
2、难产。"
乳中穴的刺法？,多用作胸腹部穴的定位标志，一般不做针灸。
乳中穴属于哪一条经络？,足阳明胃经。
乳根穴的定位？,在胸部，第5肋间隙，前正中线旁开4寸。
乳根穴的主治？,"1、乳痈、乳癖、乳少等乳部疾患。
2、咳嗽，气喘，呃逆。
3、胸痛。"
乳根穴的刺法？,斜刺或平刺0.5~0.8寸。
乳根穴属于哪一条经络？,足阳明胃经。
不容穴的定位？,在上腹部，脐中上6寸，前正中线旁开2寸。
不容穴的主治？,呕吐、胃痛、纳少、腹胀等胃疾。
不容穴的刺法？,直刺0.5~0.8寸。过饱者禁针，肝脾大者右侧慎针或禁针，不宜做大幅度提插。
不容穴属于哪一条经络？,足阳明胃经。
承满穴的定位？,在上腹部，脐中上5寸，前正中线旁开2寸。
承满穴的主治？,胃痛、吐血、纳少等胃疾。
承满穴的刺法？,直刺0.8~1寸。过饱者禁针，肝脾大者右侧慎针或禁针，不宜做大幅度提插。
承满穴属于哪一条经络？,足阳明胃经。
梁门穴的定位？,在上腹部，脐中上4寸，前正中线旁开2寸。
梁门穴的主治？,腹胀、纳少、胃痛、呕吐等胃疾。
梁门穴的刺法？,直刺0.8~1.2寸。过饱者禁针，肝大者右侧慎针或禁针，不宜做大幅度提插。
梁门穴属于哪一条经络？,足阳明胃经。
关门穴的定位？,在上腹部，脐中上3寸，前正中线旁开2寸。
关门穴的主治？,腹胀、腹痛、肠鸣、腹泻等胃肠病证。
关门穴的刺法？,直刺0.8~1.2寸。
关门穴属于哪一条经络？,足阳明胃经。
太乙穴的定位？,在上腹部，脐中上2寸，前正中线旁开2寸。
太乙穴的主治？,"1、腹痛，腹胀。
2、心烦、癫狂等神志疾患。"
太乙穴的刺法？,直刺0.8~1.2寸。
太乙穴属于哪一条经络？,足阳明胃经。
滑肉门穴的定位？,在上腹部，脐中上1寸，前正中线旁开2寸。
滑肉门穴的主治？,"1、腹痛，腹胀，呕吐。
2、癫狂。"
滑肉门穴的刺法？,直刺0.8~1.2寸。
滑肉门穴属于哪一条经络？,足阳明胃经。
天枢穴的定位？,在腹部，横平脐中，前正中线旁开2寸。
天枢穴的主治？,"1、腹痛、腹胀、便秘、腹泻、痢疾等胃肠病证。
2、月经不调、痛经等妇科病证。"
天枢穴的刺法？,直刺1~1.5寸。
天枢穴属于哪一条经络？,足阳明胃经，大肠之募穴。
外陵穴的定位？,在下腹部，脐中下1寸，前正中线旁开2寸。
外陵穴的主治？,"1、腹痛，疝气。
2、痛经。"
外陵穴的刺法？,直刺1~1.5寸。
外陵穴属于哪一条经络？,足阳明胃经。
大巨穴的定位？,在下腹部，脐中下2寸，前正中线旁开2寸。
大巨穴的主治？,"1、小腹胀满。
2、小便不利等水液输布排泄失常性疾患。
3、疝气。
4、遗精、早泄等男科疾患。"
大巨穴的刺法？,直刺1~1.5寸。
大巨穴属于哪一条经络？,足阳明胃经。
水道穴的定位？,在下腹部，脐中下3寸，前正中线旁开2寸。
水道穴的主治？,"1、小腹胀满。
2、小便不利等水液输布排泄失常性疾患。
3、疝气。
4、痛经、不孕等妇科疾患。"
水道穴的刺法？,直刺1~1.5寸。
水道穴属于哪一条经络？,足阳明胃经。
归来穴的定位？,在下腹部，脐中下4寸，前正中线旁开2寸。
归来穴的主治？,"1、小腹痛，疝气。
2、月经不调、带下、阴挺等妇科疾患。"
归来穴的刺法？,直刺1~1.5寸。
归来穴属于哪一条经络？,足阳明胃经。
气冲穴的定位？,在腹股沟区，耻骨联合上缘，前正中线旁开2寸，动脉搏动处。
气冲穴的主治？,"1、肠鸣，腹痛。
2、疝气。
3、月经不调、不孕、阳痿、阴肿等妇科病及男科病证。"
气冲穴的刺法？,直刺0.5~1寸。
气冲穴属于哪一条经络？,足阳明胃经。
髀关穴的定位？,在股前区，股直肌近端、缝匠肌与阔筋膜张肌3条肌肉之间凹陷中，或于髂前上棘、髌骨底外侧端连线与耻骨下缘水平线的交点处取穴。
髀关穴的主治？,下肢痿痹、腰痛、膝冷等腰及下肢病证。
髀关穴的刺法？,直刺1~2寸。
髀关穴属于哪一条经络？,足阳明胃经。
伏兔穴的定位？,在股前区，髌底上6寸，髂前上棘与髌底外侧端的连线上。
伏兔穴的主治？,"1、下肢痿痹、腰痛、膝冷等腰及下肢病证。
2、疝气。
3、脚气。"
伏兔穴的刺法？,直刺1~2寸。
伏兔穴属于哪一条经络？,足阳明胃经。
阴市穴的定位？,在股前区，髌底上3寸，股直肌肌腱外侧缘。
阴市穴的主治？,"1、下肢痿痹，膝关节屈伸不利。
2、疝气。"
阴市穴的刺法？,直刺1~1.5寸。
阴市穴属于哪一条经络？,足阳明胃经。
梁丘穴的定位？,在股前区，髌底上2寸，股外侧肌与股直肌肌腱之间。
梁丘穴的主治？,"1、急性胃痛。
2、膝肿痛、下肢不遂等下肢病证。
3、乳痈、乳痛等乳疾。"
梁丘穴的刺法？,直刺1~1.5寸。
梁丘穴属于哪一条经络？,足阳明胃经，郄穴。
犊鼻穴的定位？,在膝前区，髌韧带外侧凹陷中。
犊鼻穴的主治？,膝痛、屈伸不利、下肢麻痹等下肢、膝关节病证。
犊鼻穴的刺法？,屈膝，向后内斜刺0.5~1寸。
犊鼻穴属于哪一条经络？,足阳明胃经。
足三里穴的定位？,在小腿外侧，犊鼻下3寸，胫骨前嵴外1横指处，犊鼻与解溪连线上。
足三里穴的主治？,"1、胃痛、呕吐、噎膈、腹胀、腹泻、痢疾、便秘等胃肠病证。
2、下肢痿痹。
3、癫狂等神志病。
4、乳痈、肠痈等外科疾患。
5、虚劳诸证，为强壮保健要穴。"
足三里穴的刺法？,直刺1~2寸。强壮保健常用温灸法。
足三里穴属于哪一条经络？,足阳明胃经，合穴。
上巨虚穴的定位？,在小腿外侧，犊鼻下6寸，犊鼻与解溪连线上。
上巨虚穴的主治？,"1、肠鸣、腹痛、腹泻、便秘、肠痈、痢疾等胃肠病证。
2、下肢痿痹。"
上巨虚穴的刺法？,直刺1~2寸。
上巨虚穴属于哪一条经络？,足阳明胃经，大肠下合穴。
条口穴的定位？,在小腿外侧，犊鼻下8寸，犊鼻与解溪连线上。
条口穴的主治？,"1、下肢痿痹，转筋。
2、肩臂痛。
3、脘腹疼痛。"
条口穴的刺法？,直刺1~1.5寸。
条口穴属于哪一条经络？,足阳明胃经。
下巨虚穴的定位？,在小腿外侧，犊鼻下9寸，犊鼻与解溪连线上。
下巨虚穴的主治？,"1、腹泻、痢疾、小腹痛等胃肠病证。
2、下肢痿痹。
3、乳痈。"
下巨虚穴的刺法？,直刺1~1.5寸。
下巨虚穴属于哪一条经络？,足阳明胃经，小肠下合穴。
丰隆穴的定位？,在小腿外侧，外踝尖上8寸，胫骨前肌外缘；条口外侧一横指处。
丰隆穴的主治？,"1、头痛，眩晕。
2、癫狂。
3、咳嗽、痰多等痰饮病证。
4、下肢痿痹。
5、腹胀，便秘。"
丰隆穴的刺法？,直刺1~1.5寸。
丰隆穴属于哪一条经络？,足阳明胃经，络穴。
解溪穴的定位？,在踝区，踝关节前面中央凹陷中，拇长伸肌腱与趾长伸肌腱之间。
解溪穴的主治？,"1、下肢痿痹、踝关节病、足下垂等下肢、踝关节疾患。
2、头痛，眩晕。
3、癫狂。
4、腹胀，便秘。"
解溪穴的刺法？,直刺0.5~1寸。
解溪穴属于哪一条经络？,足阳明胃经，经穴。
冲阳穴的定位？,在足背，第2跖骨基底部与中间楔状骨关节处，可触及足背动脉。
冲阳穴的主治？,"1、胃痛。
2、口眼歪斜。
3、癫狂痫。
4、足痿无力。"
冲阳穴的刺法？,避开动脉，直刺0.3~0.5寸。
冲阳穴属于哪一条经络？,足阳明胃经，原穴。
陷谷穴的定位？,在足背，第2、3跖骨间，第2跖趾关节近端凹陷中。
陷谷穴的主治？,"1、面肿、水肿等水液输布失常性疾患。
2、足背肿痛。
3、肠鸣，腹痛。"
陷谷穴的刺法？,直刺或斜刺0.3~0.5寸。
陷谷穴属于哪一条经络？,足阳明胃经，输穴。
内庭穴的定位？,在足背，第2、3趾间，趾蹼缘后方赤白肉际处。
内庭穴的主治？,"1、齿痛、咽喉肿痛、鼻衄等五官热性病证。
2、热病。
3、吐酸、腹泻、痢疾、便秘等胃肠病证。
4、足背肿痛，跖趾关节痛。"
内庭穴的刺法？,直刺或斜刺0.5~0.8寸。
内庭穴属于哪一条经络？,足阳明胃经，荥穴。
厉兑穴的定位？,在足趾，第2趾末节外侧，趾甲根角侧后方0.1寸。
厉兑穴的主治？,"1、鼻衄、齿痛、咽喉肿痛等实热性五官病证。
2、热病。
3、多梦、癫狂等神志病 。"
厉兑穴的刺法？,浅刺0.1寸，或点刺出血。
厉兑穴属于哪一条经络？,足阳明胃经，井穴。
足太阴脾经的循行原文？,灵枢．经脉》：脾足太阴之脉，起于大指之端，循指内侧白肉际，过核骨后，上内踝前廉，上腨内，循胫骨后，交出厥阴之前，上膝股内前廉，入腹，属脾，络胃，上膈，夹咽，连舌本，散舌下。其支者：复从胃，别上膈，注心中。
足太阴脾经的主治？,"1、脾胃病： 胃痛，呕吐，腹痛，泄泻，便秘等。
2、妇科病： 月经过多，崩漏等。
3、前阴病： 阴挺，不孕，遗精，阳痿等。
4、经脉循行部位的其他病证：下肢痿痹，胸胁痛等。"
足太阴脾经有多少个穴位？,左右各21穴，分别为隐白、大都、太白、公孙、商丘、三阴交、漏谷、地机、阴陵泉、血海、箕门、冲门、府舍、腹结，大横、腹哀、食窦、天溪、胸乡、周荣、大包。
足太阴脾经的起止点？,起于隐白，止于大包。
