question,answer
针灸中疔疮治疗的注意事项？,"1.疔疮初起切忌局部挤压、挑刺；红肿发硬时忌手术切开，以免引起感染扩散；如已成脓，应由外科及时切开排脓。
2.疔疮走黄，证情凶险，须及时进行综合治疗，积极抢救。治疗期间忌食鱼、虾及辛辣厚味。"
针灸中丹毒定义？,"丹毒是以患部皮肤突然灼热疼痛，色如涂丹，游走极快为主症的病证。本病好发于颜面和小腿部，其中生于下肢者，称“流火”，生于头面部者称“抱头火丹”，游走全身者称“赤游丹”。本病病位在肌肤腠理。
本病相当于西医学的急性网状淋巴管炎。"
针灸中丹毒辩证？,若发于头面部，伴恶寒发热，头痛，骨节疼痛，眼胞肿胀，舌红，苔薄黄，脉浮数，为火毒夹风；发于下肢，红斑表面出现黄色水疱，伴心烦胸闷，口苦口干，关节肿痛，小便黄赤，舌红，苔黄腻，脉弦滑数，为火毒夹湿；若出现壮热烦躁，胸闷呕吐，神昏谵语等，属火毒内陷，为危急之候。
针灸中丹毒基本病机？,其发生常与素体血分有热、肌肤破损、火毒入侵等因素有关。基本病机是血热火毒蕴结肌肤，病性为实证。
针灸中丹毒具体表现？,局部皮肤突然变赤，色如涂丹，焮红肿胀，边界分明，迅速蔓延。
针灸中丹毒针刺治法？,泻火解毒，凉血祛瘀。以督脉及手阳明经穴为主。
针灸中丹毒主穴：,大椎（在脊柱区，第5胸椎棘突下凹陷中，后正中线上） 曲池（在前臂，肘横纹下3寸，阳溪（在腕区，腕背侧远端横纹桡侧，桡骨茎突远端，解剖学“鼻烟窝”凹陷中）与曲池连线上） 合谷（在手指，第2掌指关节桡侧远端赤白肉际处） 委中（在膝后区，腘横纹上1寸，股二头肌腱的内侧缘） 阿是穴（指在患者身体上出现疼痛、压痛、酸胀、麻木或其他不适感的区域，这些区域往往是疾病反应的敏感点）
针灸中丹毒配穴：,火毒夹风配百会（在头部，前发际正中直上5寸）、风池（在颈后区，枕骨之下，胸锁乳突肌上端与斜方肌上端之间的凹陷中。注：项部枕骨下两侧，横平风府（在颈后区，枕外隆凸直下，两侧斜方肌之间凹陷中），胸锁乳突肌与斜方肌之间凹陷中）；火毒夹湿配阴陵泉（在小腿内侧，胫骨内侧髁下缘与胫骨内侧缘之间的凹陷中）、血海（在股前区，髌底内侧端上2寸，股内侧肌隆起处）、内庭（在足背，第2、3跖骨间，第2跖趾关节近端凹陷中）；火毒内陷配十宣（在手指，十指尖端，距指甲游离缘0.1寸（指寸），左右共10穴）或十二井穴（人体十二条主要经络的起始穴位，位于手指和足趾的末端）。
针灸中丹毒穴位方义？,阳盛则热，热甚为火，火极为毒，清火毒必当泻阳气。督脉为阳脉之海，阳明经多气多血，在三阳经中阳气最盛，故治疗本病取督脉、阳明经穴为主。大椎（在脊柱区，第5胸椎棘突下凹陷中，后正中线上）为督脉与诸阳经交会穴，合谷（在手指，第2掌指关节桡侧远端赤白肉际处）、曲池（在前臂，肘横纹下3寸，阳溪（在腕区，腕背侧远端横纹桡侧，桡骨茎突远端，解剖学“鼻烟窝”凹陷中）与曲池连线上）均属手阳明大肠经，三穴同用可泻阳气而清火毒；委中（在膝后区，腘横纹上1寸，股二头肌腱的内侧缘）别称“血郄”，凡血分热毒壅盛之急症，用之最宜；点刺大椎（在脊柱区，第5胸椎棘突下凹陷中，后正中线上）、委中（在膝后区，腘横纹上1寸，股二头肌腱的内侧缘）和阿是穴（指在患者身体上出现疼痛、压痛、酸胀、麻木或其他不适感的区域，这些区域往往是疾病反应的敏感点）出血既可清泻诸阳之热，又可清泄血分郁热，凉血解毒，寓“菀陈则除之”之意。
针灸中丹毒经络配穴的操作方法？,毫针泻法。大椎（在脊柱区，第5胸椎棘突下凹陷中，后正中线上）、委中（在膝后区，腘横纹上1寸，股二头肌腱的内侧缘）、十宣（在手指，十指尖端，距指甲游离缘0.1寸（指寸），左右共10穴）、十二井穴（人体十二条主要经络的起始穴位，位于手指和足趾的末端）、阿是穴（指在患者身体上出现疼痛、压痛、酸胀、麻木或其他不适感的区域，这些区域往往是疾病反应的敏感点）三棱针点刺出血。
针灸中丹毒的其他治疗方法？,"（1）耳针法 耳尖、耳背静脉、皮损对应部位、肾上腺、神门。耳尖、耳背静脉放血，余穴毫针刺，中度刺激。
（2）刺络拔罐法 对患部阿是穴（指在患者身体上出现疼痛、压痛、酸胀、麻木或其他不适感的区域，这些区域往往是疾病反应的敏感点。）用皮肤针叩刺或三棱针点刺出血，加拔火罐，使污血邪毒尽出，每日1次。面部慎用。
（3）火针法 患部阿是穴（指在患者身体上出现疼痛、压痛、酸胀、麻木或其他不适感的区域，这些区域往往是疾病反应的敏感点。），选用细火针快速刺，每隔1寸1穴。"
针灸中丹毒治疗的注意事项？,"1.针刺治疗丹毒有一定疗效，一般应配合内服或外用中药，以提高疗效，缩短病程。病情严重者，应中西医结合治疗。
2.针具应严格消毒，防止交叉感染。"
针灸中痄腮定义？,"痄腮是以发热、耳下腮部肿胀疼痛为主症的病证。又称“蛤蟆瘟”“大头瘟”等。其发生常与感受风热疫毒之邪有关。少阳、阳明经脉分别循行于耳下和腮部，风热疫毒之邪从口鼻而入，阻遏少阳、阳明经脉，郁而不散，蕴结于耳下腮部而发病。
痄腮相当于西医学的流行性腮腺炎，是由腮腺炎病毒引起的急性呼吸道传染病。本病常在冬、春季节流行，以学龄前后儿童多见。"
针灸中痄腮辩证？,若耳下腮部酸痛肿胀，或伴恶寒、发热，舌尖红，苔薄黄，脉浮数，为温毒在表；耳下腮部红肿热痛，坚硬拒按，咀嚼困难，发热，舌红，苔黄腻，脉弦数，为温毒蕴结；高热烦渴，或睾丸红肿疼痛，甚则神昏抽搐，舌红，苔黄燥，脉弦数，为温毒内陷。
针灸中痄腮基本病因？,其发生常与感受风热疫毒之邪有关。少阳、阳明经脉分别循行于耳下和腮部，风热疫毒之邪从口鼻而入，阻遏少阳、阳明经脉，郁而不散，蕴结于耳下腮部而发病。
针灸中痄腮基本病机？,基本病机是温毒之邪蕴结于少阳、阳明经。
针灸中痄腮具体表现？,主症 耳下腮部肿胀疼痛，一般是以耳垂为中心，向前、后、下发展，状如梨形，边缘不清；局部皮肤紧张、发亮但不红，触之坚韧有弹性，有轻触痛；咀嚼困难，常伴有发热。
针灸中痄腮针刺常用治法？,泻火解毒，消肿散结。以手少阳、手足阳明经穴为主。
针灸中痄腮主穴：,翳风（在颈部，耳垂后方，乳突下端前方凹陷中） 颊车（在面部，下颌角前上方一横指（中指），闭口咬紧牙时咬肌隆起，放松时按之有凹陷处） 外关（在前臂后区，腕背侧远端横纹上2寸，尺骨与桡骨间隙中点） 合谷（在手指，第2掌指关节桡侧远端赤白肉际处） 关冲（在手指，第4指末节尺侧，指甲根角侧上方0.1寸（指寸））
针灸中痄腮配穴：,温毒在表配风池（在颈后区，枕骨之下，胸锁乳突肌上端与斜方肌上端之间的凹陷中。注：项部枕骨下两侧，横平风府（在颈后区，枕外隆凸直下，两侧斜方肌之间凹陷中），胸锁乳突肌与斜方肌之间凹陷中）、少商（在手指，拇指末节桡侧，指甲根角侧上方0.1寸（指寸））；温毒蕴结配商阳（在手指，食指末节桡侧，指甲根角侧上方0.1寸（指寸））、曲池（在前臂，肘横纹下3寸，阳溪（在腕区，腕背侧远端横纹桡侧，桡骨茎突远端，解剖学“鼻烟窝”凹陷中）与曲池连线上）、大椎（在脊柱区，第5胸椎棘突下凹陷中，后正中线上）；温毒内陷配劳宫（在掌区，横平第3掌指关节近端，第2、3掌骨之间偏于第3掌骨）、曲泉（在膝部，腘横纹内侧端，半腱肌肌腱内缘凹陷中）、大敦（在足趾，大趾末节外侧，趾甲根角侧后方0.1寸（指寸））。高热配大椎（在脊柱区，第5胸椎棘突下凹陷中，后正中线上）、商阳（在手指，食指末节桡侧，指甲根角侧上方0.1寸（指寸））；睾丸肿痛配蠡沟（在小腿内侧，内踝尖上5寸，胫骨内侧面的中央）、太冲（在足背，第1、2跖骨间，跖骨底结合部前方凹陷中，或触及动脉搏动）；神昏抽搐配水沟（在面部，人中沟的上1/3与中1/3交点处）、十宣（在手指，十指尖端，距指甲游离缘0.1寸（指寸），左右共10穴）或十二井穴（人体十二条主要经络的起始穴位，位于手指和足趾的末端）。
针灸中痄腮穴位方义？,近取手足少阳之会翳风（在颈部，耳垂后方，乳突下端前方凹陷中）、足阳明经穴颊车（在面部，下颌角前上方一横指（中指），闭口咬紧牙时咬肌隆起，放松时按之有凹陷处），宣散局部郁滞之气血；远取手少阳经之络穴外关（在前臂后区，腕背侧远端横纹上2寸，尺骨与桡骨间隙中点）、手阳明之原穴合谷（在手指，第2掌指关节桡侧远端赤白肉际处）清泻郁热而解毒散结；手少阳井穴关冲（在手指，第4指末节尺侧，指甲根角侧上方0.1寸（指寸））点刺出血以疏利少阳之气机。诸穴合用，共奏疏风解表、清热解毒、消肿止痛之功。
针灸中痄腮经络配穴的操作方法？,毫针刺，用泻法。关冲（在手指，第4指末节尺侧，指甲根角侧上方0.1寸（指寸））、商阳（在手指，食指末节桡侧，指甲根角侧上方0.1寸（指寸））、十宣（在手指，十指尖端，距指甲游离缘0.1寸（指寸），左右共10穴）、十二井穴（人体十二条主要经络的起始穴位，位于手指和足趾的末端）点刺出血。
针灸中痄腮的其他治疗方法？,"（1）灯火灸法 取患侧角孙穴。将穴区头发剪短，局部消毒后施以灯火灸。一般轻者治疗1次即可；若肿势不退，次日再灸。
（2）耳针法 取耳尖、面颊、肾上腺、对屏尖、神门。每次选2～3穴，毫针强刺激，耳尖可放血。或用埋针法、压丸法。"
针灸中痄腮治疗的注意事项？,1.针灸治疗痄腮效果良好，若出现变证应结合其他治疗。2.本病传染性强，发病期应进行隔离。
针灸中乳痈定义？,"乳痈是以乳房红肿热痛，乳汁排出不畅，以致结脓成痈为主症的病证。多见于初产妇，好发于产后3～4周，又称“产后乳痈”。其发生常与外邪火毒入侵，或忧思恼怒、恣食厚味等因素有关。本病病位在乳房，足阳明胃经过乳房，足厥阴肝经至乳下，故本病主要与肝、胃两经关系密切。
本病相当于西医学的急性化脓性乳腺炎。"
针灸中乳痈辩证？,若乳房结块初起，肿胀疼痛，常伴有恶寒发热、全身不适，舌红，苔薄白或薄黄，脉浮数，为气滞热壅（郁乳期）；肿块逐渐增大，焮红灼热，痛如刀割，舌红，苔黄厚腻，脉弦数或滑数，为火毒炽盛（酿脓期）；肿块中央触之渐软，有应指感，或见乳头有脓汁排出，溃脓后乳房胀痛减轻，舌淡，苔白，脉弱无力，为正虚邪恋（溃脓期）。如脓肿破溃后脓流不畅、肿势和疼痛不减，病灶可能波及其他部位，形成“传囊乳痈”。
针灸中乳痈兼症辩证？,兼见胸闷胀痛，呕逆，纳呆，脉弦苔薄，为肝气郁结；口渴、口臭，便秘，苔黄腻，脉弦数，为胃热蕴滞；肿块增大，焮红疼痛，时有跳痛，舌苔黄，脉弦数，为火毒凝结。
针灸中乳痈基本病因？,其发生常与外邪火毒入侵，或忧思恼怒、恣食厚味等因素有关。
针灸中乳痈基本病机？,基本病机是胃热肝郁，火毒凝结。
针灸中乳痈具体表现？,乳房肿胀、热痛，排乳不畅。
针灸中乳痈针刺常用治法？,清热解毒，散结消痈。以足阳明、足厥阴经穴为主。
针灸中乳痈主穴：,足三里（在小腿外侧，犊鼻下3寸，胫骨前嵴外1横指处，犊鼻与解溪（在踝区，踝关节前面中央凹陷中，长伸肌腱与趾长伸肌腱之间）连线上） 期门（在胸部，第6肋间隙，前正中线旁开4寸） 膻中（在胸部，横平第4肋间隙，前正中线上） 内关（在前臂前区，腕掌侧远端横纹上2寸，掌长肌腱与桡侧腕屈肌腱之间） 肩井（在肩胛区，第7颈椎棘突与肩峰最外侧点连线的中点）
针灸中乳痈配穴：,乳房痛甚配少泽（在手指，小指末节尺侧，指甲根角侧上方0.1寸（指寸））、梁丘（在股前区，髌底上2寸，股外侧肌与股直肌肌腱之间）；恶寒发热配合谷（在手指，第2掌指关节桡侧远端赤白肉际处）、曲池（在前臂，肘横纹下3寸，阳溪（在腕区，腕背侧远端横纹桡侧，桡骨茎突远端，解剖学“鼻烟窝”凹陷中）与曲池连线上）；烦躁口苦配行间（在足背，第1、2趾间，趾蹼缘后方赤白肉际处）。肝气郁结配太冲（在足背，第1、2跖骨间，跖骨底结合部前方凹陷中，或触及动脉搏动）；胃热蕴滞配曲池（在前臂，肘横纹下3寸，阳溪（在腕区，腕背侧远端横纹桡侧，桡骨茎突远端，解剖学“鼻烟窝”凹陷中）与曲池连线上）、内庭（在足背，第2、3跖骨间，第2跖趾关节近端凹陷中）；火毒凝结配厉兑（在足趾，第2趾末节外侧，趾甲根角侧后方0.1寸（指寸））、大敦（在足趾，大趾末节外侧，趾甲根角侧后方0.1寸（指寸））点刺放血。
针灸中乳痈穴位方义？,乳痈为病，多为胃热、肝郁，故取足阳明经合穴、胃之下合穴足三里（在小腿外侧，犊鼻下3寸，胫骨前嵴外1横指处，犊鼻与解溪（在踝区，踝关节前面中央凹陷中，长伸肌腱与趾长伸肌腱之间）连线上），清泻阳明胃热，肝之募穴期门（在胸部，第6肋间隙，前正中线旁开4寸）疏肝解郁；膻中（在胸部，横平第4肋间隙，前正中线上）、内关（在前臂前区，腕掌侧远端横纹上2寸，掌长肌腱与桡侧腕屈肌腱之间）远近相配，宽胸理气；肩井（在肩胛区，第7颈椎棘突与肩峰最外侧点连线的中点）为治疗乳痈的经验效穴。
针灸中乳痈经络配穴的操作方法？,毫针刺，用泻法。膻中（在胸部，横平第4肋间隙，前正中线上）可向乳房中心方向平刺。
针灸中乳痈的其他治疗方法？,"（1）三棱针法 在背部肩胛区或脊柱两旁寻找米粒大小、指压不退色的数个红色阳性反应点，用三棱针挑刺出血。
（2）灸法 对患部阿是穴（指在患者身体上出现疼痛、压痛、酸胀、麻木或其他不适感的区域，这些区域往往是疾病反应的敏感点。）用葱白或大蒜捣烂，铺于乳房患处，用艾条熏灸20分钟左右，每日1～2次。用于乳痈初起未成脓时。"
针灸中乳痈治疗的注意事项？,"1.针灸治疗本病主要针对初起未化脓者，可配合按摩和热敷，有较好疗效，可有效提高治愈率，缩短病程。
2.本病若已化脓，应考虑转外科治疗。"
针灸中乳癖定义？,"乳癖是以女性乳房部出现慢性、良性多发性肿块和胀痛为主症的病证，又称“乳痰”“乳核”。常见于中青年女性，其发生多与情志内伤、忧思恼怒等因素有关。本病病位在乳房，与胃、肝、脾三经关系密切。
本病相当于西医学的乳腺小叶增生、乳房囊性增生、乳房纤维瘤等。"
针灸中乳癖辩证？,兼见急躁易怒，经行不畅，舌红，苔薄黄，脉弦滑，为肝郁气滞；乳房肿块胀痛，胸闷不舒，恶心欲呕，苔腻，脉滑，为痰浊凝结；乳房肿块和疼痛在月经前加重，腰酸乏力，月经失调，色淡量少，舌淡，脉沉细，为冲任失调。
针灸中乳癖基本病因？,其发生多与情志内伤、忧思恼怒等因素有关。本病病位在乳房，与胃、肝、脾三经关系密切。
针灸中乳癖基本病机？,基本病机是气滞痰凝，冲任失调。
针灸中乳癖具体表现？,单侧或双侧乳房发生单个或多个大小不等的肿块，增长缓慢，胀痛或压痛，表面光滑，边界清楚，推之可动，质地坚韧或呈囊性感。
针灸中乳癖针刺常用治法？,理气化痰，调理冲任。以任脉、足阳明、足厥阴经穴为主。
针灸中乳癖主穴：,膻中（在胸部，横平第4肋间隙，前正中线上） 乳根（在胸部，第5肋间隙，前正中线旁开4寸） 屋翳（在胸部，第2肋间隙，前正中线旁开4寸） 期门（在胸部，第6肋间隙，前正中线旁开4寸） 足三里（在小腿外侧，犊鼻下3寸，胫骨前嵴外1横指处，犊鼻与解溪（在踝区，踝关节前面中央凹陷中，长伸肌腱与趾长伸肌腱之间）连线上） 太冲（在足背，第1、2跖骨间，跖骨底结合部前方凹陷中，或触及动脉搏动）
针灸中乳癖配穴：,冲任失调配关元（在下腹部，脐中下3寸，前正中线上）、肝俞（在脊柱区，第9胸椎棘突下，后正中线旁开1.5寸）、肾俞（在脊柱区，第2腰椎棘突下，后正中线旁开1.5寸）。肝郁气滞配肝俞（在脊柱区，第9胸椎棘突下，后正中线旁开1.5寸）、内关（在前臂前区，腕掌侧远端横纹上2寸，掌长肌腱与桡侧腕屈肌腱之间）；痰浊凝结配丰隆（在小腿外侧，外踝尖上8寸，胫骨前肌外缘；条口外侧一横指处）、中脘（在上腹部，脐中上4寸，前正中线上）；
针灸中乳癖穴位方义？,膻中（在胸部，横平第4肋间隙，前正中线上）为气会，合期门（在胸部，第6肋间隙，前正中线旁开4寸）可宽胸理气，散结化滞；乳根（在胸部，第5肋间隙，前正中线旁开4寸）、屋翳（在胸部，第2肋间隙，前正中线旁开4寸）位于乳房局部，属胃经，可通调阳明经气；期门（在胸部，第6肋间隙，前正中线旁开4寸）邻近乳房，为肝之募穴，疏肝气，调冲任；循经远取足三里（在小腿外侧，犊鼻下3寸，胫骨前嵴外1横指处，犊鼻与解溪（在踝区，踝关节前面中央凹陷中，长伸肌腱与趾长伸肌腱之间）连线上）、太冲（在足背，第1、2跖骨间，跖骨底结合部前方凹陷中，或触及动脉搏动），分别疏通胃经、肝经气机。诸穴合用，可使痰化结散。
针灸中乳癖经络配穴的操作方法？,毫针泻法。膻中（在胸部，横平第4肋间隙，前正中线上）向患侧乳房平刺。
针灸中乳癖的其他治疗方法？,"（1）耳针法 内分泌、胸、乳腺、肝、胃、卵巢。毫针中度刺激，或用压丸法。
（2）穴位注射法 乳根、屋翳、肩井、天宗、足三里。每次选2～3个穴位，用当归或丹参注射液、维生素B12注射液，按1:1比例混合，每穴注入药液0.5mL左右。"
针灸中乳癖治疗的注意事项？,"1.针灸对本病有较好疗效，但需坚持。患者应保持心情舒畅，忌忧思恼怒。
2.本病应注意与乳腺癌相鉴别。"
针灸中肠痈定义？,"肠痈是以转移性右下腹疼痛、右下腹局限而固定的压痛、反跳痛为特征的病证。因本病在发病时有右腿不能伸直的体征，故有“缩脚肠痈”之称。本病病位在大肠。
本病相当于西医学的急、慢性阑尾炎。"
针灸中肠痈基本病机？,基本病机是肠腑气壅、热瘀互结、血败肉腐。
针灸中肠痈辩证？,若痛势不剧，伴有恶寒发热，恶心呕吐，苔白，脉弦紧，为肠腑气结；痛势剧烈，腹肌紧张、拘急、拒按，局部可触及肿块，壮热汗出，便秘，腹胀，小便短赤，脉洪数，为热盛肉腐，属重证。
针灸中肠痈基本病机？,其发生常与饮食不节、寒温不适、暴食后剧烈运动、忧思郁怒等因素有关。
针灸中肠痈具体表现？,转移性右下腹疼痛。疼痛呈持续性、阵发性加剧，右腿屈而难伸，右下腹有局限而固定的压痛、反跳痛，甚则出现腹肌紧张。
针灸中肠痈针刺常用治法？,清热导滞，通腑调气。取大肠的募穴、下合穴为主。
针灸中肠痈主穴：,天枢（在腹部，横平脐中，前正中线旁开2寸） 上巨虚（在小腿外侧，犊鼻下6寸，犊鼻与解溪（在踝区，踝关节前面中央凹陷中，长伸肌腱与趾长伸肌腱之间）连线上） 阑尾穴（在小腿外侧，髌韧带外侧凹陷下5寸，胫骨前嵴外一横指（中指））
针灸中肠痈配穴：,发热配曲池（在前臂，肘横纹下3寸，阳溪（在腕区，腕背侧远端横纹桡侧，桡骨茎突远端，解剖学“鼻烟窝”凹陷中）与曲池连线上）；呕吐配内关（在前臂前区，腕掌侧远端横纹上2寸，掌长肌腱与桡侧腕屈肌腱之间）；便秘配腹结（在下腹部，脐中下1.3寸，前正中线旁开4寸））；腹胀配大肠俞（在脊柱区，第4腰椎棘突下，后正中线旁开1.5寸）。
针灸中肠痈穴位方义？,本病为大肠腑病，故取大肠募穴天枢（在腹部，横平脐中，前正中线旁开2寸）、下合穴上巨虚（在小腿外侧，犊鼻下6寸，犊鼻与解溪（在踝区，踝关节前面中央凹陷中，长伸肌腱与趾长伸肌腱之间）连线上）以通调腑，清泻肠腑积热；阑尾穴（在小腿外侧，髌韧带外侧凹陷下5寸，胫骨前嵴外一横指（中指））是治疗肠痈的经验效穴。三穴共奏清热导滞散结之效。
针灸中肠痈经络配穴的操作方法？,毫针泻法，适当加强刺激强度，留针30～60分钟，其间应反复间断运针。急性期每日针2～3次。慢性阑尾炎腹部穴可用艾条灸或隔蒜灸、隔姜灸。
针灸中肠痈的其他治疗方法？,"（1）电针法 天枢、阑尾穴。电针刺激，强度以患者能耐受为度，每次30～60分钟，每日2次。
（2）穴位注射法 阑尾穴、腹部压痛点。10％葡萄糖注射液，每穴2～5mL，深度0.5～0.8寸。"
针灸中肠痈治疗的注意事项？,"1.针灸对单纯性阑尾炎和轻型化脓性阑尾炎有较好的疗效，对化脓有穿孔或坏死倾向者，应及时转外科处理。
2.阑尾穴对急慢性阑尾炎均有诊断和治疗作用，尤其是对急性阑尾炎的诊断意义重大。
3.饮食一般宜从禁食或流质，到半流质，再恢复至普食。"
针灸中痔疮定义？,"痔疮是以肛门内外出现小肉状突出物，排便时出血、脱出、肿痛为主症的病证，为成年人多发病。其发生常与久坐久立、负重远行、嗜食辛辣、酒色过度、久泻、久痢、长期便秘、劳倦胎产等因素有关。本病病位在肛肠。督脉过直肠，膀胱经别入肛中，故本病与膀胱经、督脉关系密切。
西医学中，根据痔核与肛门齿状线的位置关系将痔疮分为内痔、外痔和混合痔。"
针灸中痔疮辩证？,兼见肛内肿物脱出，肛缘水肿，触痛明显，大便带血，舌暗红，苔白或黄，脉弦细涩，为气滞血瘀；痔疮灼热疼痛，或流黄水，肛门坠胀，便血鲜红，舌红，苔黄腻，脉滑数，为湿热下注；病久伴有脱肛、乏力，便时肛内肿物脱出，不能自行还纳，便血色淡，少气懒言，面色少华，舌淡，苔白，脉细弱，属脾虚气陷。
针灸中痔疮基本病机？,基本病机是肛部筋脉横懈。
针灸中痔疮具体表现？,肛门部出现小肉状突出物，无症状或仅有异物感，也可伴有肛门处疼痛、肿胀、瘙痒和大便时出血。
针灸中痔疮针刺常用治法？,清热利湿，化瘀止血。取督脉和足太阳经穴为主。
针灸中痔疮主穴：,长强（在会阴区，尾骨下方，尾骨端与肛门连线的中点处） 会阳（在骶区，尾骨端旁开0.5寸） 次髎（在骶区，正对第2骶后孔中） 承山（在小腿后区，腓肠肌两肌腹与肌腱交角处） 二白（在前臂前区，腕掌侧远端横纹上4寸，桡侧腕屈肌腱的两侧，一肢2穴）
针灸中痔疮配穴：,气滞血瘀配太冲（在足背，第1、2跖骨间，跖骨底结合部前方凹陷中，或触及动脉搏动）、血海（在股前区，髌底内侧端上2寸，股内侧肌隆起处）；湿热下注配中极（在下腹部，脐中下4寸，前正中线上）、阴陵泉（在小腿内侧，胫骨内侧髁下缘与胫骨内侧缘之间的凹陷中）；脾虚气陷配神阙（在脐区，脐中央）、百会（在头部，前发际正中直上5寸）。肛门肿痛配孔最（在前臂前区，腕掌侧远端横纹上7寸，尺泽与太渊（在腕前区，桡骨茎突与舟状骨之间，拇长展肌腱尺侧凹陷中）连线上）、飞扬（在小腿后区，昆仑（在踝区，外踝尖与跟腱之间的凹陷中）直上7寸，腓肠肌外下缘与跟腱移行处）；便秘配支沟（在前臂后区，腕背侧远端横纹上3寸，尺骨与桡骨间隙中点）、天枢（在腹部，横平脐中，前正中线旁开2寸）；便后出血配孔最（在前臂前区，腕掌侧远端横纹上7寸，尺泽与太渊（在腕前区，桡骨茎突与舟状骨之间，拇长展肌腱尺侧凹陷中）连线上）、膈俞（在脊柱区，第7胸椎棘突下，后正中线旁开1.5寸）。
