content,index
导赤散的证治机理是什么,导赤散的证治机理是：本方证乃心经热盛或心热移于小肠所致。心火循经上炎，而见心胸烦热、面赤、口舌生疮；火热内灼，阴已不足，故见口渴、意欲饮冷；心与小肠相表里，心热下移小肠，泌别失职，乃见小便赤涩刺痛；舌红，脉数，均为内热之象。《医宗金鉴》以“水虚火不足”概括本方证之病机，故治法不宜苦寒直折，而宜清心与养阴兼顾，利水以导热下行，使蕴热从小便而泄。
导赤散的方解是什么,导赤散的方解是：本方原为小儿而设，其乃稚阴稚阳、易寒易热、易虚易实 之体。方中生地甘凉而润，入心、肾经，凉血滋阴以制心火；木通苦 寒，入心与小肠经，上清心经之火，下导小肠之热，两药相配，滋阴制 火而不恋邪，利水通淋而不伤阴，共为君药。竹叶甘淡，清心除烦，淡 渗利窍，导心火下行，为臣药。生甘草梢清热解毒，尚可直达茎中而止 淋痛，并能调和诸药，且防木通、生地之寒凉伤胃，用为佐使。四药合 用，共收清热利水养阴之效。《医宗金鉴》云：“赤色属心，导赤者， 导心经之热从小便而出……故名导赤散。”
导赤散的配伍特点是什么,导赤散的配伍特点是：导赤散的配伍特点是。
导赤散的运用特点是什么,导赤散的运用特点是：本方为治疗心经火热证之常用方，又是体现清热利水养阴 法之基础方。以心胸烦热，口渴，口舌生疮或小便赤涩，舌红脉数为辨 证要点。本方临证应用时，应据成人、小儿及火热虚实之异，相应增减 生地、木通之用量，据证之需，易其君臣，以“变”中求“精”也。
导赤散的附方有什么,清心莲子饮（《太平惠民和剂局方》） 黄芩、麦冬去心、地骨皮、车前子、甘草炙，各半两（各15g） 石莲肉去心、白茯苓、黄芪蜜炙、人参各七钱半（各22.5g）。上锉散，每服三钱（9g），麦门冬十粒， 水一盏半，煎取八分，去滓，水中沉冷，空心，食前服。功用：清心 火，益气阴，止淋浊。主治：心火偏旺，气阴两虚，湿热下注证。症见 遗精淋浊，血崩带下，遇劳则发；或肾阴不足，口舌干燥，烦躁发热 等。
清心莲子饮的煎服法是什么,清心莲子饮的煎服法是：上锉散，每服三钱（9g），麦门冬十粒， 水一盏半，煎取八分，去滓，水中沉冷，空心，食前服。
清心莲子饮的组成有哪些药物,清心莲子饮的组成有：黄芩、麦冬去心、地骨皮、车前子、甘草炙，各半两（各15g） 石莲肉去心、白茯苓、黄芪蜜炙、人参各七钱半（各22.5g） 上锉散，每服三钱（9g），麦门冬十粒。
清心莲子饮的功用是什么,清心莲子饮的功用是：清心火，益气阴，止淋浊。
清心莲子饮的主治是什么,清心莲子饮的主治是：心火偏旺，气阴两虚，湿热下注证。症见遗精淋浊，血崩带下，遇劳则发；或肾阴不足，口舌干燥，烦躁发热等。
清心莲子饮与导赤散如何鉴别使用,"清心莲子饮与导赤散同具清心养阴利水之功。清心莲子饮以清心火，益气阴，交通心肾，兼利小便为主，心肾两补，偏于治心。方中寒凉清热之黄芩、地骨皮配伍莲子肉、黄芪、人参、茯苓、麦冬以益气养阴；车前子清热利湿。常用于心火偏旺，兼心肾气阴两虚，湿热下注，精关不固者，其补益心肾之力强于导赤散。
"
导赤散的方论选录是什么,导赤散的方论选录是：心与小肠为表里也，然所见口糜舌疮、小便赤黄、茎 中作痛、热淋不利等证，皆心热移于小肠之证。故不用黄连直泻其心， 而用生地滋肾凉心，木通通利小肠，佐以甘草梢，取易泻最下之热，茎 中之痛可除，心经之热可导也。此则水虚火不实者宜之，以利水而不伤 阴，泻火而不伐胃也。若心经实热，须加黄连、竹叶，甚者更加大黄， 亦釜底抽薪之法也。（吴谦《医宗金鉴·删补名医方论》）
导赤散的医案举例是什么,导赤散的医案举例是：万密斋治县尹张之子，未周岁，啼哭昼夜不止。医谓 腹痛，用理中丸不效。又谓伤食，用泻黄散不止。万视之曰：公子腮颊 面赤，乃心烦而哭也。若肠痛当见面青，伤食当见面黄也。乃用导赤 散，木通、竹叶、生地、灯心、黄芩、甘草，加黄连、麦冬煎服之。次 日早即入告曰：昨夜哭多，何也？万曰：病即安矣。曰：病安何以哭不 止？曰：公子啼哭，三日夜不吃乳，昨夜热退心凉欲得乳，而乳母在 外。盖往夜之哭，病哭也；昨夜之哭，饥哭也。乃笑曰：果然。乳母五 更到，即止矣。（《续名医类案》卷三十）
导赤散的方歌是什么,导赤散的方歌是：导赤生地与木通，草梢竹叶四般攻， 口糜淋痛小肠火，引热同归小便中。
龙胆泻肝汤的用法是什么、怎么煎煮,"龙胆泻肝汤的煎服法：水煎服；亦可制成丸剂，每服6～9g，日二次，温开水送下。
"
龙胆泻肝汤的证治机理是什么,龙胆泻肝汤的证治机理是本证是由肝胆实火上炎或肝胆湿热循经下注所致。肝 胆之火循经上冲，则头部、耳目作痛，或听力失聪，旁及两胁则胁痛且 口苦；湿热循经下注，则为阴痒、阴肿、筋痿、阴汗；舌红苔黄腻，脉 弦数有力，皆为火盛及湿热之象。治宜清泻肝胆实火，清利肝经湿热。
龙胆泻肝汤的方解是什么,龙胆泻肝汤的方解：方中龙胆草大苦大寒，既能泻肝胆实火，又能利肝胆湿 热，泻火除湿，两擅其功，故为君药。黄芩、栀子苦寒泻火，燥湿清 热，增君药泻火除湿之力，用以为臣。泽泻、木通、车前子渗湿泄热， 导肝经湿热从水道而去。肝乃藏血之脏，若为实火所伤，阴血亦随之消 灼，且方中诸药以苦燥渗利伤阴之品居多，故用当归、生地养血滋阴， 使邪去而阴血不伤。肝性喜疏泄条达而恶抑郁，火邪内郁，肝胆之气不 疏，且骤用大剂苦寒降泄之品，既恐肝胆之气被抑，又虑折伤肝胆升发 之机，遂用柴胡疏畅肝胆之气，与生地、当归相伍以适肝体阴用阳之 性，并能引药归于肝胆之经，以上皆为佐药。甘草调和诸药，护胃安 中，为佐使之用。火降热清，湿浊得利，循经所发诸症皆可相应而愈。
龙胆泻肝汤的配伍特点是什么,龙胆泻肝汤的配伍特点是：苦寒清利，泻中寓补，降中寓升，以适肝性。
龙胆泻肝汤的运用特点是什么,龙胆泻肝汤的运用特点是：本方为治疗肝胆实火上炎，肝经湿热下注之常用方。以口 苦溺赤，舌红苔黄，脉弦数有力为辨证要点。
龙胆泻肝汤的附方有什么,"1.泻青丸（《小儿药证直诀》） 当归（去芦头，切，焙，秤）、龙脑（焙， 秤、）川芎、山栀子仁、川大黄（湿纸裹，煨）、羌活、防风（去芦头，切，焙， 秤），各等分。上件为末，炼蜜为丸，鸡头大（1.5g），每服半丸至一丸， 煎竹叶汤同砂糖温水化下。功用：清肝泻火。主治：肝经火郁证。症见：目赤肿痛，烦躁易怒，不能安卧，尿赤便秘，脉洪实；以及小儿急惊，热盛抽搐等。
 2.当归龙荟丸（《黄帝素问宣明论方》，又名龙脑丸） 当归焙、龙胆草、大栀子黄连、黄柏、黄芩各一两（各30g）、大黄、芦荟、青黛各半两（各15g） 、木香一分（0.3g）麝香半钱（1.5g）。上为末，炼蜜为丸， 如小豆大，小儿如麻子大，每服二十丸，生姜汤下。功用：清泻肝胆实火。主治：肝胆实火证。症见头晕目眩，神志不宁，谵语发狂，或大便 秘结，小便赤涩。"
泻青丸的组成有哪些药物,泻青丸的组成有：当归（去芦头，切，焙，秤）、龙脑（焙， 秤、）川芎、山栀子仁、川大黄（湿纸裹，煨）、羌活、防风（去芦头，切，焙， 秤），各等分。
泻青丸的煎服法是什么,泻青丸的煎服法是：药物为末，炼蜜为丸，鸡头大（1.5g），每服半丸至一丸， 煎竹叶汤同砂糖温水化下。
泻青丸的功用是什么,泻青丸的功用是：清肝泻火。
泻青丸的主治是什么,泻青丸的主治是：肝经火郁证。症见：目赤肿痛，烦躁易怒，不能安卧，尿赤便秘，脉洪实；以及小儿急惊，热盛抽搐等。
当归龙荟丸的组成有哪些药物,当归龙荟丸的组成有：当归焙、龙胆草、大栀子黄连、黄柏、黄芩各一两（各30g）、大黄、芦荟、青黛各半两（各15g） 、木香一分（0.3g）麝香半钱（1.5g）。
当归龙荟丸的煎服法是什么,当归龙荟丸的煎服法是：上为末，炼蜜为丸， 如小豆大，小儿如麻子大，每服二十丸，生姜汤下。
当归龙荟丸的功用是什么,当归龙荟丸的功用是：清泻肝胆实火。
当归龙荟丸的主治是什么,当归龙荟丸的主治是：肝胆实火证。症见头晕目眩，神志不宁，谵语发狂，或大便 秘结，小便赤涩。
泻青丸、当归龙荟丸与龙胆泻肝汤如何鉴别使用,"龙胆泻肝汤、泻青丸、当归龙荟丸同属泻肝胆实火之剂。龙胆泻肝汤佐木通、泽泻、车前子等渗利之品，泻肝火并能清利湿热，用治肝火上炎及湿热下注证；泻青丸伍大黄泻火，且取羌活、防风辛散之能，泻肝火，并疏散肝胆郁火，适于肝火内郁证；当归龙荟丸配大黄、黄连、黄柏、芦荟等清泻之品，意在泻肝火，使之从二便分消，乃攻滞降泻之剂，用于肝经实火盛实之证。
"
龙胆泻肝汤的方论选录是什么,龙胆泻肝汤的方论选录是：胁痛口苦，耳聋耳肿，乃胆经之为病也。筋痿阴湿， 热痒阴肿，白浊溲血，乃肝经之为病也。故用龙胆草泻肝胆之火，以柴 胡为肝使，以甘草缓肝急，佐以芩、栀、通、泽、车前辈大利前阴，使 诸湿热有所从出也。然皆泻肝之品，若使病尽去，恐肝亦伤矣，故又加 当归、生地补血以养肝。盖肝为藏血之脏，补血即所以补肝也。而妙在 泻肝之剂，反作补肝之药，寓有战胜抚绥之义矣。（吴谦《医宗金鉴· 删补医名方论》）
龙胆泻肝汤的医案举例是什么,龙胆泻肝汤的医案举例：东垣治一人，前阴臊臭，又因连日饮酒，腹中不和， 求治。曰：夫前阴者，足厥阴肝之脉络循阴器出其挺末。凡臭者，心之 所主，散入五方为五臭，入肝为臊。当于肝经泻行间，是治其本；后于 心经泻少冲，乃治其标。如恶针，当用药除之。酒者气味俱阳，能生里 之湿热，是风燥热合于下焦为邪。经云：下焦如渎。又云：在下者引而 竭之。酒是湿热之物，亦宜决前阴以去之。治以龙胆泻肝汤，又治阴邪 热痒。柴胡梢二钱，泽泻二钱，车前子二钱，木通五分，生地黄、当归 梢、草龙胆各三分，作一服水煎，以美膳压之。（《古今医案按》卷 八）
龙胆泻肝汤的方歌是什么,龙胆泻肝汤的方歌是：龙胆泻肝栀芩柴，生地车前泽泻偕， 木通甘草当归合，肝经湿热力能排。
左金丸的用法是什么、怎么煎煮,左金丸的用法：药物为末，水丸或蒸饼为丸，白汤下五十丸（6g）（现代用法：为末，水泛为丸，每服3～6g，一日2次，温开水送服；亦可作汤剂，水煎服）。
左金丸的证治机理是什么,左金丸的证治机理是：本证是由肝郁化火，横逆犯胃，肝胃不和所致。肝经自病，则胁肋胀痛；犯胃则胃失和降，故嘈杂吞酸、呕吐口苦；舌红苔黄，脉象弦数，乃肝经火郁之候。治宜清泻肝火为主，兼以降逆止呕。
左金丸的方解是什么,左金丸的方解是：方中黄连用量为吴茱萸之六倍，重用黄连为君，一则与吴茱萸相伍，亦可入肝经而清肝火；二则善清胃热；三则泻心火，寓“实则泻其子”之意。然气郁化火之证，纯用苦寒之品，既恐郁结不开，又虑折伤中阳，故少佐辛热之吴茱萸，主入肝经，辛开肝郁，苦降胃逆，既可助黄连和胃降逆，又能制黄连之寒，使泻火而不凉遏，苦寒而不伤胃，并可引黄连入肝经，是为佐使药。二药配伍，共奏清泻肝火、降逆止呕之功。本方又名回令丸，《医方集解》名萸连丸。
左金丸的配伍特点是什么,左金丸的配伍特点是：辛开苦降，肝胃同治；寒热并用，主以苦寒。
左金丸的运用特点是什么,左金丸的运用特点是：本方为治疗肝火犯胃，肝胃不和证之常用方。以呕吐吞酸，胁痛口苦，舌红苔黄，脉弦数为辨证要点。
左金丸的附方有什么,左金丸的附方有：戊己丸（《太平惠民和剂局方》）：黄连去须、吴茱萸（去梗，炒）、白芍药各五两（各15g）。上为细末，面糊为丸，如梧桐子大。每服二十丸，浓煎米饮下，空心，日三服。功用：疏肝理脾，清热和胃。主治：肝火横逆犯脾胃，肝脾胃不和证。症见胃痛吞酸，腹痛泄泻。
戊己丸的煎服法是什么,戊己丸的煎服法是：药物为细末，面糊为丸，如梧桐子大。每服二十丸，浓煎米饮下，空心，日三服。
戊己丸的组成有哪些药物,戊己丸的组成有：黄连去须、吴茱萸（去梗，炒）、白芍药各五两（各15g）。
戊己丸的功用是什么,戊己丸的功用是：疏肝理脾，清热和胃。
戊己丸的主治是什么,戊己丸的主治是：肝火横逆犯脾胃，肝脾胃不和证。症见胃痛吞酸，腹痛泄泻。
戊己丸与左金丸如何鉴别使用,左金丸为戊己丸去白芍，再改变黄连与吴茱萸的用量比例而成。戊己丸中黄连与吴茱萸等量而用，清热与开郁并重，配伍白芍意在和里缓急，有疏肝理脾和胃之功，故可用于治疗肝脾不和之胃痛吞酸、腹痛泄泻。左金丸与龙胆泻肝汤皆用于肝火胁痛、口苦之症，同具清泻肝火之功。左金丸主治肝经郁火犯胃之呕吐、吞酸等症，尚有降逆和胃之功，但无清利湿热之能，且泻火作用较之为弱；龙胆泻肝汤用治肝经实火上攻之目赤耳聋，或湿热下注之淋浊阴痒等症，尚有清利湿热之功，但无和胃降逆之能，且泻火之力较之为强。
左金丸的方论选录是什么,左金丸的方论选录是：此足厥阴药也。肝实则作痛，心者，肝之子，实则泻其子，故用黄连泻心清火为君，使火不克金，金能制木，则肝平矣；吴茱辛热，能入厥阴，行气解郁，又能引热下行，故以为反佐。一寒一热，寒者正治，热者从治，故能相济以立功也。（汪昂《医方集解·泻火之剂》）
左金丸的医案举例是什么,左金丸的医案举例是：李仪部，常患腹痛，以补中益气加山栀即愈。一日，因怒，肚腹作痛，胸胁作胀，呕吐不食，肝脉弦紧。此脾气虚弱，肝火所乘。仍用前汤，吞左金丸，一服而愈。（《名医类案》卷六）
左金丸的方歌是什么,左金丸的方歌是：左金茱连六一丸，肝经火郁吐吞酸， 再加芍药名戊己，热泻热痢服之安。
泻白散的用法是什么、怎么煎煮,泻白散的用法是：药物锉散，入粳米一撮，水二小盏，煎七分，食前服（现 代用法：水煎服）。
泻白散的证治机理是什么,泻白散的证治机理是：本方主治肺有伏火郁热之证。肺主气，宜清肃下降伏火郁肺，则气逆不降而为喘咳；肺合皮毛，肺中伏火外蒸于皮毛，故皮肤蒸热；肺金旺于酉时，伏火渐伤阴分，故身热日晡尤甚，其特点是轻按觉热，久按若无，与阳明之蒸蒸发热、愈按愈盛者有别；舌红苔黄，脉象细数，是热邪渐伤阴分之候。钱氏据小儿“稚阴”之体及肺为娇脏、不耐寒热之性，对肺有伏火之证，避苦寒凉遏，宜清泻肺中伏火之法。
泻白散的方解是什么,泻白散的方解是：方中桑白皮甘寒性降，专入肺经，善清肺热，泻肺气，平喘咳，故以为君。地骨皮甘寒入肺，可助君药清降肺中伏火，为臣药。君臣相合，清泻肺热，以使金清气肃。炙甘草、粳米养胃和中，培土生金，以扶肺气，兼调药性，共为佐使。四药合用，共奏泻肺清热、止咳平喘之功。
泻白散的配伍特点是什么,泻白散的配伍特点是：甘寒清降，泻中寓补，培土生金。
泻白散的运用特点是什么,泻白散的运用特点是：本方为治疗肺有伏火、郁热喘咳之常用方。以咳喘气急，皮肤蒸热，舌红苔黄，脉细数为辨证要点。
泻白散的附方有什么,"1.葶苈大枣泻肺汤（《金匮要略》）：葶苈子（熬令色黄，捣丸如弹子大（9g））、大枣十二枚（4枚）。上先以水三升，煮枣取二升，去枣，内葶苈，煮取一升，顿服。功用：泻肺行水，下气平喘。主治：痰水壅实之
咳喘胸满。
2.黄芩泻白散（《症因脉治》）：黄芩10g、桑白皮、地骨皮各15g、甘草5g（原著本方无用量）水煎服。功用：清泻肺热。主治：肺经有热。症见喘咳面肿，气逆胸满，小便不利。
"
葶苈大枣泻肺汤的煎服法是什么,葶苈大枣泻肺汤的煎服法是：药物先以水三升，煮枣取二升，去枣，内葶苈，煮取一升，顿服。
葶苈大枣泻肺汤的组成有哪些药物,葶苈大枣泻肺汤的组成有：葶苈子（熬令色黄，捣丸如弹子大（9g））、大枣十二枚（4枚）。
葶苈大枣泻肺汤的功用是什么,葶苈大枣泻肺汤的功用是：泻肺行水，下气平喘。
葶苈大枣泻肺汤的主治是什么,葶苈大枣泻肺汤的主治是：痰水壅实之咳喘胸满。
黄芩泻白散的煎服法是什么,黄芩泻白散的煎服法是：黄芩10g、桑白皮、地骨皮各15g、甘草5g（原著本方无用量）
黄芩泻白散的组成有哪些药物,黄芩泻白散的组成有：水煎服。
黄芩泻白散的功用是什么,黄芩泻白散的功用是：清泻肺热。
黄芩泻白散的主治是什么,黄芩泻白散的主治是：肺经有热。症见喘咳面肿，气逆胸满，小便不利。
黄芩泻白散、葶苈大枣泻肺汤与泻白散如何鉴别使用,葶苈大枣泻肺汤、泻白散与黄芩泻白散均有泻肺之功，用 于肺热喘咳证。但葶苈大枣泻肺汤以葶苈子苦寒泻肺，逐痰行水，佐以 大枣甘温安中，使泻不伤正，适于痰浊壅滞于肺而致之痰喘；泻白散以 甘寒之桑白皮、地骨皮清肺热、泻肺气、平喘咳，佐以炙甘草、粳米养 胃和中，培土生金，适于肺中伏火郁热之喘咳；黄芩泻白散由泻白散去 粳米加黄芩而成，较之泻白散，清火之功盛，而培土之功不足，适于肺 热较盛之喘咳。
泻白散的方论选录是什么,"泻白散的方论选录是：肺气本辛，以辛泻之，遂其欲也。遂其欲当谓之补，而仍云泻者，有平肺之功焉。桑皮、甘草，其气俱薄，不燥不刚，虽泻而无伤于娇脏。……经言：肺苦气上逆，急食苦以泄之。然肺虚气逆，
又非大苦大寒如芩、连、栀、柏辈所宜，故复以地骨皮之苦，泄阴火、退虚热而平肺气……使以甘草、粳米，缓桑、骨二皮于上，以清肺定喘，非谓肺虚而补之以米也。（王子接《绛雪园古方选注》卷中）"
泻白散的医案举例是什么,泻白散的医案举例是：东都张氏孙，九岁，病肺热。他医以犀角、龙麝、生牛黄治之，一月不愈。其症喘嗽，闷乱，饮水不止，全不能食。钱用使君子丸、益黄散，张曰：本有热，何以又行温药。他医用凉药攻之，一月尚未效。钱曰：凉药久则胃寒不能食，小儿虚不能食，当补脾。候饮食如故，即泻肺经，病必愈矣。服补脾药二日，其子欲饮食。钱以泻白散泻肺，遂愈七分。张曰：何以不虚？钱曰：先实其脾，然后泻肺，故不虚也。（《名医类案》卷十二）
泻白散的方歌是什么,泻白散的方歌是：泻白桑皮地骨皮，甘草粳米四般宜，参茯知芩皆可入，肺热喘嗽此方施。
清胃散的用法是什么、怎么煎煮,清胃散的用法是：上药为细末，都作一服，水一盏半，煎至七分，去滓，放冷服之（现代用法：水煎服）。
清胃散的证治机理是什么,清胃散的证治机理是：本证乃胃有积热，循经上攻所致。足阳明胃经循鼻入上齿，手阳明大肠经上项贯颊入下齿，胃中热盛，循经上攻，故牙痛牵引头痛、面颊发热、唇舌腮颊肿痛；胃热上冲，则口气热臭；胃为多气多血之腑，胃热每致血分亦热，血络受伤，故牙宣出血，甚则牙龈溃烂；口干舌燥、舌红苔黄、脉滑数，俱为胃热津伤之候。治宜清胃凉血。
清胃散的方解是什么,"清胃散的方解是：方用苦寒泻火之黄连为君，直折胃腑之热。臣以甘辛微寒之升麻，一取其清热解毒，以治胃火牙痛；一取其轻清升散透发，可宣达郁遏之伏火，取“火郁发之”之意。黄连得升麻，降中寓升，则泻火而
无凉遏之弊；升麻得黄连，则散火而无升焰之虞。臣以丹皮凉血清热。佐以生地凉血滋阴；当归养血活血，合生地滋阴养血，合丹皮消肿止痛。升麻兼以引经为使。诸药合用，共奏清胃凉血之效，以使上炎之火得降，血分之热得除，热毒内彻而解。"
清胃散的配伍特点是什么,清胃散的配伍特点是：苦寒辛散并用，降中有升，火郁发之。
清胃散的运用特点是什么,"清胃散的运用特点是：本方为治疗胃火牙痛之常用方，凡胃热证或胃经血热火郁者均可使用。以牙痛牵引头痛，口气热臭，舌红苔黄，脉滑数为辨证要点。《医方集解》载本方有石膏，其清胃之力更强。
"
清胃散的附方有什么,清胃散的附方有：泻黄散（《小儿药证直诀》，又名泻脾散）：藿香叶七钱（6g）、山栀仁一钱（3g）、石膏五钱（9g）、甘草三两（6g）、防风（去芦，切，焙）四两（9g）。上药物药锉，同蜜、酒微炒香，为细末。每服一至二钱（3～6g），水一盏，煎至五分，温服清汁，无时。功用：泻脾胃伏火。主治：脾胃伏火证。症见口疮口臭，烦渴易饥，口燥唇干，舌红脉数，以及脾热弄舌等。
泻黄散的煎服法是什么,泻黄散的煎服法是：药物药锉，同蜜、酒微炒香，为细末。每服一至二钱（3～6g），水一盏，煎至五分，温服清汁，无时。
泻黄散的组成有哪些药物,泻黄散的组成有：藿香叶七钱（6g）、山栀仁一钱（3g）、石膏五钱（9g）、甘草三两（6g）、防风（去芦，切，焙）四两（9g）。
泻黄散的功用是什么,泻黄散的功用是：泻脾胃伏火。
泻黄散的主治是什么,泻黄散的主治是：脾胃伏火证。症见口疮口臭，烦渴易饥，口燥唇干，舌红脉数，以及脾热弄舌等。
泻黄散与清胃散如何鉴别使用,泻黄散与清胃散皆有清胃热之功。泻黄散泻脾胃伏火，主 治脾热弄舌、口疮口臭等；清胃散清胃凉血，主治胃热牙痛，或牙宣出 血、颊腮肿痛者。但前者是清散并用，兼顾脾胃；后者以清胃凉血为 主，兼以升散解毒。
清胃散的方论选录是什么,清胃散的方论选录是：阳明胃多气多血，又两阳合明为热盛，是以邪入而为病常实。若大渴、舌苔、烦躁，此伤气分，热聚胃腑，燥其津液，白虎汤主之。若醇饮肥厚炙煿过用，以致湿热壅于胃腑，逆于经络，而为是病，此伤血分，治宜清胃。方中以生地益阴凉血为君，佐之以丹皮，去蒸而疏其滞；以黄连清热燥湿为臣，佐之以当归，入血而循其经。仍用升麻之辛凉，为本经捷使，引诸药直达血所，则咽喉不清、齿龈肿痛等症，廓然俱清矣。（吴谦《医宗金鉴·删补名医方论》）
清胃散的医案举例是什么,清胃散的医案举例是：柴屿青治满少司农讳兆惠，内阁侍读，同在军机处值宿，患重舌肿痛。问曰：曾服通经散泻火，而病不除，何也？答曰：火有诸经，岂可混治，诛伐无过？幸汝年少，未至大害。诊其右关洪实，胃火特甚。时已薄暮，清胃散一服，而次早霍然。（《续名医类案》卷十八）
清胃散的方歌是什么,清胃散的方歌是：清胃散用升麻连，当归生地牡丹全，或益石膏平胃热，口疮吐衄及牙宣。
玉女煎的用法是什么、怎么煎煮,玉女煎的用法是：药物用水一盅半，煎七分，温服或冷服（现代用法：水煎服）。
玉女煎的证治机理是什么,"玉女煎的证治机理是：本方主治少阴不足，阳明有余之证。阳明气火有余，胃热循经上攻，则见头痛牙痛；热伤胃经血络，则牙龈出血；热耗少阴阴精，故见烦热干渴、舌红苔黄且干。此为火盛水亏相因为病，而以火盛为主。治宜清胃热为主，兼滋肾阴。
"
