content,index
十二经脉在体表的分布规律,"十二经脉左右对称地分布于人体体表的头面、躯干和四肢。正立姿势、
两臂自然下垂、掌心向内、拇指向前为标准体位。十二经脉中六条阳经
分布于四肢外侧和头面、躯干，其中上肢外侧的是手三阳经，下肢外侧
的是足三阳经，其分布规律是阳明在前、少阳在中（侧）、太阳在后。
六条阴经分布于四肢内侧和胸腹，其中上肢内侧是手三阴经，下肢内侧
是足三阴经。手三阴经的分布规律是太阴在前、厥阴在中、少阴在后。
足三阴经在内踝上8寸以下分布规律是厥阴在前、太阴在中、少阴在
后，在内踝上8寸以上，太阴交出厥阴之前，分布规律为太阴在前、厥
阴在中、少阴在后。"
十二经脉表里属络关系,"十二经脉在体内与脏腑相联属，脏腑有表里相合的关系，十二经脉之阴
经和阳经亦有明确的脏腑属络和表里关系。其中阴经属脏络腑主里，阳
经属腑络脏主表。十二经脉之间存在着表里配对关系。"
,
十二经脉循行走向,"十二经脉循行走向的规律是：手三阴经从胸走手，手三阳经从手走头，
足三阳经从头走足，足三阴经从足走腹（胸）。"
十二经脉交接规律,"①相表里的阴经与阳经在四肢末端交接，
如手太阴肺经与手阳明大肠经交接于食指端。②同名的阳经与阳经在头
面部交接，如手阳明大肠经与足阳明胃经交接于鼻旁。③相互衔接的阴
经与阴经在胸中交接，如足太阴脾经与手少阴心经交接于心中"
,
十二经脉气血流注规律,"十二经脉气血流注顺序有一定规律。中焦受纳、腐熟水谷，化生水谷精
微而生气血，所以十二经脉气血源于中焦。气血的运行，有赖于肺气的
输送，因此十二经脉气血流注从手太阴肺经开始，由肺经逐经相传，形
成周而复始、如环无端的流注系统，将气血周流全身，营养和维持各组
织器官的功能活动。流注次序是：气血流注始于手太阴肺经，然后交手
阳明大肠经，再交足阳明胃经、足太阴脾经，继交手少阴心经、手太阳
小肠经、足太阳膀胱经、足少阴肾经、手厥阴心包经、手少阳三焦经、
足少阳胆经、足厥阴肝经，自肝经上注肺，再返回至肺经，重新再循
环，周而复始。如《灵枢·卫气》载：“阴阳相随，外内相贯，如环之无
端。”"
十二经脉与脏腑器官的联络,"十二经脉除了与属络的脏腑有特定联系外，还与其循行分布部位的其他
脏腑或组织器官有着密切的联络。临床上辨证分经，循经取
穴，多以此为依据。"
手太阴肺经属络的脏腑,起于中焦，属肺，络大肠，还循胃口
手阳明大肠经属络的脏腑,属大肠，络肺
足阳明胃经属络的脏腑,属胃，络牌
足太阴脾经属络的脏腑,属牌，络胃，流注心中
手少明心经属络的脏腑,属心，络小肠，上肺
手太阳小肠经属络的脏腑,属小肠，络心，抵胃
足太阳膀胱经属络的脏腑,属膀胱，络肾
足少阴肾经属络的脏腑,属肾，络膀胱，上贯肝，人肺中，络心
手厥阴心包经属络的脏腑,属心包，络三焦
"
手少阳三焦经属络的脏腑",属三焦，络心包
足少阳胆经 属络的脏腑,属胆，络肝
足厥阴肝经属络的脏腑,属肝，络胆，夹胃，注肺
手太阳小肠经属络的脏腑,循咽，至目锐眦，入耳中，抵鼻，至目内毗属肝，络胆，夹胃，注肺“一定要按照以上原文回答”
是太阳膀胱经联络的器官 ,起于目内眦，至耳上角，入络脑“一定要按照以上原文回答”
足少阴肾经联络的器官 ,循喉咙，夹舌本“一定要按照以上原文回答”
,
手少阳三焦经联络的器官 ,系耳后，出耳上角，人耳中，至目锐毗“一定要按照以上原文回答”
足少阳胆经 联络的器官 ,起于目锐眦，下耳后，入耳中，出耳前“一定要按照以上原文回答”
足厥阴肝经 联络的器官 ,过阴器，连目系，环唇内“一定要按照以上原文回答”
手太阴肺经联络的器官 ,喉咙“一定要按照以上原文回答”
手阳明大肠经联络的器官 ,人下齿中，夹口、鼻“一定要按照以上原文回答”
足阳明胃经联络的器官 ,起于鼻，入上齿，环口夹唇，循喉咙“一定要按照以上原文回答”
足太阴脾经联络的器官 ,夹咽，连舌本，散舌下“一定要按照以上原文回答”
手少明心经联络的器官 ,夹咽，系目系“一定要按照以上原文回答”
奇经八脉的定义,"奇经八脉指督脉、任脉、冲脉、带脉、阴维脉、阳维脉、阴跷脉、阳跷
脉八条，因与十二经脉不同而别道奇行，故称为奇经八脉。"
奇经八脉之“奇”含义,"一指“异”，它们与十二正经不同，既不直属脏
腑，除任、督外又无专属穴位和表里配合关系，且“别道奇行”。二指单
数，偶之对，因奇经没有表里配合关系。"
奇经八脉的作用,奇经八脉交错地循行分布于十二经之间，具有以下作用：统率、主导作用，沟通、联络作用 ，蓄积、渗灌的调节作用 ，
奇经八脉的作用之统帅，主导作用,"奇经八脉将部位相近、功能相似的经脉联系起来，
达到统率有关经脉气血、协调阴阳的作用。督脉之“督”有总督之意。督
脉督领诸阳经，统摄全身阳气和真元，为“阳脉之海”。任脉之“任”有妊
养之意。任脉妊养诸阴经，总调全身阴气和精血，为“阴脉之海”。冲脉
之“冲”为要冲之意。冲脉还与足阳明、足少阴等经关系密切，故有“十
二经脉之海”和“血海”之称，具有涵蓄十二经气血的作用。督、任、冲
脉皆起于胞中，同出会阴，称为“一源三歧”。带脉之“带”指腰带。带脉
起于胁下，绕行腰间一周，有约束纵行躯干部的诸条经脉的作用。维脉
之“维”，有维系、主持之意。阳维脉主一身之表，阴维脉主一身之里，
具有维系一身阴经和阳经的作用。跷脉之“跷”有足跟、矫捷之意。阴阳
跷脉主肢体两侧的阴阳，调节下肢运动与寤寐。"
奇经八脉的作用之沟通，联络作用,"奇经八脉在循行分布过程中，与其他各经相互交会
沟通，加强了十二经脉之间的相互联系。如手足三阳经共会督脉于大
椎，任脉关元、中极穴为足三阴经之交会穴，冲脉加强了足阳明与足少
阴经之间的联系，带脉横绕腰腹，联系着纵行于躯干的各条经脉等。"
奇经八脉的作用之蓄积、渗灌的调节作用,"奇经八脉纵横交错循行于十二经脉之间，当
十二经脉和脏腑之气旺盛时，奇经加以储蓄；当十二经脉生理功能需要
时，奇经又能渗灌和供应。如《难经·二十八难》所说：“比与圣人图设
沟渠，沟渠满溢，流于深湖，故圣人不能拘通也。而人脉隆盛，入于八
脉，而不环周，故十二经亦不能拘之。”"
十四经的由来,"奇经八脉中的任脉和督脉，各有其所属的腧穴，故与十二经相提并论合
称“十四经”，其他六条奇经则没有专门的腧穴。"
,
奇经八脉理论的具体运用,八脉交会穴、灵龟八法和飞腾八法
十二经别的定义,十二经别是十二正经别行深入体腔的支脉。由于经别均由十二经脉分 出，故其名称也依十二经脉而定，即有手三阴、手三阳经别和足三阴、 足三阳经别。
十二经别的特点,"十二经别的循行分布具有离、入、出、合的特点，多从四肢肘膝关节附
近正经别出（离），经过躯干深入体腔与相关的脏腑联系（入），再浅
出体表上行头项部（出），在头项部，阳经经别合于本经的经脉，阴经
经别合于其相表里的阳经经脉（合），"
六合的定义,由此十二经别按阴阳表里关系会 合成六组，称为“六合”。
十二经别的分布概况,足太阳、足少阴经别从腘部分出，入走肾与膀胱，上出于项，合于足太 阳膀胱经；足少阳、足厥阴经别从下肢分出，行至毛际，入走肝胆，上 系于目，合于足少阳胆经；足阳明、足太阴经别从髀部分出，入走脾 胃，上出鼻，合于足阳明胃经；手太阳、手少阴经别从腋部分出，入走 心与小肠，上出目内眦，合于手太阳小肠经；手少阳、手厥阴经别分别 从所属正经分出，进入胸中，入走三焦，上出耳后，合于手少阳三焦 经；手阳明、手太阴经别从所属正经分出，入走肺与大肠，上出缺盆， 合于手阳明大肠经。
十二经别的作用与临床意义,十二经别有加强表里两经联系的作用。阴经经别多走向阳经经别，并与 之会合，从而使十二经脉表里两经之间增加了联系。十二经别有加强经 脉与脏腑联系的作用。经别进入体腔以后，大多数循行于该经脉所属脏 腑，特别是阳经经别全部联系到其本经有关的脏和腑，使体内脏腑的配 合以及表里两经在内行部分的联系更加密切，也为临床常用的表里配穴 法提供了理论依据。十二经别有加强十二经脉与头部联系的作用，不仅 阳经经别到达头部，阴经经别也合于头面。由于经别加强了十二经脉与 头面的联系，从而突出了头面部经脉和穴位的重要性及其主治作用，也 为手足三阴经中部分穴位能够治疗头面和五官疾病，以及近代发展起来 的头针、面针、耳针等奠定了理论基础。经别还弥补了十二经脉分布的 不足，并加强了各经与心的联系。十二经脉脉气所没有分布到的某些部 位和脏器，通过经别联系起来，密切了人体各部分之间的关系。经别无 所属穴位和病证，但由于其循行补充了十二经脉的不足，从而扩大了经 穴的主治范围。如十二经脉中足阳明胃经没有联系到心脏，手少阴心经 也没有循行到胃腑，而足阳明经别的循行是属于胃，散络于脾，又上通 于心，沟通了心与胃之间的联系，从而为中医和胃气以安心神的治法提 供了理论依据。足太阳膀胱经的承山穴能够治疗肛肠疾患，也是因为其 经别“别入于肛”。
十五络脉的定义,"十二经脉和任脉、督脉各自别出一络，加上脾之大络，总计15条，称为
十五络脉，分别以其所别出处的腧穴命名。也有“十六络”之说，包括胃
之大络，“胃之大络，名曰虚里。贯膈络肺，出于左乳下，其动应衣，
脉宗气也”。"
十五络脉分布特点或分布范围,"十二经脉别络在四肢肘膝关节以下本经络穴分出后，均走向其相表里的
经脉；任脉的别络，从胸骨剑突下鸠尾分出后，散布于腹部；督脉的别
络，从尾骨下长强分出后，散布于头部，并走向背部两侧的足太阳经；
脾的大络，出于腋下大包穴，散布于胸胁部。全身络脉中，十五络脉较
大，络脉中浮行于浅表部位的称为“浮络”，络脉最细小的分支称为“孙
络”，遍布全身，难以计数。十二经脉和任脉、督脉各自别出一络，加上脾之大络，总计15条，称为
十五络脉，分别以其所别出处的腧穴命名。也有“十六络”之说，包括胃
之大络，“胃之大络，名曰虚里。贯膈络肺，出于左乳下，其动应衣，
脉宗气也”。十二经脉和任脉、督脉各自别出一络，加上脾之大络，总计15条，称为
十五络脉，分别以其所别出处的腧穴命名。也有“十六络”之说，包括胃
之大络，“胃之大络，名曰虚里。贯膈络肺，出于左乳下，其动应衣，
脉宗气也”。十二经脉和任脉、督脉各自别出一络，加上脾之大络，总计15条，称为
十五络脉，分别以其所别出处的腧穴命名。也有“十六络”之说，包括胃
之大络，“胃之大络，名曰虚里。贯膈络肺，出于左乳下，其动应衣，
脉宗气也”。“一定不要拓展举例，按原本答案回答即可”"
十五络脉的作用与临床意义,"四肢部的十二经别络有沟通表里两经，加强十二经脉表里两经之间联系
的作用。其中阴经络脉走向阳经，阳经络脉走向阴经，阴阳经的络脉相
互交通连接。
十五络脉为大络，有统属全身浮络、血络、孙络以渗灌血液、营养周
身、贯通营卫的作用。根据络脉的分布特点，可以使十二经脉气血由线
状流行逐渐扩展为网状弥散。十二经的络穴部位，即是各经络脉脉气的
汇聚点和枢纽；任络、督络和脾之大络，沟通了腹、背和身侧的经气，
输布气血以濡养全身。孙络、浮络纵横交错，网络周身，行于外者
为“阳络”，行于内者为“阴络”，内而脏腑，外而五官九窍、四肢百骸，
无处不到，输布气血以濡养全身。《灵枢·本脏》记载：“经脉者，所以
行血气而营阴阳，濡筋骨，利关节者也。”循行于经脉中的营卫气血，
正是通过络脉中布散全身的浮络、孙络而温养、濡润全身，维持人体正
常生理功能的。"
浮络的定义,全身络脉中，十五络脉较 大，络脉中浮行于浅表部位的称为“浮络”
孙络的定义,"络脉最细小的分支称为“孙
络”，遍布全身，难以计数。"
十五络脉的作用与临床意义之四肢部的十二经别络的作用,有沟通表里两经，加强十二经脉表里两经之间联系 的作用。其中阴经络脉走向阳经，阳经络脉走向阴经，阴阳经的络脉相 互交通连接。
络脉理论在中医临床的意义,如根据络脉病候和络脉沟通表里两经的特点，可以选用 络穴治疗络脉的虚实病证和表里两经的病变。络脉理论还用于诊察疾 病，如诊察络脉颜色的变化，可测知脏腑经脉有关方面的病变；指导针 刺放血，可治疗相应疾病，如刺络拔罐以放出少许血液，可祛除络脉中 的瘀积，达到通畅气血、治疗疾病的目的。
十二经筋的定义,十二经筋是十二经脉之气结、聚、散、络于筋肉关节的体系，是附属于 十二经脉的筋肉系统。十二经筋皆隶属于十二经脉，并随所辖经脉而命 名。
十二经筋分布的特点,"十二经筋的循行分布，与其所辖经脉体表通路基本一致，其循行走向均 从四肢末端走向头身，行于体表，不入内脏。其分布是成片的，有结、 聚、散、络的特点。""一定按原答案回答，不要拓展分条回答"""
十二经筋分布范围,"十二经筋的循行分布，与其所辖经脉体表通路基本一致，其循行走向均
从四肢末端走向头身，行于体表，不入内脏。其分布是成片的，有结、
聚、散、络的特点。结聚部位多在关节及肌肉丰厚处，并与邻近的他经
相联结。其中足三阳经筋起于足趾，循股外上行结于（面部）；足三阴
经筋起于足趾，循股内上行结于阴器（腹部）；手三阳经筋起于手指，
循臑外上行结于角（头部）；手三阴经筋起于手指，循臑内上行结于贲
（胸部）。前阴是宗筋所聚，足三阴与足阳明经筋都在该处聚合。散，
主要在胸腹。络，足厥阴肝经除结于阴器外，还能总络诸筋。此外，经
筋还有刚（阳）筋、柔（阴）筋之分。刚筋分布于项背和四肢外侧，以
手足阳经经筋为主；柔筋分布于胸腹和四肢内侧，以手足阴经经筋为
主。"
十二经筋分布概况和特点之结聚部位特点,结聚部位多在关节及肌肉丰厚处，并与邻近的他经相联结。
十二经筋的作用,经筋的作用主要是约束骨骼，利于关节屈伸活动，以保持人体正常的运 动功能。《素问·痿论》曰：“宗筋主束骨而利机关也。”
十二经筋的临床意义,经筋为病，多有转筋、筋痛、弛纵等表现，针灸治疗多局部取穴，且多 用燔针劫刺。如《灵枢·经筋》云：“治在燔针劫刺，以知为数，以痛为 输。”
十二皮部的定义,十二皮部是十二经脉功能活动反映于体表的部位，也是络脉之气在皮肤 所散布的部位。《素问·皮部论》说：“皮者，脉之部也。”“凡十二经络 脉者，皮之部也
十二皮部分布,"十二皮部的分布区域，是以十二经脉体表的分布范围为依据的，是十二
经脉在皮肤上分属的部位。《素问·皮部论》指出：“欲知皮部，以经脉
为纪者，诸经皆然。”"
十二皮部的作用,"十二皮部居于人体最外层，与经络气血相通，是络脉之气（卫气）散布
之处，所以是机体的卫外屏障，有保卫机体、抗御外邪和反映病证的作
用。"
十二皮部的临床意义,"皮部理论临床应用广泛，包括针灸在内的各种外治法离不开皮部理论的
指导，中医临床诊断辨证上也常以皮部理论为依据。在针灸临床中，腧
穴定位和刺法的操作，都离不开皮部。特别是各种灸法、挑刺、拔罐、
穴位贴敷以及近代兴起的各种皮肤针法等，与皮部的关系都十分密切"
经络之中标本的定义,"标本中“标”原义指树梢，引申为上部，与人体头面胸背的位置相
应；“本”原义指树根，引申为下部，与人体四肢下端相应。主要指经脉
腧穴分布部位的上下对应关系。"
十二经脉与标本的关系,十二经脉都有“标”部与“本”部。本在四肢肘膝以下的一定部位，标在 头、胸背部。如足太阳之本，在足跟以上5寸中，穴为跗阳，标在两络 命门（目），穴为睛明。
经络当中“根本”的定义,根结中“根”指根本、开始，即四肢末端井穴；“结”指结聚、归结，即 头、胸、腹部。《标幽赋》指出：“更穷四根三结，依标本而刺无不 痊。”“四根三结”指十二经脉以四肢为“根”，以头、胸、腹三部为“结”。 主要反映经气的所起与所归，以及经气上下两极间的关系。
十二经脉之中“标本”与“根结”的关系,十二经脉的“根”与“本”，“结”与“标”位置相近或相同，意义也相 似。“
十二经脉之中“标本”与“根结”的相同与不同,"十二经脉的“根”与“本”，“结”与“标”位置相近或相同，意义也相
似。“根”有“本”意，“结”有“标”意。“根”与“本”部位在下，皆经气始生
始发之地，为经气所出；“结”与“标”部位在上，皆为经气所结、所聚之
处，为经气之所归。但它们在具体内容上又有所区别，即“根之上有
本”，“结之外有标”，“标本”的范围较“根结”为广。“标本”理论强调经脉
分布上下部位的相应关系；而“根结”理论则强调经气两极间的联系。"
标本根结理论的意义,"标本根结理论补充说明了经气的流注运行状况，即经气循行的多样性和
弥散作用，强调了人体四肢与头身的密切联系，为四肢肘膝以下的腧穴
治疗远隔部位的脏腑及头面五官疾病提供了又一理论依据。"
气街的定义,气街是经气聚集运行的共同通路。《灵枢·卫气》记载：“请言气街：胸 气有街，腹气有街，头气有街，胫气有街。”《灵枢·动输》又指 出：“四街者，气之径路也。”说明了头、胸、腹、胫部有经脉之气聚集 循行的通路。
气街理论的意义,气街具 有横向为主、上下分部、紧邻脏腑、前后相连的特点，横贯脏腑经络， 纵分头、胸、腹、胫是其核心内容。气街理论从另一个角度阐述了经气 运行的规律，为临床配穴处方提供了理论依据。
经络腧穴之中“四海”的定义,"四海即髓海、血海、气海、水谷之海的总称，“海”是江河之水归聚之
处。四海为人体气血精髓等精微物质汇聚之所。经络学说认为十二经脉
内流行的气血像大地上的水流一样，如百川归海，故《灵枢·海论》指
出：“人有髓海，有血海，有气海，有水谷之海，凡此四者，以应四海
也。”"
经络腧穴之中“四海”的分布,四海的部位与气街的部位类似，髓海位于头部，气海位于胸部，水谷之 海位于上腹部，血海位于下腹部，各部之间相互联系。
经络腧穴之中“四海”理论的意义,四海主持全身的气血、津液，其中脑部髓海为元神之府，是神气的本 源、脏腑经络活动的主宰；胸部为气海，宗气所聚之处，贯心脉而行呼 吸；胃为水谷之海，是营气、卫气的化源之地，即气血生化之源；冲脉 为血海，又称“十二经之海”，起于胞宫，与原气关系密切，为原气之所 出，是人体生命活动的原动力。
经络腧穴之中“四海”理论的临床意义,四海理论进一步明确了经气的组成和来源。四海病变，主要分为有余、 不足两大类，对临床辨证施治具有指导意义。
经络的作用,"联系脏腑，沟通内外
运行气血，营养全身
抗御病邪，反映病候
传导感应，调和阴阳"
经络的作用之联系脏腑，沟通内外,"经络具有联络和沟通作用。人体的五脏六腑、四肢百骸、五官九窍、皮
肉筋骨等组织器官通过经络的联系而构成一个有机的整体，完成正常的
生理活动。十二经脉及其分支等纵横交错、入里出表、通上达下，联系
了脏腑器官，奇经八脉沟通于十二经之间，经筋、皮部联结了肢体筋肉
皮肤，从而使人体的各脏腑组织器官有机地联系起来，正如《灵枢·海
论》所说：“夫十二经脉者，内属于腑脏，外络于肢节。”"
经络的作用之运行气血，营养全身,《灵枢·本脏》说：“经脉者，所以行血气而营阴阳，濡筋骨，利关节者 也。”气血必须通过经络的传注，才能输布全身，以濡润全身各脏腑组 织器官，维持机体的正常功能。如营气之和调于五脏，洒陈于六腑，这 就为五脏藏精、六腑传化的功能活动提供了物质条件。
经络的作用之抗御病邪，反映病候,《素问·气穴论》说“孙络”能“以溢奇邪，以通营卫”，这是因为孙络的分 布范围很广，最先接触到病邪。当疾病侵犯时，孙络和卫气发挥了重要 的抗御作用。 经络又是传注病邪的途径，当体表受到病邪侵犯时，可通过经络由表及 里、由浅入深。《素问·缪刺论》载：“夫邪之客于形也，必先舍于皮 毛，留而不去，入舍于孙脉，留而不去，入舍于络脉，留而不去，入舍 于经脉，内连五脏，散于肠胃。”说明经络是外邪内传的渠道，外邪从 皮毛腠理内传于脏腑。 经络也是病变相互传变的渠道，是脏腑之间、脏腑与体表组织器官之间 相互影响的途径。如心热移于小肠、肝病影响到胃、胃病影响到脾等， 是脏腑病变通过经络传注而相互影响的结果。此外，内脏病变可通过经 络反映到体表组织器官，如《灵枢·邪客》说：“肺心有邪，其气留于两 肘；肝有邪，其气留于两腋；脾有邪，其气留于两髀；肾有邪，其气留 于两腘。
经络的作用之传导感应，调和阴阳,"针刺中的得气和气行现象都是经络传导感应的功能表现。人身经络之气
发于周身腧穴，《灵枢·九针十二原》说：“节之交，三百六十五会，所
言节者，神气之所游行出入也。”所以针刺操作的关键在于调气，所
谓“刺之要，气至而有效”。当经络或内脏机能失调时，通过针灸等刺激
体表的一定穴位，经络可以将其治疗性刺激传导到有关的部位和脏腑，
从而发挥其调节人体脏腑气血的功能，使阴阳平复，达到治疗疾病的目
的。"
经络学说的临床应用,"经络学说的临床应用，主要表现在诊断和治疗两个方面。
（一）诊断方面
1. 经络辨证 
2. 经络望诊 
3. 经络腧穴按诊 
4. 经络腧穴电测定 
（二）治疗方面
1. 指导针灸治疗 
2. 指导药物归经 "
经络学说的临床应用之经络辨证 ,"是以经络学说为理论依据，对患者的症状、体征进行综合
分析，以判断病属何经，并进而确定发病原因、病变性质及病机的一种
辨证方法。经络有一定的循行部位和脏腑属络，可以反映经络本身及所
属脏腑的病证，所以在临床上，根据疾病所出现的症状，结合经脉循行
的部位及所联系的脏腑，可以指导分经辨证。如头痛一症，痛在前额部
多与阳明经有关，痛在侧头部多与少阳经有关，痛在后头部多与太阳经
有关，痛在巅顶部多与厥阴经有关。另外，临床上还可以根据所出现的
证候进行经络辨证，如咳嗽、鼻流清涕、胸痛、上肢内侧前缘痛等，与
手太阴肺经有关。"
经络学说的临床应用之经络望诊,"是通过观察经络所过部位皮表所发生的各种异常改变来诊
断疾病的方法。经络望诊主要观察全身经络穴位的色泽、形态变化，如
皮肤的皱缩、隆陷、松弛，以及颜色的变异、光泽的明晦、色素的沉着
和斑疹的有无等。《灵枢·经脉》说：“凡诊络脉，脉色青则寒且痛，赤
则有热。胃中寒，手鱼之络多青矣；胃中有热，鱼际络赤；其暴黑者，
留久痹也；其有赤有黑有青者，寒热气也；其青短者，少气也。”说明
诊察络脉所表现的各种不同颜色，是诊断不同病证的重要依据之一。"
经络学说的临床应用之经络腧穴按诊 ,"是在经络腧穴部位上运用按压、触摸等方法来寻找异
常变化，如压痛、硬结、条索状物、肿胀、凹陷等，借以诊断疾病的方
法。这一诊法常可为针灸临床治疗提供选穴的直接依据。经络按诊的部
位多为背俞穴，其次是胸腹部的募穴以及四肢的原穴、郄穴、合穴或阿
是穴等。"
经络学说的临床应用之经络腧穴电测定,是利用经络穴位测定仪检测经络腧穴部位的电参 量，借以判断各经气血之盛衰的方法。测定内容主要包括经络穴位皮肤 的电阻或电位。由于人体腧穴具有低电阻特性，并且还受疾病等因素的 影响而发生变化，因此，测定这些变化，对于诊断经络脏腑疾病和选取 治疗穴位，都有一定参考价值。
经络学说的临床应用之,首先，指导针灸临床选穴。在明确诊断的基础上，除 选用局部的腧穴外，通常以循经取穴为主，即某一经络或脏腑有病，便 选用该经或脏腑的所属经络或相应经脉的远部腧穴来治疗。例如上病下 取、下病上取、中病旁取、左右交叉取以及前后对取等。如胃痛近取中 脘，循经远取足三里、梁丘；胁痛循经选取阳陵泉、太冲；前额阳明头 痛，循经选取上肢的合谷穴和下肢的内庭穴等。《四总穴歌》“肚腹三 里留，腰背委中求，头项寻列缺，面口合谷收”就是循经取穴的很好例 证。其次，指导刺灸方法的选用。如根据皮部与经络脏腑的密切联系， 临床上可用皮肤针叩刺皮肤、皮内针埋藏皮内来治疗脏腑经脉的病证； 根据“菀陈则除之”的原则，使用刺络出血的方法来治疗一些常见病，如 目赤肿痛刺太阳出血，咽喉肿痛刺少商出血，急性腰扭伤刺委中出血 等；经筋的病候，多表现为拘挛、抽搐等症，治疗多局部取穴。
经络学说的临床应用之指导药物归经,药物按其主治性能归入某经或某几经，简称药物归 经，它是在分经辨证的基础上发展起来的。因病证可以分经，主治某些 病证的药物也就成为某经或某几经之药。徐灵胎《医学源流论》 说：“如柴胡治寒热往来，能愈少阳之病；桂枝治畏寒发热，能愈太阳 之病；葛根治肢体大热，能愈阳明之病。盖其止寒热、已畏寒、除大 热，此乃柴胡、桂枝、葛根专长之事。因其能治何经之病，后人即指为 何经之药。”此外，中医各科也可以经络理论为依据进行施治，如目病 有时可以不治目而用补肝的方法，因为肝经联系于目；心火上炎的口舌 生疮，可清泄小肠，导火下行，是因为心与小肠为表里，在体内通过经 络有联系等。
,
,
,
