question,answer
关于毫针补泻手法之提插补泻？,提插补泻：针下得气后，先浅后深，重插轻提，以下插用力为主者为补法；先深后浅，轻插重提，以上提用力为主者为泻法。
关于毫针补泻手法之徐疾补泻？,徐疾补泻：进针时徐徐刺入，疾速出针者为补法；进针时疾速刺入，徐徐出针者为泻法。
关于毫针补泻手法之迎随补泻？,迎随补泻：此处指针向补泻。进针时针尖随着经脉循行去的方向刺入为补法，针尖迎着经脉循行来的方向刺入为泻法。
关于毫针补泻手法之呼吸补泻？,呼吸补泻：在患者呼气时进针，吸气时出针为补法；在患者吸气时进针，呼气时出针为泻法。
关于毫针补泻手法之开阖补泻？,开阖补泻：出针后迅速按闭针孔为补法；出针时摇大针孔而不按为泻法。
关于毫针补泻手法之平补平泻？,平补平泻：进针得气后均匀地提插、捻转，即为平补平泻。
关于毫针补泻手法之烧山火？,烧山火：将穴位的可刺深度分为浅、中、深三层（天、人、地三部），先浅后深，每层各做紧按慢提（或用捻转补法）九数，然后退回至浅层，称为一度。如此反复操作数度，再将针按至深层留针。在操作过程中，可配合呼吸补泻中的补法，出针时按压针孔。多用于治疗顽麻冷痹、虚寒性疾病等。
关于毫针补泻手法之透天凉？,透天凉：针刺入后直插深层，按深、中、浅的顺序，在每一层中紧提慢按（或用捻转泻法）六数，称为一度。如此反复操作数度，将针紧提至浅层留针。在操作过程中，可配合呼吸补泻中的泻法，出针时摇大针孔而不按压。多用于治疗热痹、急性痈肿等实热性疾病。
毫针留针概念？,毫针刺入腧穴并施行手法后，将针留置于腧穴内，称为留针。留针的目的是加强针刺的作用和便于继续行针施术。一般留针时间为15～30分钟。留针期间若不再施行任何手法，称为静留针；若施行一定的守气、行气和补泻手法，称为动留针。在临床实践中，留针与否及留针时间长短应根据患者具体病情而定，不可一概而论。
毫针出针概念？,出针：又称起针或退针，是在达到治疗目的后将针取出的过程。出针时应注意手法，避免用力过猛，出针后应轻压针孔以防出血，并观察针孔情况。出针又称起针、退针。在施行针刺手法或留针达到针刺治疗目的后，即可出针。出针的方法，一般是以押手持无菌干棉球轻轻按压于针刺部位，刺手持针做小幅度捻转，并随势将针缓慢提至皮下（不可用力过猛），静留片刻，然后出针。出针后，除特殊需要外，都要用无菌干棉球轻压针孔片刻，以防出血，也可减轻疼痛。当针退出后，要仔细查看针孔是否出血，询问针刺部位有无不适感，核对针数有无遗漏，还应注意患者有无晕针延迟现象。
关于毫针留针的注意事项？,"毫针留针的注意事项：
留针时间：留针时间一般为15～30分钟，但应根据患者的具体病情和体质调整。留针期间，如果不再施行任何手法，称为静留针；如果施行一定的守气、行气和补泻手法，称为动留针。
留针期间的观察：在留针期间，医者应密切观察患者的状态，包括患者的反应、针刺部位的感觉以及可能出现的异常情况，如晕针、滞针等，并随时准备采取相应的处理措施。
留针环境：留针应在安静、舒适的环境中进行，以利于患者放松，有助于气血流通和治疗效果的提升。
留针后的手法：在留针期间，医者可能会根据需要施行一定的手法，如提插、捻转等，以加强针刺效果。这些手法应根据患者的反应和治疗目的来调整。
特殊人群的留针：对于特殊人群，如孕妇、老年人、儿童等，留针时应特别小心，避免过度刺激，以免引起不适。"
关于毫针出针的注意事项？,"毫针出针的注意事项：
出针方法：出针时，医者应以押手持无菌干棉球轻轻按压于针刺部位，刺手持针做小幅度捻转，并随势将针缓慢提至皮下，避免用力过猛。
针孔处理：出针后，应使用无菌干棉球轻压针孔片刻，以防出血，并减轻疼痛。在特殊情况下，如针孔出血较多，可能需要采取额外的止血措施。
观察针孔：针退出后，医者应仔细查看针孔是否出血，询问患者针刺部位有无不适感，并核对针数有无遗漏。
晕针延迟现象：在出针后，医者应观察患者是否有晕针延迟现象，如出现，应及时处理。
针具处理：出针后，应妥善处理使用过的针具，进行消毒或丢弃，以防止交叉感染。
患者指导：在出针后，医者应向患者提供适当的指导，如避免立即活动针刺部位，保持针孔清洁干燥，以及如何观察和处理可能出现的后续反应。"
关于毫针针刺异常情况的处理和预防内容？,"毫针刺法虽然比较安全，但如操作疏忽大意，或犯刺禁，或针刺手法不当，或对针刺部位解剖结构缺乏全面了解，有时也会出现一些异常情况。常见者有以下几种：
晕针：在针刺过程中患者发生晕厥现象。处理方法是立即停止针刺，将针全部起出，让患者平卧并注意保暖。预防措施包括对初次接受针刺者做好解释工作，选择合适的体位，以及在针刺过程中保持精神专一并注意观察患者反应。
滞针：针在体内难以捻转、提插、出针困难，患者感到疼痛。处理方法包括延长留针时间或采取其他措施缓解肌肉紧张。预防措施是做好解释工作，选择合适的体位，避免单向捻转等。
弯针：针身在体内弯曲。处理方法根据弯曲程度和情况而定，可能包括顺着弯曲方向起针。预防措施包括熟练掌握进针手法，避免进针过速、过猛。
断针：针身折断在体内。处理方法包括沉着应对，根据断针位置和情况采取相应措施。预防措施是检查针具质量，避免过猛行针。
血肿：针刺部位皮下出血引起的肿痛。处理方法包括冷敷止血和热敷促进瘀血消散。预防措施是仔细检查针具，熟悉人体解剖部位，避免刺伤血管。
刺伤内脏：针刺角度和深度不当导致内脏损伤。处理方法根据损伤程度和内脏类型而定，可能包括休息、止血药物或外科手术。预防措施是熟悉腧穴和脏器部位，掌握正确的针刺方向和深度。"
晕针的处理和预防内容？,"晕针是指在针刺过程中患者发生的晕厥现象。
原因：患者体质虚弱，精神紧张，或疲劳、饥饿、大汗、大泻、大出血之后，或体位不当，或医者在针刺时手法过重，均可能引起晕针。
表现：患者突然出现精神疲倦，头晕目眩，面色苍白，恶心欲吐，多汗，心慌，四肢发冷，血压下降等现象，重者神志不清，仆倒在地，唇甲青紫，二便失禁，脉细微欲绝，甚至晕厥。
处理：立即停止针刺，将针全部起出。让患者平卧，松开衣带，注意保暖。轻者仰卧片刻，给饮温开水或糖水；重者可选人中、内关、足三里等穴针刺或指压，或灸百会、关元、气海等穴；若仍不省人事，可考虑配合其他治疗或采用急救措施。预防对初次接受针刺治疗，或精神过度紧张、身体虚弱者，应先做好解释，消除其对针刺的顾虑。同时选择舒适持久的体位，初次接受针刺者最好采用卧位。选穴宜少，手法要轻。饥饿、疲劳、大渴的患者，应令进食、休息、饮水后少时再予针刺。医者在针刺治疗过程中，精神要专一，随时注意观察患者的神色，询问患者的感觉，一旦患者有身心不适等晕针先兆，应及早采取处理措施，防患于未然。"
滞针的处理和预防内容？,"滞针是指在行针时或留针过程中，医者感觉针下涩滞，捻转、提插、出针均感困难，而患者感觉疼痛的现象。原因患者精神紧张，当针刺入腧穴后，患者局部肌肉强烈收缩；或行针手法不当，向单一方向捻针太过，以致肌肉组织缠绕针体而成滞针。患者体位改变，留针时间过长，也可导致滞针。表现针在体内难以捻转，提插、出针均感困难，若勉强捻转、提插时，则患者痛不可忍。处理若患者精神紧张，局部肌肉过度收缩时，可稍延长留针时间，或循按滞针腧穴附近，或叩弹针柄，或在附近再刺一针，以宣散气血，缓解肌肉的紧张；若行针不当，或单向捻针而致者，可向相反方向将针捻回，并用刮法、弹法，使缠绕的肌纤维回缩，即可消除滞针。
预防：对精神紧张者，应先做好解释工作，消除其顾虑，选择合适的体位，确定合理的留针时间；行针时应避免单向捻转，以防肌纤维缠绕针身而发生滞针现象。"
弯针的处理和预防内容？,"弯针是指将针刺入腧穴后，针身在体内弯曲的现象，轻者形成钝角弯曲，重者形成直角弯曲。原因医者进针手法不熟练，用力过猛、过速，以致针尖碰到坚硬的组织器官，或患者在针刺或留针时移动体位，或因针柄受到某种外力压迫、碰击等，均可造成弯针。表现针柄改变了进针或留针时的方向和角度，提插、捻转及出针均感困难，甚至无法出针，而患者感到疼痛。处理出现弯针后，不得再行提插、捻转等手法。如属轻微弯曲，应慢慢将针起出；若弯曲角度过大，应顺着弯曲方向将针起出；如弯曲不止一处，应视针柄扭转倾斜的方向，逐步分段退出；若由患者移动体位所致，应使患者慢慢恢复原来体位，局部肌肉放松后，再将针缓缓起出。切忌强行拔针，以免将针身折断，留在体内。
预防：医者进针手法要熟练，指力要均匀，并要避免进针过速、过猛。体位选择要适当，在留针过程中，嘱患者不要随意变动体位，注意保护针刺部位，针柄不得受外物硬碰和压迫。"
断针的处理和预防内容？,"断针又称折针，是指针身折断在体内。
原因：针具质量欠佳，针身或针根有损伤剥蚀，进针前失于检查；针刺时将针身全部刺入腧穴，行针时强力提插、捻转，肌肉猛烈收缩；或弯针、滞针未能及时正确处理等。
表现：行针时或出针后发现针身折断，其断端部分针身浮露于皮外，或断端全部没于皮下。
处理：医者应沉着冷静，安抚患者。嘱患者切勿变更原有体位，以防断针向肌肉深部陷入。若断端针身显露于皮外，可用手指或镊子将针起出；若断端与皮肤相平，可用押手拇、食二指垂直向下挤压针孔两旁，使断针暴露于皮外，刺手持镊子将针取出；若断针完全没入皮下，应采用外科手术方法取出。
预防：针刺前应认真检查针具，尤其是针根，对不符合质量要求的针具应剔出不用；凡接过脉冲电针仪的毫针，应定期更换淘汰；避免过猛、过强地行针。在行针或留针时，应嘱患者不要随意更换体位；针刺时不宜将针身全部刺入穴内，应留部分针身在体外，以便于针根折断时取针；在进针、行针过程中，如发现弯针时，应立即出针，切不可强行刺入或行针；对于滞针、弯针等异常情况应及时正确地处理，不强行出针。"
血肿的处理和预防内容？,"血肿是指针刺部位皮下出血引起的肿痛。
原因：刺伤血管。表现出针后，针刺部位肿胀疼痛，继则皮肤呈现青紫色。
处理：若微量的皮下出血而呈现局部小块青紫时，一般不必处理，可以自行消退。若局部肿胀疼痛较剧，青紫面积大而且影响到活动功能时，可先做冷敷止血，24小时后再做热敷或在局部轻轻揉按，以促使瘀血消散吸收。
预防：仔细检查针具，熟悉人体解剖部位，避开血管针刺，出针后立即用无菌干棉球按压针孔，切勿揉动。"
气胸的处理和预防内容？,"原因：由于针刺胸、背、腋、胁、缺盆等部位腧穴时，刺入过深，伤及肺脏，引起创伤性气胸。
表现：轻者出现胸闷、心慌、呼吸不畅，严重者可见呼吸困难、唇甲发绀、出汗、血压下降等症状。体检时，可见患侧胸肋部间隙饱满，胸部叩诊呈鼓音，气管向健侧移位，听诊时呼吸音明显减弱或消失。有部分病例针刺当时并无明显异常现象，隔数小时后才逐渐出现胸闷、呼吸困难等症状。
处理：一旦发生气胸，应立即起针，并让患者采取半卧位休息，切勿翻转体位，并安慰患者以消除其紧张恐惧心理。漏气量少者，可自行吸收。医者要密切观察，随时对症处理，一般首先给患者吸氧，并根据气胸的严重程度，给予休养观察或胸腔穿刺抽气及其他治疗。对严重病例，如出现张力性气胸者，需及时组织抢救。
预防：为患者选择合适体位；在针刺过程中，医者精神必须高度集中，严格掌握进针的角度、深度，避免伤及肺脏。"
刺伤其他内脏的处理和预防内容？,"原因：施术者对腧穴和脏器的部位不熟悉，因针刺过深，或提插幅度过大，造成相应的内脏损伤。
表现：疼痛和出血。刺伤肝、脾，可引起内出血，肝区或脾区疼痛，有的可向背部放射；若出血量过大，会出现腹痛、腹肌紧张，并有压痛及反跳痛等急腹症症状。刺伤心脏时，轻者可出现强烈刺痛，重者有剧烈撕裂痛，引起心外射血，导致休克等危重情况。刺伤肾脏，可出现腰痛、血尿，严重时血压下降、休克。刺伤胆囊、膀胱、胃、肠等空腔脏器时，可引起疼痛，甚至急腹症等症状。
处理：轻者，卧床休息一段时间后，一般即可自愈。如损伤较重，或有继续出血倾向者，应用止血药等对症处理。密切观察病情及血压变化。若损伤严重，出血较多，出现失血性休克时，则必须迅速进行血等急救或外科手术治疗。
预防：熟悉人体解剖部位，明确腧穴下的脏器组织。针刺胸腹、腰背部的腧穴时，掌握好针刺方向、角度、深度，行针幅度不宜过大。"
刺伤脑脊髓的处理和预防内容？,"刺伤脑脊髓是指由于针刺过深造成脑及脊髓的损伤。
原因：针刺项部穴时，若针刺的方向及深度不当，容易伤及延髓，造成脑组织损伤，严重者出现脑疝等严重后果；针刺胸腰段以及棘突间腧穴时，若针刺过深，或手法太强，可误伤脊髓。
表现：误伤延髓时，可出现头痛、恶心、呕吐、呼吸困难、休克和神志不清等。如刺伤脊髓，可出现触电样感觉向肢端放射，甚至引起暂时性肢体瘫痪，有时可危及生命。处理：及时出针。轻者需安静休息，经过一段时间后，可自行恢复。重者请神经外科及时抢救。
预防：针刺头项及背腰部腧穴时，注意掌握正确的针刺角度和方向，不宜大幅度提插，禁深刺。"
外周神经损伤的处理和预防内容？,"外周神经损伤是指针刺操作不当造成相应的外周神经损伤。
原因：针刺或使用粗针强刺激出现触电感后仍然大幅度提插。
表现：当神经受损后，多出现麻木、灼痛等症状，甚至出现神经分布区域及所支配脏器的功能障碍或末梢神经炎等症状。
处理：勿继续提插捻转，应缓慢出针，做相应处理。可应用B族维生素类等药物治疗。如在相应经络腧穴上用B族维生素类药物穴位注射，严重者可根据病情需要进行临床救治。
预防：针刺神经干附近穴位时，手法宜轻；出现触电感时，不可再使用强刺激手法。"
“灸法”概念？,灸，灼烧的意思。灸法主要是指借灸火的热力和药物的作用，对腧穴或病变部位进行烧灼、温熨，达到防治疾病目的的一种方法。《医学入门·针灸》指出：“药之不及，针之不到，必须灸之。”说明灸法在临床上具有重要作用，常与针刺合用，相互补充，相辅相成。
“灸法”之作用？,"灸法的作用：
温经散寒：灸法通过温和的热力温通经络，驱散寒邪，适用于治疗寒凝血滞、经络痹阻引起的疾病，如寒湿痹痛、痛经、经闭等。
扶阳固脱：灸法有助于扶助阳气，对于阳气下陷或欲脱的危证有治疗作用，如遗尿、脱肛、阴挺、崩漏、带下、久泻等。
消瘀散结：灸法能够行气活血，消瘀散结，适用于气血凝滞之疾，如乳痈初起、瘰疬、瘿瘤等。
防病保健：灸法可以激发人体正气，增强抗病能力，用于未病先防，如常灸强壮要穴可强身健体，抵御外邪。
引热外行：引热外行艾火的温热能使皮肤腠理开放，毛窍通畅，使热有去路，从而引热外行。"
“灸法”作用之温经散寒？,灸火的温和热力具有温通经络、驱散寒邪的功用。《素问·异法方宜论》说：“脏寒生满病，其治宜灸焫。”说明灸法更适合治疗寒性病证。临床上常用于治疗寒凝血滞、经络痹阻所引起的寒湿痹痛、痛经、经闭、胃脘痛、腹痛、泄泻、痢疾等病证。
“灸法”作用之扶阳固脱？,灸法具有扶助阳气、举陷固脱的功能。《扁鹊心书·须识扶阳》记载：“真阳元气虚则人病，真阳元气脱则人死，保命之法，灼艾第一。”说明阳气下陷或欲脱之危证，可用灸法。临床上多用于治疗脱证和中气不足、阳气下陷而引起的遗尿、脱肛、阴挺、崩漏、带下、久泻等病证。
“灸法”作用之消瘀散结？,灸法具有行气活血、消瘀散结的作用。《灵枢·刺节真邪》说：“脉中之血，凝而留止，弗之火调，弗能取之。”气为血帅，血随气行，气得温则行，气行则血亦行。灸能使气机通调，营卫和畅，故瘀结自散。所以，临床常用于治疗气血凝滞之疾，如乳痈初起、瘰疬、瘿瘤等病证。
“灸法”作用之防病保健？,灸法可以激发人体正气，增强抗病能力。未病施灸有防病保健、益寿延年的作用，古人称之为“逆灸”，今人称之为“保健灸”。《备急千金要方·灸例》也记载：“凡入吴蜀地游宦，体上常须三两处灸之，勿令疮暂瘥，则瘴疠瘟疟毒气不能着人也。”《医说·针灸》提出的“若要安，三里莫要干”，更说明常灸强壮要穴能够强身健体，抵御外邪。
“灸法”作用之引热外行？,艾火的温热能使皮肤腠理开放，毛窍通畅，使热有去路，从而引热外行。《医学入门·针灸》说：“热者灸之，引郁热之气外发。”故临床上可用灸法治疗疖肿、带状疱疹、丹毒、甲沟炎等某些实热病证。对阴虚发热，也可使用灸法，但要注意施灸量不宜过大。如选用膏肓四花穴等治疗骨蒸潮热、虚痨咳喘。
“灸法”之种类？,"艾灸法：
1.艾炷灸：使用艾绒制成的艾炷直接或间接置于穴位上施灸。分为直接灸（瘢痕灸和无瘢痕灸）和间接灸（隔姜灸、隔蒜灸、隔盐灸、隔附子饼灸）。
直接灸：直接在皮肤上施灸，可能留下瘢痕（常用于治疗哮喘、风湿顽痹、瘰疬等慢性顽疾。）或不留瘢痕（适用于虚寒性疾患，如因寒而致的呕吐、腹痛以及风寒痹痛等）。
间接灸：通过隔物（如姜、蒜、盐、附子饼）施灸，减少皮肤损伤。
2.艾条灸：使用艾绒卷成的艾条进行悬起灸或实按灸。悬起灸包括温和灸、雀啄灸和回旋灸，适用于不同病证。实按灸通过实按艾条在穴位上施灸，可结合药物使用。
3.温针灸：在留针时结合艾灸，适用于既需要留针而又适宜用艾灸的病证，如风寒湿痹、肢体顽麻、痿弱无力、半身不遂等。
4.温灸器灸：使用专门设计的温灸器进行施灸，适用于调和气血、温中散寒，适用于多种需要灸治的病证，尤其适合小儿、妇女及畏灸者。
非艾灸法：
1.灯火灸：使用灯心草浸麻油后点燃，迅速点灸穴位或患处，主要用于治疗小儿痄腮、乳蛾、吐泻、麻疹、惊风等病证。
2.天灸：使用具有刺激性的药物（如白芥子、细辛、大蒜、斑蝥）涂敷于穴位或患处，引起局部充血和起疱。适用于治疗咳喘、关节痹痛、癣痒等症。"
“灸法”之艾炷灸？,艾炷灸用手工或器具将艾绒制成的圆锥状物，称为艾炷。将艾炷置于穴位或病变部位上，点燃施灸的方法称为艾炷灸。每燃1个艾炷，称为灸1壮。艾炷灸又分直接灸与间接灸两类。
“灸法”之直接灸？,直接灸又称为着肤灸，是将艾炷直接置于皮肤上施灸的方法。施灸时如将皮肤烧伤化脓，愈后留有瘢痕者，称为瘢痕灸，又称化脓灸；施灸时不使皮肤烧伤化脓，不留瘢痕者，称为无瘢痕灸，又称非化脓灸。
“灸法”之间接灸？,间接灸是指用药物或其他材料将艾炷与施灸腧穴皮肤之间隔开而施灸的方法，故又称隔物灸、间隔灸。间隔所用药物或其他材料因病证而异。
“灸法”之瘢痕灸？,瘢痕灸：施灸前可先将拟灸腧穴部位涂以少量大蒜汁，以增强黏附和刺激作用。然后将大小适宜的艾炷置于腧穴上，从上端点燃施灸。每壮艾炷必须燃尽，除去灰烬后，方可继续易炷再灸，直至拟灸壮数灸完为止。施灸时，由于艾火烧灼皮肤，因此可能产生剧痛，此时可用手在施灸腧穴周围轻轻拍打，以缓解疼痛。正常情况下，灸后1周左右，施灸部位无菌性化脓（脓液色白清稀）形成灸疮，经5～6周左右，灸疮自行痊愈，结痂脱落后留下瘢痕。瘢痕灸会损伤皮肤，施灸前必须征求患者同意方可使用。在灸疮化脓期间，需注意局部清洁，避免继发感染。临床上常用于治疗哮喘、风湿顽痹、瘰疬等慢性顽疾。
“灸法”之无瘢痕灸？,无瘢痕灸：施灸前可先在拟灸腧穴部位涂以少量凡士林，便于艾炷黏附。然后将大小适宜的艾炷置于腧穴上，从上端点燃施灸，当艾炷燃剩1/3左右而患者感到微有灼痛时，即用镊子将艾炷夹去，易炷再灸，直至拟灸壮数灸完为止。一般应灸至局部皮肤出现红晕而不起疱为度。因皮肤无灼伤，故灸后不化脓，不留瘢痕。一般虚寒性疾患均可用此法。
“灸法”之隔姜灸？,隔姜灸：将鲜姜切成直径2～3cm，厚约0.3cm的薄片，中间以针刺数孔，置于腧穴或患处，再将艾炷放在姜片上点燃施灸。若患者有灼痛感可将姜片提起，使之离开皮肤片刻，再行灸治。艾炷燃尽，易炷再灸，直至灸完应灸壮数。一般应以局部皮肤出现红晕而不起疱为度。此法有温胃止呕、散寒止痛的作用，常用于因寒而致的呕吐、腹痛以及风寒痹痛等。
“灸法”之隔蒜灸？,隔蒜灸：将鲜大蒜头切成厚约0.3cm的薄片，中间以针刺数孔，置于腧穴或患处，再将艾炷放在蒜片上点燃施灸。操作方法与隔姜灸相同。此法有清热解毒、杀虫等作用，多用于治疗瘰疬、肺结核及肿疡初起等。
“灸法”之隔盐灸？,隔盐灸：用干燥的食盐填敷于脐部，或于盐上再置一薄姜片，上置大艾炷施灸。此法有回阳、救逆、固脱之功，多用于治疗伤寒阴证或吐泻并作、中风脱证等。注意要连续施灸，不拘壮数，以期脉起、肢温、证候改善。
“灸法”之隔附子饼灸？,隔附子饼灸：将附子研成粉末，用酒调和做成直径约3cm，厚约0.8cm的药饼，中间以针刺数孔，放在应灸腧穴或患处，上置艾炷，点燃施灸，直至灸完应灸壮数为止。此法有温补肾阳等作用，多用于治疗命门火衰而致的阳痿、早泄、宫寒不孕或疮疡久溃不敛等。
“灸法”之艾条灸？,艾条灸以艾绒为主要成分卷成的圆柱形长条称为艾条。点燃艾条施灸的方法称为艾条灸。艾条灸可分为悬起灸和实按灸两种方式。
“灸法”之悬起灸？,悬起灸将艾条的一端点燃，悬于腧穴或患处一定高度之上，使热力较为温和地作用于施灸部位，称为悬起灸。根据操作方法的不同，可分为温和灸、雀啄灸和回旋灸。①温和灸：施灸时，将艾条点燃的一端对准应灸部位，距皮肤2～3cm，使患者局部有温热感而无灼痛为宜。一般每处灸10～15分钟，至皮肤红晕为度。对于昏厥、局部知觉迟钝的患者，医者可将食、中两指分开置于施灸部位两侧，以医者手指感知患者局部受热程度，以便及时调节艾条高度，防止烫伤。
“灸法”之雀啄灸？,雀啄灸：施灸时，艾条点燃的一端与施灸部位皮肤的距离并不固定，而是如鸟雀啄食一样上下活动，至皮肤红晕为度。
“灸法”之回旋灸？,"回旋灸：施灸时，艾条点燃的一端与施灸部位皮肤虽然保持一定距离，但艾条并不固定，而是左右移动或反复旋转施灸。
悬起灸适用于多种可灸病证，其中温和灸多用于灸治慢性病，雀啄灸、回旋灸多用于灸治急性病。"
“灸法”之实按灸？,实按灸将点燃的艾条隔数层布或绵纸实按在穴位上，使热力透达深部，火灭热减后重新点火按灸，称为实按灸。若患者感到按灸局部灼烫、疼痛，即移开艾条，并增加隔层。灸量以反复灸熨7～10次为度。若在艾绒内另加药物后，用纸卷成艾卷施灸，名为“太乙神针”和“雷火神针”。
“灸法”之太乙神针？,太乙神针：历代医家之药物配方记载有所不同，一般处方为：人参250g，参三七250g，山羊血62.5g，千年健500g，钻地风500g，肉桂500g，川椒500g，乳香500g，没药500g，炮甲250g，小茴香500g，蕲艾2000g，甘草1000g，防风2000g，人工麝香少许。加工炮制后，共研为末，每支艾条加药末25g。此法治疗风寒湿痹、肢体顽麻、痿弱无力、半身不遂等均有效。
“灸法”之雷火神针？,雷火神针：历代医家之药物配方记载有所不同，一般处方为：沉香、木香、乳香、茵陈、羌活、干姜、炮甲各9g，人工麝香少许。加工炮制后共研为细末，将药末混入94g艾绒，用棉皮纸卷成圆柱形长条，外用鸡蛋清涂抹，再糊上桑皮纸6～7层，阴干待用。临床主治急性扭挫伤及寒湿气痛，其他大体与“太乙神针”主治相同。
