question,answer
遗尿的其他治疗有哪些,"遗尿的其他治疗有：
（1）耳针法：取耳穴肾、膀胱（在对耳轮下脚下缘，大肠穴直上）、皮质下（在对耳屏内侧面。肾在对耳轮下脚下缘、小肠穴直上）、内分泌（位于屏间切迹底部）、尿道（在与膀胱穴同水平的耳轮处）、脑点（在对耳屏游离缘上，对屏尖与轮屏切迹中点处，即对耳屏2/3/4区（内侧面）交点处）。每次取2～4穴，毫针刺。可用埋针法、压丸法。
（2）皮肤针法：取穴夹脊穴（在脊椎旁0.5寸处）、气海（在下腹部。前正中线上，当脐中下1.5寸）、关元（在下腹部，前正中线上，当脐中下3寸）、中极（在下腹部，前正中线上，当脐中下4寸）、膀胱俞（在骶部，当骶正中嵴旁1.5寸，平第二骶后孔）、八髎（位于一、二、三、四骶后孔中，左右共八穴）、肾俞（在腰部当第2腰椎棘突下，旁开1.5寸）、脾俞（在背部，当第十一胸椎棘突下，旁开1.5寸处）。叩刺至局部皮肤潮红，也可叩刺后加拔火罐。
（3）穴位注射法：取穴肾俞（在腰部当第2腰椎棘突下，旁开1.5寸）、次髎（在骶部，当髂后上棘内下方，适对第二骶后孔处）、膀胱俞（在骶部，当骶正中嵴旁1.5寸，平第二骶后孔）、三阴交（在小腿内侧，当足内踝尖上3寸，胫骨内侧缘后方）。用1%普鲁卡因注射液，每穴1mL，三穴交替使用，每日1次。
""一定不要举例子"""
耳针法如何治疗遗尿,"耳针法治疗遗尿应选用：肾（在对耳轮上下脚分叉处的下方）、膀胱（在对耳轮下脚下缘，大肠穴直上）、皮质下（在对耳屏内侧面。肾在对耳轮下脚下缘、小肠穴直上）、内分泌（位于屏间切迹底部）、尿道（在与膀胱穴同水平的耳轮处）、脑点（在对耳屏游离缘上，对屏尖与轮屏切迹中点处，即对耳屏2/3/4区（内侧面）交点处）。每次取2～4穴，毫针刺。可用埋针法、压丸法。
""一定不要举例子"""
皮肤针法如何治疗遗尿,"皮肤针法治疗遗尿应选用：夹脊穴（在脊椎旁0.5寸处）、气海（在下腹部。前正中线上，当脐中下1.5寸）、关元（在下腹部，前正中线上，当脐中下3寸）、中极（在下腹部，前正中线上，当脐中下4寸）、膀胱俞（在骶部，当骶正中嵴旁1.5寸，平第二骶后孔）、八髎（位于一、二、三、四骶后孔中，左右共八穴）、肾俞（在腰部当第2腰椎棘突下，旁开1.5寸）、脾俞（在背部，当第十一胸椎棘突下，旁开1.5寸处）。叩刺至局部皮肤潮红，也可叩刺后加拔火罐。
""一定不要举例子"""
穴位注射如何治疗遗尿,"穴位注射治疗遗尿应选用：肾俞（在腰部当第2腰椎棘突下，旁开1.5寸）、次髎（在骶部，当髂后上棘内下方，适对第二骶后孔处）、膀胱俞（在骶部，当骶正中嵴旁1.5寸，平第二骶后孔）、三阴交（在小腿内侧，当足内踝尖上3寸，胫骨内侧缘后方）。用1%普鲁卡因注射液，每穴1mL，三穴交替使用，每日1次。
""一定不要举例子"""
针灸治疗遗尿的注意事项有什么,"遗尿治疗的注意事项有：1.针灸治疗遗尿疗效较好，可选择在下午治疗，或睡前用灸法治疗。
2.消除患儿心理负担和紧张情绪，培养小儿按时、睡前排尿的习惯，晚间适当控制进水量，避免过度疲劳。
""一定不要举例子""
"
小儿惊风的定义,"小儿惊风是以四肢抽搐、口噤不开、角弓反张，甚则神志不清为主症的 病证，又称“惊厥”。本病来势凶险，变化迅速，为儿科危急重症之一，以1～5岁的小儿最为多见。根据其临床表现分为急惊风与慢惊风两类。
""一定不要举例子"""
什么是小儿惊风,"小儿惊风是以四肢抽搐、口噤不开、角弓反张，甚则神志不清为主症的 病证，又称“惊厥”。本病来势凶险，变化迅速，为儿科危急重症之一，以1～5岁的小儿最为多见。根据其临床表现分为急惊风与慢惊风两类。
""一定不要举例子"""
什么年龄段常见小儿惊风,"小儿惊风以1～5岁的小儿最为多见 
""一定不要举例子"""
小儿惊风的病因,"小儿惊风根据其临床表现分为急惊风与慢惊风两类。
急惊风多因外感时邪、痰热内蕴、暴受惊恐引起；
慢惊风则多由先天禀
赋不足或久病正虚所致。
""一定不要举例子"""
急惊风的病因是什么,"急惊风多因外感时邪、痰热内蕴、暴受惊恐引起
""一定不要举例子"""
为什么会急惊风,"急惊风多因外感时邪、痰热内蕴、暴受惊恐引起
""一定不要举例子"""
慢惊风的病因是什么,"慢惊风则多由先天禀 赋不足或久病正虚所致。
""一定不要举例子"""
为什么会慢惊风,"慢惊风则多由先天禀 赋不足或久病正虚所致。
""一定不要举例子"""
小儿惊风的病位,"病位主要在心、肝、脑，慢惊风还与脾、 肾关系密切。
""一定不要举例子"""
小儿惊风的病机是什么,"小儿惊风基本病机为热极生风或肝风内动。
""一定不要举例子"""
西医学如何认识小儿惊风,"西医学中，小儿惊风可见于高热、脑膜炎、脑炎、脑发育不全、癫痫等 疾病中。
""一定不要举例子"""
急惊风的症状,"小儿惊风之急惊风主要症状有：发病急骤，全身肌肉强直性或阵发性痉挛，甚则神志不清。
""一定不要举例子"""
急惊风的证型,"小儿惊风之急惊风的证型有：外感惊风、为痰热惊风、惊恐惊风
""一定不要举例子"""
急惊风之外感惊风的症状,"小儿惊风之急惊风的外感惊风的主要症状有：发病急骤，全身肌肉强直性或阵发性痉挛，甚则神志不清。兼见发热头痛，咳嗽咽红，鼻塞流涕，出现烦躁不安，继而神昏，四肢抽搐或颤动，舌苔薄白或薄黄，脉浮数。
""一定不要举例子"""
急惊风之痰热惊风的症状,"小儿惊风之急惊风的痰热惊风的主要症状有：发病急骤，全身肌肉强直性或阵发性痉挛，甚则神志不清。兼壮热面赤兼烦躁不宁，摇头弄舌，齿，呼吸急促，舌苔微黄，脉浮数或弦滑。
""一定不要举例子"""
急惊风之惊恐惊风的症状,"小儿惊风之急惊风的惊恐惊风的主要症状有：病急骤，全身肌肉强直性或阵发性痉挛，甚则神志不清。兼暴受惊恐后惊惕不安，身体战栗，喜投母怀，夜间惊啼，甚者惊厥抽风，神志不清，大便色青，脉律不齐，指纹紫滞。
""一定不要举例子"""
慢惊风的症状,"小儿惊风之慢惊风的主要症状为：起病缓慢，抽动无力，时发时止。
""一定不要举例子"""
慢惊风的证型,"小儿惊风之慢惊风的证型有：脾肾阳虚、肝肾阴虚
""一定不要举例子"""
慢惊风之脾肾阳虚的症状,"小儿惊风之慢惊风的脾肾阳虚的主要症状有： 起病缓慢，抽动无力，时发时止。兼见面黄肌瘦，形神疲惫，囟门低陷，昏睡露睛，时有抽搐，大便稀薄，舌淡，苔薄，脉沉迟无力。
""一定不要举例子"""
慢惊风之肝肾阴虚的症状,"小儿惊风之慢惊风的肝肾阴虚的主要症状有： 起病缓慢，抽动无力，时发时止。兼神倦虚烦，面色潮红，手足心热，舌红少苔，脉沉细而数。
""一定不要举例子"""
急惊风的的治法,"小儿惊风之急惊风的的治法是：开窍醒神，息风镇惊
""一定不要举例子"""
针灸治疗急惊风的选穴规律,"小儿惊风之急惊风的的针灸治疗选穴以督脉及手阳明、足厥阴经穴为主。
""一定不要举例子"""
针灸治疗急惊风的主穴,"小儿惊风之急惊风的的针灸治疗选穴的主穴是：水沟、印堂、合谷、太冲。
其中水沟在面部，当人中沟的上三分与中三分交点处。印堂在额部，当两眉头之中间。合谷在手背，第1、2掌骨间，当第二掌骨桡侧的中点处。太冲在足背侧，当第1跖骨间隙的后方凹陷处。
""一定不要举例子"""
针灸治疗急惊风的配穴,"小儿惊风之急惊风的的针灸治疗的配穴有：
外感惊风配大椎、十宣或十二井；痰热惊风配丰隆、中脘；惊恐惊风配神门、内关。壮热配大椎、曲池；口噤配颊车。
其中大椎在后背正中线上，第七颈椎棘突下凹陷中。十宣在手十指尖端，距指甲游离缘0.1寸（指寸），左右共十穴。十二井为十二经脉井穴。丰隆在小腿前外侧，当外踝尖上8寸，条口外，距胫骨前缘二横指。在上腹部，前正中线上，当脐中上4寸。神门在腕部，腕掌侧横纹尺侧端，尺侧腕屈肌腱的桡侧凹陷处。内关在前臂掌侧，当曲池与大陵的连线上，腕横纹上2寸，掌长肌腱与桡侧腕屈肌腱之间。曲池在肘横纹外侧端，屈肘，当尺泽与肱骨外上髁连线中点。颊车在面颊部，下颌角前上方，耳下大约一横指处，咀嚼时肌肉隆起时出现的凹陷处。左右各一。"
针灸治疗急惊风的方义,"小儿惊风之急惊风的的针灸治疗选穴的方义是：水沟、印堂为督脉穴，有醒脑开窍、醒神镇惊之功；合谷、太冲 相配，擅长息风镇惊，开窍止痉，为治疗惊厥的常用效穴。
其中水沟在面部，当人中沟的上三分与中三分交点处。印堂在额部，当两眉头之中间。合谷在手背，第1、2掌骨间，当第二掌骨桡侧的中点处。太冲在足背侧，当第1跖骨间隙的后方凹陷处。
""一定不要举例子"""
针灸治疗急惊风的操作方法,"小儿惊风之急惊风的的针灸治疗的操作方法是毫针常规刺，泻法。大椎、十宣或十二井点刺出血。
"
慢惊风的的治法,"小儿惊风之慢惊风的的治法是健脾益肾，镇惊息风。
""一定不要举例子"""
针灸治疗慢惊风的选穴规律,"小儿惊风之慢惊风的的针灸治疗选穴以督脉、任脉及足阳明、足厥阴经穴为主。
""一定不要举例子"""
针灸治疗慢惊风的主穴,"小儿惊风之慢惊风的的针灸治疗的主穴有：百会（在头顶正中线与两耳尖联线的交点处）、印堂（在额部，当两眉头之中间）、气海（在下腹部。前正中线上，当脐中下1.5寸）、足三里（在小腿前外侧，当犊鼻下3寸，距胫骨前缘一横指）、太冲（在足背侧，当第1跖骨间隙的后方凹陷处）
""一定不要举例子"""
针灸治疗慢惊风的配穴,"小儿惊风之慢惊风的的针灸治疗的配穴有：
脾肾阳虚配神阙（即肚脐的别名）、脾俞（在背部，当第十一胸椎棘突下，旁开1.5寸处）、关元（在下腹部，前正中线上，当脐中下3寸）；肝肾阴虚配肾俞（在腰部当第2腰椎棘突下，旁开1.5寸）、肝俞（当第9胸椎棘突下，旁开1.5寸）、太溪（位于足内踝尖与跟腱水平连线的中点处）。
""一定不要举例子"""
针灸治疗慢惊风的方义,"小儿惊风之慢惊风的的针灸治疗选穴的方义是：百会在头顶正中线与两耳尖联线的交点处）、印堂（在额部，当两眉头之中间）为督脉穴，有醒神定惊之功，印堂（在额部，当两眉头之中间）尤为止痉要穴；气海（在下腹部。前正中线上，当脐中下1.5寸）益气培元；足三里（在小腿前外侧，当犊鼻下3寸，距胫骨前缘一横指）健脾和胃，补益气血；太冲（在足背侧，当第1跖骨间隙的后方凹陷处）平肝息风。

""一定不要举例子""
"
针灸治疗慢惊风的操作方法,"小儿惊风之慢惊风的的针灸治疗的操作方法是：毫针刺，平补平泻法或补法，可加灸。
""一定不要举例子"""
小儿惊风的其他治疗方法,"小儿惊风的其他治疗有：
（1）耳针法：交感（在对耳轮下脚前端与耳轮内缘交界处）、神门（在对耳轮上下脚分叉处稍上方，与髋穴相近）、皮质下（在对耳屏内侧面。心在耳甲腔中心凹陷处）、心（在耳甲腔中心凹陷处）、肝（在耳甲艇的后下方。脾在耳甲腔的后上方）；慢惊风加脾（在耳甲腔的后上方）、肾（在对耳轮上下脚分叉处的下方）。每次取2～4穴，毫针刺或用埋针法、压丸法。
（2）灸法：印堂（在额部，当两眉头之中间）、承浆（在面部，当颏唇沟的正中凹陷处）。用灯火灸，多用于急惊风。大椎（在后背正中线上，第七颈椎棘突下凹陷中）、脾俞（在背部，当第十一胸椎棘突下，旁开1.5寸处）、命门（位于第二、三腰椎棘突间）、关元（在下腹部，前正中线上，当脐中下3寸）、气海（前正中线上，当脐中下1.5寸）、百会（在头顶正中线与两耳尖联线的交点处）、足三里（在小腿前外侧，当犊鼻下3寸，距胫骨前缘一横指），温和灸，适用于脾肾阳虚者。
""一定不要举例子"""
针灸治疗小儿惊风的注意事项,"小儿惊风针灸治疗上的注意事项有：针刺对惊风有较好的缓解作用。惊风发作时立即让患儿平卧，头偏向一侧，解开衣领，将压舌板缠上多层纱布塞入上、下臼齿之间，防止咬伤舌头。保持呼吸道通畅，并随时吸出呼吸道的痰涎和分泌物。但症状缓解后，要查明原因，针对病因施治。
""一定不要举例子"""
什么是小儿食积的定义,"小儿食积是指小儿以不思饮食、食而不化、腹部胀满、大便不调为主症 的病证。其发生常与素体虚弱、饮食不节、喂养不当等因素有关。本病 病位在脾胃。基本病机是脾胃运化失调，气机升降失常。
""一定不要举例子"""
小儿食积的病因,"小儿食积的发生常与素体虚弱、饮食不节、喂养不当等因素有关
""一定不要举例子"""
小儿食积的病位,"小儿食积的病位在脾胃
""一定不要举例子"""
小儿食积的病机,"小儿食积的基本病机是脾胃运化失调，气机升降失常
""一定不要举例子"""
西医学如何认识小儿食积,"西医学中，小儿食积多见于胃肠消化不良等疾病中。
""一定不要举例子"""
小儿食积的症状,"小儿食积的主症是：不思饮食，胃脘胀满或疼痛，呕吐酸馊乳食，大便酸臭，或溏薄
或秘结。
""一定不要举例子"""
小儿食积的证型,"小儿食积的证型有：乳食内积、脾胃虚弱
""一定不要举例子"""
小儿食积之乳食内积的症状,"小儿食积之乳食内积的症状有：不思饮食，胃脘胀满或疼痛，呕吐酸馊乳食，大便酸臭，或溏薄 或秘结。兼见腹痛胀满拒按，烦躁多啼，夜卧不安，小便短黄如米泔，低热，手足心热，舌红，苔白厚或黄腻，脉滑数，指纹紫滞。
""一定不要举例子"""
小儿食积之脾胃虚弱的症状,"小儿食积之脾胃虚弱的症状有：不思饮食，胃脘胀满或疼痛，呕吐酸馊乳食，大便酸臭，或溏薄 或秘结。兼；面色萎黄，形体较瘦，困倦乏力，夜卧不安，腹满喜按，大便稀溏，夹有乳食残渣，唇舌淡红，苔白腻，脉细滑。
""一定不要举例子"""
小儿食积的治法是什么,"小儿食积的治法是：健脾和胃，消食化积
""一定不要举例子"""
针灸治疗小儿食积的选穴规律,"小儿食积针灸治疗选穴以胃、大肠的募穴、下合穴为主。
""一定不要举例子"""
针灸治疗小儿食积的主穴,"小儿食积的针灸治疗主穴是：中脘（在上腹部，前正中线上，当脐中上4寸）、天枢（在腹中部，距脐中2寸）、足三里（在小腿前外侧，当犊鼻下3寸，距胫骨前缘一横指）、上巨虚（在小腿前外侧，当犊鼻下6寸，距胫骨前缘一横指）。
""一定不要举例子"""
针灸治疗小儿食积的配穴,"小儿食积的针灸治疗配穴是：乳食内积配梁门（在上腹部，当脐中3寸，距前正中线2寸）、建里（在上腹部，前正中线上，当脐中上3寸）；脾胃虚弱配脾俞（在背部，当第十一胸椎棘突下，旁开1.5寸处）、胃俞（在背部，当第十二胸椎棘突下，旁开1.5寸）。呕吐配内关（在前臂掌侧，当曲池与大陵的连线上，腕横纹上2寸，掌长肌腱与桡侧腕屈肌腱之间）。
""一定不要举例子"""
针灸治疗小儿食积的方义,"小儿食积的针灸治疗选穴的方义是：本病为胃肠运化失常，故取胃之募穴中脘在上腹部，前正中线上，当脐中上4寸）、大肠之募穴天枢（在腹中部，距脐中2寸），以疏通脘腹部气机，为局部选穴；胃之下合穴足三里在小腿前外侧，当犊鼻下3寸，距胫骨前缘一横指）与大肠之下合穴上巨虚（在小腿前外侧，当犊鼻下6寸，距胫骨前缘一横指）相配，属于远端选穴，可调理胃肠。
""一定不要举例子"""
针灸治疗小儿食积的操作方法,"常规针刺
""一定不要举例子"""
小儿食积有哪些其他治法,"小儿食积的其他治法有：耳针法、皮肤针法、捏脊法。
""一定不要举例子"""
耳针法如何治疗小儿食积,"耳针法治疗小儿食积应选用：胃（在耳轮脚消失处周围）、脾（在耳甲腔的后上方）、大肠（在耳轮脚上方前1/3部）、神门（在对耳轮上下脚分叉处稍上方，与髋穴相近）。毫针刺法，或压丸法。
""一定不要举例子"""
皮肤针法如何治疗小儿食积,"皮肤针法治疗小儿食积应选：脾俞（在背部，当第十一胸椎棘突下，旁开1.5寸处）、胃俞（在背部，当第十二胸椎棘突下，旁开1.5寸）、三焦俞（在腰部，当第1腰椎棘突下，旁开1.5寸）、华佗夹脊穴（指脊椎旁0.5寸处为穴位）、足三里（在小腿前外侧，当犊鼻下3寸，距胫骨前缘一横指）、四缝（位于第2－第5指掌面，第1、2节横纹中央）。皮肤针轻叩，以皮肤潮红为度，每日1次，10次为一疗程。
""一定不要举例子"""
捏脊法如何治疗小儿食积,"捏脊法治疗小儿食积应：沿患儿背部脊柱及其两侧由下而上用拇指、食指捏起皮
肤，一捏一放，交替向上，3～5遍，每日1次。
""一定不要举例子"""
针灸治疗小儿食积有什么注意事项,"1.针灸对本病治疗效果良好。 2.饮食调节是预防本病发生的重要环节，故小儿饮食须定时定量，应选 择新鲜、清洁、易消化、富有营养的食物，不宜过饱过饥、偏食，勿过 食肥甘油腻、生冷。要掌握小儿的饮食规律，随小儿年龄的增长，逐步 增加与小儿生长相适应的食物。
""一定不要举例子"""
疳证的定义,"疳证是以面黄肌瘦、毛发稀疏、腹部膨隆、精神萎靡为主症的病证。可由多种慢性疾患引起，一般多见于5岁以下的婴幼儿。其发生常与喂养不当、病后失调、禀赋不足、感染虫疾等因素有关。本病病位主要在 脾、胃，可涉及心、肝、肺、肾。基本病机是脾胃受损，气血津液亏耗。
""一定不要举例子"""
疳证的病因,"疳证的病因有：常与喂养不当、病后失调、禀赋不足、感染虫疾等因素有关。
""一定不要举例子"""
疳证的病位,"疳证的病位有：主要在 脾、胃，可涉及心、肝、肺、肾。
""一定不要举例子"""
疳证的病机,"疳证的基本病机是：脾胃受损，气血津液亏耗。
""一定不要举例子"""
西医学如何认识疳证,"西医学中，疳证多见于小儿严重营养不良、佝偻病以及慢性腹泻、肠道 寄生虫病等
""一定不要举例子"""
疳证的症状,"疳证的主症是精神疲惫，形体羸瘦，面色萎黄，毛发稀疏或干枯。

""一定不要举例子"""
疳证的证型,"疳证的证型有疳气（脾胃失和）、疳积（脾胃虚损或虫毒为患）、干疳（重症疳积）。
""一定不要举例子"""
疳证之疳气（脾胃失和）的症状,"疳积之疳气（脾胃失和）的症状有：精神疲惫，形体羸瘦，面色萎黄，毛发稀疏或干枯。兼见大便干稀不调，性急易怒，不思饮食，唇舌色淡，脉细无力。
""一定不要举例子"""
疳证之疳积（脾胃虚损或虫毒为患）的症状,"疳积之疳积（脾胃虚损或虫毒为患）的症状有：精神疲惫，形体羸瘦，面色萎黄，毛发稀疏或干枯。兼食欲不振或嗜食无度或喜食异物，肚腹鼓胀，甚则青筋暴露，时有腹痛，睡中磨牙，舌淡，脉细弦。
""一定不要举例子"""
疳证之干疳（重症疳积）的症状,"疳积之干疳（重症疳积）的症状有：精神疲惫，形体羸瘦，面色萎黄，毛发稀疏或干枯。兼若形体极度消瘦，皮肤干瘪，大肉已脱，毛发干枯，啼哭无力，腹凹如舟，舌淡嫩，苔少，脉细弱。
""一定不要举例子"""
疳证的治法,"疳积的治法是：健脾益胃，化滞消疳。
""一定不要举例子"""
针灸治疗疳证的选穴规律,"疳积的针灸治疗的选穴以胃之募穴、下合穴为主。
""一定不要举例子"""
针灸治疗疳证的主穴,"疳积的针灸治疗的选穴主穴是：中脘（在上腹部，前正中线上，当脐中上4寸）、足三里（在小腿前外侧，当犊鼻下3寸，距胫骨前缘一横指）、四缝（位于第2－第5指掌面，第1、2节横纹中央）。
""一定不要举例子"""
针灸治疗疳证的配穴,"疳积的针灸治疗的配穴是
1、疳气配太冲（在足背侧，当第1跖骨间隙的后方凹陷处）、章门（在侧腹部，当第11肋游离端的下方；屈肘合腋时正当肘尖尽尖处）、胃俞（在背部，当第十二胸椎棘突下，旁开1.5寸）；
2、疳积配天枢（在腹中部，距脐中2寸）、下脘（在上腹部，前正中线上，当脐中上2寸）、三阴交（在小腿内侧，当足内踝尖上3寸，胫骨内侧缘后方）；
3、干疳配神阙（位于人体的腹中部，脐中央）、气海（在下腹部。前正中线上，当脐中下1.5寸）、膏肓（位于人体的背部，当第四胸椎棘突下旁开3寸）。
4、大便下虫配百虫窝（在大腿内侧，髌底内侧端上3寸）。。
""一定不要举例子"""
疳证之疳气的配穴有什么,"疳证之疳气的针灸治疗配穴有：太冲（在足背侧，当第1跖骨间隙的后方凹陷处）、章门（在侧腹部，当第11肋游离端的下方；屈肘合腋时正当肘尖尽尖处）、胃俞（在背部，当第十二胸椎棘突下，旁开1.5寸）。
""一定不要举例子"""
疳证之疳积的配穴有什么,"疳证之疳积的针灸治疗配穴有：天枢（在腹中部，距脐中2寸）、下脘（在上腹部，前正中线上，当脐中上2寸）、三阴交（在小腿内侧，当足内踝尖上3寸，胫骨内侧缘后方）。
""一定不要举例子"""
疳证之干疳的配穴有什么,"疳证之干疳的针灸治疗配穴有：神阙（位于人体的腹中部，脐中央）、气海（在下腹部。前正中线上，当脐中下1.5寸）、膏肓（位于人体的背部，当第四胸椎棘突下旁开3寸）、百虫窝（在大腿内侧，髌底内侧端上3寸）
""一定不要举例子"""
