question,answer,
提插法的提插幅度是多少,提插法的提插幅度的大小、层次的变化、频率的快慢和操作时间的长短，应根据患者的体质、病情、腧穴部位和针刺目的等灵活掌握。使用提插法时的指力一定要均匀一致，幅度不宜过大，一般以3～5分为宜，频率不宜过快，每分钟60次左右，保持针身垂直，不改变针刺方向、角度。,
提插法操作根据什么调整, 插法的提插幅度的大小、层次的变化、频率的快慢和操作时间的长短，应根据患者的体质、病情、腧穴部位和针刺目的等灵活掌握。,
提插法的时间,使用提插法时的指力一定要均匀一致，幅度不宜过大，一般以3～5分为宜。,
提插法的频率,使用提插法时的指力一定要均匀一致，幅度不宜过大，频率不宜过快，一般以3～5分为宜，每分钟60次左右，保持针身垂直，不改变针刺方向、角度。 ,
提插法的注意点,提插法的提插幅度的大小、层次的变化、频率的快慢和操作时间的长短，应根据患者的体质、病情、腧穴部位和针刺目的等灵活掌握。使用提插法时的指力一定要均匀一致，幅度不宜过大，一般以3～5分为宜，频率不宜过快，每分钟60次左右，保持针身垂直，不改变针刺方向、角度。 ,
捻转法的定义,是指将毫针刺入腧穴一定深度后，施以向前向后捻转动作，使针在腧穴内反复来回旋转的行针手法。,
捻转法的注意点,捻转角度的大小、频率的快慢、时间的长短等，需根据患者的体质、病情、腧穴部位和针刺目的等灵活掌握。使用捻转法时，指力要均匀，角度要适当，捻转角度一般在180°～360°，不能单向捻针，以免针体被肌纤维缠绕，引起局部疼痛或滞针而使出针困难。,
捻转法怎么做,捻转角度的大小、频率的快慢、时间的长短等，需根据患者的体质、病情、腧穴部位和针刺目的等灵活掌握。使用捻转法时，指力要均匀，角度要适当，捻转角度一般在180°～360°，不能单向捻针，以免针体被肌纤维缠绕，引起局部疼痛或滞针而使出针困难。,
捻转法的捻转角度,使用捻转法时，指力要均匀，角度要适当，捻转角度一般在180°～360°，不能单向捻针，以免针体被肌纤维缠绕，引起局部疼痛或滞针而使出针困难。,
行针的辅助手法:是行针基本手法的补充，是以促使得气和加强针刺感应为目的的操作手法。临床常用的行针辅助手法有以下6种分别是循法、弹法、刮法、摇法、飞法、震颤法。,,
行针的辅助手法的作用:以促使得气和加强针刺感应为目的的操作手法。,,
临床常用的行针辅助手法,有以下6种分别是循法、弹法、刮法、摇法、飞法、震颤法。,
循法的定义,是指针刺后在留针过程中，医者用手指顺着经脉的循行路径，在针刺腧穴的上下部位轻柔循按的方法。,
循法的作用,此法能推动气血运行，激发经气，促使针后得气。“回答时不要举例应用部位”,
弹法的定义,是指针刺后在留针过程中，医者以手指轻弹针尾或针柄，使针体微微振动的方法。,
弹法的作用,此法有催气、行气、加强针感的作用。 “回答时不要举例应用部位”,
刮法的定义,毫针刺入一定深度后，以拇指或食指的指腹抵住针尾，用食指或中指或拇指指甲，由下而上或由上而下频频刮动针柄的方法。,
刮法的作用,本法在针刺不得气时用之可激发经气，如已得气者可以加强针感的传导和扩散。 “回答时不要举例应用部位”,
摇法的定义,是指毫针刺入一定深度后，医者手持针柄，将针轻轻摇动的方法。其法有二,一是直立针身而摇，以加强得气的感应；二是卧倒针身而摇，使经气向一定方向传导。
摇法有哪几种,其法有二,一是直立针身而摇，以加强得气的感应；二是卧倒针身而摇，使经气向一定方向传导。
摇法的作用,直立针身而摇，以加强得气的感应；卧倒针身而摇，使经气向一定方向传导。“回答时不要举例应用部位”,
针灸学中飞法的定义,毫针刺入一定深度后，医者用刺手拇、食指执持针柄，细细捻搓数次，然后张开两指，一搓一放，反复数次，状如飞鸟展翅，故称飞法。,
飞法的作用,本法具有催气、行气、增强针感的作用。 ,
震颤法的定义,是指毫针刺入一定深度后，医者刺手持针柄，用小幅度、快频率的提插、捻转手法，使针身轻微震颤的方法。,
震颤法要点,毫针刺入一定深度后，医者刺手持针柄，用小幅度、快频率的提插、捻转手法，使针身轻微震颤。,
震颤法的作用,本法可促使针下得气，增强针刺感应。“回答时不要举例应用部位”,
毫针行针手法,以提插、捻转为基本操作方法，根据临证情况，选用相应的辅助手法。,
刮法、弹法的应用,刮法、弹法的应用于不宜施行大角度捻转的腧穴。“回答时不要举例应用部位”,
不宜施行大角度捻转的腧穴用什么行针手法,刮法、弹法,
飞法的应用,飞法可应用于某些肌肉丰厚部位的腧穴；“回答时不要举例应用部位”,
肌肉丰厚部位的腧穴用什么行针手法,飞法,
摇法、震颤法的应用,摇法、震颤法可用于部位较为浅表的腧穴。“回答时不要举例应用部位”,
部位较为浅表的腧穴用什么行针手法,摇法、震颤法,
各种行针手法的作用,促使针后气至或加强针刺感应，以起到疏通经络、调和气血、防治疾病的作用。,
毫针刺法,是指运用不同的毫针针具，通过一定的手法，刺激人体特定部位（腧穴），以防治疾病的方法。毫针刺法是古今针灸临床中运用最多、手法最丰富、应用最广泛的针灸治疗方法。 ,
毫针的构造,针灸临床最常用的一种针具，由针尖、针身、针根、针柄、针尾5部分构成。,
针尖,指针身的尖端部分，是毫针刺入腧穴的关键部位；,
针身,亦称针体，指针尖至针根的部分，是毫针刺入腧穴内相应深度的主要部分；,
针根,指针身与针柄的连接处，是观察针身刺入腧穴深度和提插幅度的外部标志；,
针柄,指从针根到针尾的部分，常用金属丝缠绕呈螺旋状，是医者持针、运针的主要部位，也是温针灸装置艾绒之处；,
针尾,是针柄的末端部分，多为缠柄金属丝的延续。,
毫针的材质,多以不锈钢制作而成，因其强度高、韧性好，具有耐高温、防锈、不易被腐蚀等优点，且所制针身挺直滑利，故为制作毫针的最常用材料。也有以金、银材质制作的毫针，虽传热、导电性能优于不锈钢针，但针身较粗，强度、韧性不及不锈钢针适中，加之价格昂贵，临床一般很少使用。 ,
毫针可分为,根据针柄与针尾的构成和形状不同，毫针可分为：①环柄针，又称圈柄针，即针柄用镀银或经氧化处理的金属丝缠绕成环形者；②花柄针，又称盘龙针，即针柄中间用两根金属丝交叉缠绕呈盘龙形者；③平柄针，又称平头针，即针柄用金属丝缠绕，其尾部平针柄者；④管柄针，即针柄用金属薄片制成管状者。其中，平柄针和管柄针主要在进针器和进针管的辅助下使用。,
环柄针,又称圈柄针，即针柄用镀银或经氧化处理的金属丝缠绕成环形者。,
花柄针,又称盘龙针，即针柄中间用两根金属丝交叉缠绕呈盘龙形者。,
平柄针,又称平头针，即针柄用金属丝缠绕，其尾部平针柄者；管柄针,即针柄用金属薄片制成管状者。
平柄针和管柄针使用条件,主要在进针器和进针管的辅助下使用。,
毫针的规格,以针体的直径和长度予以区分临床上使用的毫针，以直径为28～30号（0.32～0.38mm）和长度为1～3寸（25～75mm）者最为常用。,
短毫针的应用,主要用于皮肉浅薄部位的腧穴或耳穴，作浅刺之用。,
长毫针的应用,多用于肌肉丰厚部位的针刺，作深刺、透刺之用。 ,
短毫针的应用,主要用于皮肉浅薄部位的腧穴或耳穴，作浅刺之用。,
长毫针的应用,多用于肌肉丰厚部位的针刺，作深刺、透刺之用。 ,
毫针检查的目的,为确保针刺操作顺利进行，针刺前，应对拟选用的进行。,
检查时主要注意,针尖应端正不偏，形如“松针”，尖而不锐，圆而不钝，无毛钩；针身应光滑挺直，圆正匀称，富有弹性，无弯曲、折痕、斑剥、锈痕；针根应牢固，无剥蚀、损伤及毛刺；针柄的金属丝应缠绕均匀、牢固而无松动或断丝。 ,
毫针的保养的目的,除了一次性使用的毫针外，需反复使用的毫针都应注意保养，以防止针尖受损、针身弯曲或锈蚀、污染等。,
存放毫针的器具,有针盒、针管和针夹等。,
存放时的基本要求,用纱布、干棉球等柔软之物，将毫针与存放器具的四壁分隔开，以防针尖受损。已经消毒备用的毫针，存放时应避免受到污染。,
毫针的保养,除了一次性使用的毫针外，需反复使用的毫针都应注意保养，以防止针尖受损、针身弯曲或锈蚀、污染等。存放毫针的器具有针盒、针管和针夹等。存放时的基本要求用纱布、干棉球等柔软之物，将毫针与存放器具的四壁分隔开，以防针尖受损。已经消毒备用的毫针，存放时应避免受到污染。,
毫针针刺练习,包括对指力和手法的锻炼。良好的指力是施行针刺手法的基础，熟练的手法是针刺治病获效的保证。通过经常练习，使指力充足、手法熟练后，则在针刺时可以做到进针时快而不痛，行针时各种手法运用自如。反之，若指力不足，手法生疏，则在施术时难以控制针体，进针困难，患者痛感明显，行针时动作不协调，影响针刺治疗效果。因此，初学者必须勤练指力和手法。针刺的练习，一般分指力练习、手法练习和手感练习。,
毫针针刺练习,包括对指力和手法的锻炼。,
指力的作用,良好的指力是施行针刺手法的基础，熟练的手法是针刺治病获效的保证。通过经常练习，使指力充足、手法熟练后，则在针刺时可以做到进针时快而不痛，行针时各种手法运用自如。反之，若指力不足，手法生疏，则在施术时难以控制针体，进针困难，患者痛感明显，行针时动作不协调，影响针刺治疗效果。因此，初学者必须勤练指力和手法。,
针刺的练习,一般分指力练习、手法练习和手感练习。 ,
指力练习,主要在纸垫上进行。用松软的纸张，折叠成长约8cm，宽约5cm，厚2～3cm的纸垫，用线呈“井”字形扎紧，做成纸垫。练习时，押手平执纸垫，刺手拇、食指或拇、食、中三指持针柄，使针身垂直于纸垫，然后捻动针柄，并逐渐加力，将针刺入纸垫内。待针穿透纸垫后，再捻转退针，另换一处，反复练习。练习初期，可选用1～1.5寸、24～30号的毫针，待有了一定指力后，可再改用其他型号的毫针。,
手法练习,主要在棉团上进行。将棉花塞入白色布袋，或用棉线或毛线缠绕后外包白布，做成直径6～7cm的圆球，即可练习。因棉团松软，可以练习提插、捻转、进针、出针等各种毫针操作手法。持针方法同指力练习。做提插练习时，将针刺入棉团，在原处做上提下插的动作，要求深浅适宜，幅度均匀，针身垂直，动作连贯。在此基础上，可将提插与捻转动作配合练习，要求提插幅度上下一致、捻转角度来回一致、操作频率快慢一致，逐步达到动作协调、运用自如的程度。,
手感练习,将瓦楞纸剪制成10cm×10cm大小，厚2～3cm，松紧适度的纸垫，押手平执纸垫，刺手持针，持针方法同指力练习。进针时，应聚精会神，仔细体会针下感觉。由于瓦楞纸厚薄不匀，故每针下去，针下或感觉空松无物，或感觉紧涩坚韧。练习日久，不仅可增强指力，更可以提高对针下感觉的敏锐觉察能力。在此基础上，可在自身或他人穴位上试针，并体会手感。 ,
毫针的选择,临床实践中，应根据患者的性别、年龄、胖瘦、体质强弱、病情虚实、病变部位深浅，以及拟选腧穴所在部位，选择长短、粗细适宜的毫针。如男性患者、体壮、形胖、病变部位较深者，可选较粗、稍长的毫针；反之，若女性患者、体弱、形瘦，且病变部位较浅者，就应选用稍短、较细的毫针。此外，若拟选腧穴的所在部位皮薄肉少，针刺宜浅，宜选短而细的毫针；若所选腧穴处于皮厚肉多的部位，针刺较深，则宜选用针身稍长、稍粗的毫针。所选毫针的针身应稍长于腧穴应该针至的深度，且有部分露于皮肤之外。如应刺入1寸时，可选用1.5～2寸的毫针。总之，选择毫针应适宜，否则，难以取得满意的治疗效果。,
较粗、稍长的毫针适用人群,男性患者、体壮、形胖、病变部位较深者。,
稍短、较细的毫针适用人群,女性患者、体弱、形瘦，且病变部位较浅者。,
短而细的毫针适用穴位,选腧穴的所在部位皮薄肉少，针刺宜浅。,
针身稍长、稍粗的毫针适用穴位,所选腧穴处于皮厚肉多的部位，针刺较深。,
所选毫针的针身要求,应稍长于腧穴应该针至的深度，且有部分露于皮肤之外。如应刺入1寸时，可选用1.5～2寸的毫针。总之，选择毫针应适宜，否则，难以取得满意的治疗效果。,
毫针进针法,指将毫针刺入腧穴的操作方法。在进行针刺操作时，一般是双手协同，紧密配合。《灵枢·九针十二原》云,“右主推之，左持而御之。”临床上一般以右手持针操作，以拇、食、中指夹持针柄，其状如持毛笔，将针刺入穴位，故称右手为“刺手”；左手爪切按压所刺部位或辅助固定针身，故称为“押手”。 
针灸刺手的定义,右手为“刺手”，临床上一般以右手持针操作，以拇、食、中指夹持针柄，其状如持毛笔，将针刺入穴位，故称右手为“刺手”。,
针灸押手的定义,左手为“押手”，左手爪切按压所刺部位或辅助固定针身，故称左手为“押手”。,
临床常用进针方法,单手进针法、双手进针法、针管进针法。双手进针法又有指切进针法、夹持进针法、舒张进针法、提捏进针法。,
单手进针法的操作,指仅运用刺手将针刺入穴位的方法，多用于较短毫针的进针。用刺手拇、食指持针，中指指端紧靠穴位，指腹抵住针身中部，当拇、食指向下用力时，中指也随之屈曲，将针刺入，直至所需的深度。此外，还有用拇、食指夹持针身，中指指端抵触穴位，拇、食指所夹持的毫针沿中指尖端迅速刺入。 ,
双手进针法的操作,指刺手与押手相互配合，将针刺入穴位的方法。常用的双手进针法有以下四种, 指切进针法、夹持进针法、舒张进针法、提捏进针法。
指切进针法,又称爪切进针法。用押手拇指或食指指端切按在腧穴皮肤上，刺手持针，紧靠押手切按腧穴的手指指甲面将针刺入腧穴。此法适用于短针的进针。 ,
夹持进针法,又称骈指进针法。即用押手拇、食二指持捏无菌干棉球夹住针身下端，将针尖固定在拟刺腧穴的皮肤表面，刺手向下捻动针柄，押手同时向下用力，将针刺入腧穴。此法适用于长针的进针。,
舒张进针法,用押手食、中二指或拇、食二指将拟刺腧穴处的皮肤向两侧撑开，使皮肤绷紧，刺手持针，使针从押手食、中二指或拇、食二指的中间刺入。此法主要用于皮肤松弛部位的腧穴。,
提捏进针法,用押手拇、食二指将拟刺腧穴部位的皮肤提起，刺手持针，从捏起皮肤的上端将针刺入。此法主要用于印堂穴等皮肉浅薄部位的腧穴。临床上应根据腧穴所在部位的解剖特点、针刺深浅和手法要求，灵活选用以上各种进针法，使进针顺利并减轻患者的疼痛。,
针管进针法,指利用针管将针刺入穴位的方法。针管多用玻璃、塑料或金属制成，长度应比毫针短3分左右。针管的直径，以不阻碍针尾顺利通过为宜。使用时，先将针插入针管内，针尖与针管下端平齐，置于拟刺腧穴上，针管上端露出针柄3分左右。押手持针管，用刺手食指叩打或用中指弹击针尾，即可使针刺入皮肤，然后退出针管，再将针刺入穴内。也可用安装弹簧的特制进针器进针。此法进针不痛，多用于儿童和惧针者。,
正确针刺方向、角度和深度的意义,在针刺操作过程中，掌握正确的针刺方向、角度和深度，既是确保腧穴深层次定位正确性的基础，也是增强针感、提高疗效、防止意外的关键。同一腧穴，由于针刺的方向、角度、深度的不同，所产生针感的强弱、感传方向和治疗效果常有明显差异。针刺的方向、角度和深度，应根据针刺腧穴所在位置、患者体质、病情需要和针刺手法等实际，灵活运用。 ,
针刺的方向,是指进针时针尖的朝向，一般依经脉循行的方向、腧穴部位的特点和治疗的需要而确定。 包括依经脉循行定方向、依腧穴部位特点定方向、依治疗需要定方向。,
依经脉循行定方向的作用,根据经脉循行走向，或顺经而刺，或逆经而刺，以达到疏通经气、提高疗效的目的。 ,
依腧穴部位特点定方向的作用,根据腧穴部位的特点，针刺某些腧穴时必须朝向某一特定方向，方能保证治疗效果和针刺安全。如针刺哑门时，针尖应朝向下颌方向；针刺某些背部腧穴时，针尖应朝向脊柱方向。 ,
依治疗需要定方向的作用,根据治疗需要，针刺时针尖朝向病所，促使针刺感应达到病变部位，通过气至病所以提高治疗效果。 ,
针刺的角度,指进针时针身与皮肤表面所形成的夹角。它是根据腧穴所在的位置和医者针刺时所要达到的目的而确定的。一般分为以下3种角度, 直刺、斜刺、平刺。
直刺的定义,指针身与皮肤表面呈90°垂直刺入体内。此法适用于人体大部分腧穴。 ,
斜刺的定义,指针身与皮肤表面呈45°左右刺入体内。此法适用于肌肉浅薄处或内有重要脏器，或不宜直刺、深刺的腧穴。 ,
平刺的定义,又称横刺、沿皮刺，指针身与皮肤表面呈15°左右或以更小的角度刺入体内。此法适用于皮薄肉少部位的腧穴，如头部、胸胁部的腧穴等。 ,
针刺的深度,指针身刺入腧穴内的深浅度。针刺深度的确定以安全且取得针感为原则。各腧穴的针刺深度，在经络腧穴各论中已有详述，临床上还需结合患者的体质、年龄、病情、部位等情况来调整。 ,
针刺深度的确定原则,以安全且取得针感为原则。,
各腧穴的针刺深度选择,在经络腧穴各论中已有详述，临床上还需结合患者的体质、年龄、病情、部位等情况来调整。 ,
按年龄针刺深度选择,年老体弱、气血虚衰，小儿稚嫩，均不宜深刺；中青年身强体壮者，可适当深刺。 ,
按体质针刺深度选择,形瘦体弱者，宜浅刺；形胖体强者，宜深刺。 ,
按病情针刺深度选择,阳证、新病者，宜浅刺；阴证、久病者，宜深刺。 ,
按部位针刺深度选择,头面、胸背及皮薄肉少处腧穴，宜浅刺；四肢、臀、腹及肌肉丰厚处腧穴，宜深刺。 ,
按季节针刺深度选择,不同季节对针刺深浅的要求也不同，一般“春夏宜刺浅，秋冬宜刺深”。 ,
透穴刺法,一种将针刺方向、角度和深度有机结合，从一个穴位刺向另一个穴位的特殊针刺方法。腧穴确定后，将针尖朝向欲透刺的腧穴方向，针身与皮肤呈一定角度，将针刺入腧穴，针下得气后，再将针刺向并抵达另一个腧穴。,
透刺形式,可分为直透、横透和斜透；根据透刺穴位，又可分为本经穴透刺、表里经穴透刺、相邻经穴透刺等。 ,
针刺的角度和深度关系,极为密切。一般来说，深刺多用直刺，浅刺多用斜刺、平刺。,
