index,content
麻黄杏仁甘草石膏汤的附方组成？,【附方】越婢汤（《金匮要略》）麻黄六两(12g)石膏半斤(24g)生姜三两(9g)甘草二两(6g)大枣十五枚(12g)上五味，以水六升，先煮麻黄，去上沫，内诸药，煮取三升，分温三服。
麻黄杏仁甘草石膏汤的附方功用？,【功用】：发汗行水。主治：风水夹热证。症见恶风，一身悉肿，脉浮不渴，续自汗出，无大热者。
麻黄杏仁甘草石膏汤的方论选录？,【方论选录】石裔为清火之重剂，青龙、白虎皆赖以建功。然用之不当，适足以召祸。故青龙以无汗烦躁，得姜、桂以宣卫外之阳也；白虎以有汗烦渴，须梗米以存胃中之液也。此但热无寒，故不用姜、桂，喘不在胃而在肺，故不须梗米。其意在存阴，不必虑其亡阳也，故于麻黄汤去桂枝之监制，取麻黄之专开，杏仁之降，甘草之和，倍石膏之大寒，除内外之实热，斯漆凑汗出，而内外之烦热与喘悉除矣。（吴谦《医宗金鉴．删补名医方论》）
麻黄杏仁甘草石膏汤的方歌？,【方歌】仲景麻杏甘石汤，辛凉宣肺清热良，邪热壅肺咳喘急，有汗无汗均可尝。
柴葛解肌汤的组成？,【组成】柴胡(6g)干葛(9g)甘草(3g)黄芩(6g)羌活(3g)白芷(3g)芍药(6g)桔梗(3g)（原著本方无用址）
柴葛解肌汤的用法？,【用法】水二蛊，加生姜三片，大枣二枚，梩法加石膏未一钱(3g)，煎之热服（现代用法：水煎温服）。
柴葛解肌汤的功效？,【功用】解肌清热。
柴葛解肌汤的主治？,【主治】外感风寒，郁而化热证。恶寒渐轻，身热增盛，无汗头痛，目疼鼻干，心烦不眠，咽干耳聋，眼眶痛，舌苔薄黄，脉浮微洪。
柴葛解肌汤的证治机理？,【证治机理】本方所治证候乃太阳风寒未解，化热入里。外感风寒，本应恶寒较甚，而此恶寒渐轻、身热增盛者，为寒郁肌滕逐渐化热所致。因表寒未解，故恶寒仍在，并见头痛、无汗等症。阳明经脉起千鼻，经眼眶下行；少阳经脉行于耳后，经面颊到眶下。入里之热初犯阳明、少阳，故目疼鼻干、眼眶痛、咽干、耳聋；热扰心神，则见心烦不眠；脉浮而微洪，是外有表邪、里有热邪之征。此证乃太阳风寒未解，郁而化热，渐次传入阳明，波及少阳，故属三阳合病。治宜辛凉解肌，兼清里热。
柴葛解肌汤方解？,【方解】方中葛根味辛性凉入阳明，外透肌热，内清郁热，《本草经疏》谓其为解散阳明温病热邪之要药；柴胡味辛性寒入少阳，为少阳经表药(《本草经疏》），善于祛邪解表退热。二药相须，解肌清热之力着，共享为君。羌活、白芷助君药辛散发表，并止诸痛；黄芩、石膏清泄里热，俱为臣药。其中葛根配白芷、石膏，清透阳明之邪热；柴胡配黄芩，透解少阳之邪热；羌活发散太阳之风寒。如此配合，三阳兼治，治阳明为主。桔梗宣畅肺气以利祛邪外出；芍药、大枣益阴养血，既防热邪伤阴，又制疏散太过；生姜发散风寒，均为佐药。甘草调和药性，为使药。诸药相伍，温清并用，三阳同治，表里兼顾，重在疏泄透散。
柴葛解肌汤附方？,"【附方】柴葛解肌汤（《医学心悟》）
柴胡－钱二分(6g)葛根－钱五分(6g)黄芩－钱五分(6g)赤芍－钱(6g)甘草五分(3g)知母－钱(5g)生地二钱(9g)丹皮－钱五分(3g)贝母－钱(6g)水煎服。心烦，加淡竹叶十片(3g)；澹语，加石膏三钱(12g)。"
柴葛解肌汤附方功用？,功用：解肌清热。主治：外感风热，里热亦盛证。症见不恶寒而口渴，舌苔黄，脉浮散。
柴葛解肌汤的运用特点？,【运用】本方为治疗太阳风寒未解，入里化热，初犯阳明或三阳合病之常用方。以发热重，恶寒轻，头痛，眼眶痛，鼻干，脉浮微洪为辨证要点。原著强调：本经无汗，恶寒甚者，去黄芩，加麻黄。冬月宜加，春宜少，夏秋去之，加苏叶。
柴葛解肌汤的鉴别？,【鉴别】程氏《医学心悟》方比陶氏《伤寒六书》柴葛解肌汤少羌活、白芷、桔梗，是因其主治为外感风热，而里热较重，故减辛温香燥之品，以防助热伤津；虽去石膏，但配入知母、贝母、丹皮、生地，不仅清热，尚能滋阴；若见澹语，则其力不逮，故又加入石膏。程氏方重在清里，陶氏方重在解肌。
柴葛解肌汤的方论选录？,【方论选录】治三阳合病，风邪外客，表不解而里有热者。故以柴胡解少阳之表，葛根、白芷解阳明之表，羌活解太阳之表，如是则表邪无容足之地矣。然表邪盛者，内必郁而为热，热则必伤阴，故以石膏、黄芩清其热，芍药、甘草护其阴，桔梗能升能降，可导可宣，使内外不留余蕴耳。用姜、枣者，亦不过藉其和营卫，致津液，通表里，而邪去正安也。（张秉成《成方便读》卷一）
柴葛解肌汤的方歌？,【方歌】柴葛解肌陶氏汤，邪在三阳热势张，芩芍桔甘羌活芷，石膏大枣与生姜。
升麻葛根汤的组成？,【组成】升麻白芍药甘草炙，各十两（各6g)葛根十五两(9g)
升麻葛根汤的用法？,【用法】上为粗末。每服三钱(9g)，用水一盏半，煎取一中盏，去滓，稍热服，不计时候，一日二三次。以病气去，身清凉为度（现代用法：水煎服）。
升麻葛根汤的功效？,【功用】解肌透疹。
升麻葛根汤的主治？,【主治】麻疹初起。疹发不出，身热头痛，咳嗽，目赤流泪，口渴，舌红，苔薄而干，脉浮数。
升麻葛根汤的证治机理？,【证治机理】麻疹由肺胃蕴热，又感麻毒时疫之邪所致。若麻疹初起，又遇外邪袭表，抑遏疹毒外达之机，以致疹发不出，或疹出不畅。麻毒、外邪侵犯肺卫，邪正相争，清肃失调，则身热头痛、咳嗽、脉浮数等；风邪疹毒上攻头面，故目赤流泪；热灼津伤，则口渴，舌红苔千。治当辛凉解肌，透疹解毒。
升麻葛根汤方解？,【方解】方中升麻辛甘微寒，入肺、胃经，为透疹之要药，既可辛散透疹，又能清热解毒，为君药。葛根辛甘性凉，入胃经，解肌透疹，生津除热，为臣药。二药轻扬升散，通行肌表内外，对疹毒欲透未透、病势向外者，能因势利导，相配则透达疹毒之功彰。芍药益阴和营，以防君臣升散太过，为佐药。使以炙甘草调和药性。四药配伍，辛凉与酸甘合法，主以升散清解，少佐酸敛益阴，共奏解肌透疹之功。
升麻葛根汤的运用特点？,【运用】本方为治疗麻疹未发，或发而不透之基础方。以疹发不出或出而不畅，舌红，脉数为辨证要点。
升麻葛根汤的鉴别？,【鉴别】升麻葛根汤、宣毒发表汤与竹叶柳劳汤均有透疹清热之功，用治麻疹初起，透发不出。升麻葛根汤专千解肌透疹，其透散清热之力皆不强，是治麻疹初起未发之基础方。宣毒发表汤为升麻葛根汤去芍药，加荆、防、牛、薄解肌清热，助升麻、葛根透疹除热；加积、桔、前宣畅肺气，止咳祛痰；加连翘清上焦之热，木通、竹叶导热下行，甘草和中。本方宣肺与清热之力均强于升麻葛根汤。竹叶柳劳汤用西河柳、葛根透疹；牛蒡子、蝉蜕、薄荷疏风清热解毒；竹叶清热除烦；荆、葛解肌开滕；知母、玄参、麦冬清热生津，甘草和中。是方不仅透疹清热之力大，且兼生津止渴之功，主治麻疹透发不出、热毒内蕴兼有津伤。
升麻葛根汤的方论选录？,【方论选录】表热壮盛，此邪实于表也。经曰：轻可以去实，故用升麻、葛根以疏表，甘草佐之，可以和在表之气。芍药佐之，可以和在表之荣，去其实邪，和其营卫，风寒则解，毒疹则出，诚初间之良剂也。如至四五日，痐中夹疹者，亦此方主之。疹散，只依常法治痐。（吴峎《医方考》卷六）
升麻葛根汤的附方宣毒发表汤组成？,宣毒发表汤（《医宗金鉴》）升麻(3g)葛根(3g)前胡(5g)桔梗(3g)枳壳肤炒(3g)荆芥(3g)防风(3g)薄荷(3g)木通(3g)连翘去心(5g)牛蒡子炒，研(5g)淡竹叶(2g)生甘草(2g)引加元荽，水煎服。
升麻葛根汤的附方宣毒发表汤功用？,功用：解表透疹，止咳利咽。主治：麻疹初起，透发不畅。症见发热咳嗽，烦躁口渴，小便赤。
升麻葛根汤的附方竹叶柳劳汤组成？,竹叶柳劳汤（《先醒斋医学广笔记》）西河柳五钱(15g)荆芥穗－钱(3g)干葛－钱五分(4.5g)蝉蜕－钱(3g)薄荷叶－钱(3g)鼠粘子炒，研，一钱五分(4.5g)知母蜜炙，一钱(3g)玄参二钱(6g)甘草－钱(3g)麦门冬去心，三钱(9g)竹叶三十片(3g)（甚者加石裔五钱，冬米－撮）水煎服。
升麻葛根汤的附方竹叶柳劳汤功用？,功用：透疹解表，清热生津。主治：筋疹初起，透发不出。症见喘嗽，鼻塞流涕，恶寒轻，发热重，烦闷躁乱，咽喉肿痛，唇干口渴，苔薄黄而干，脉浮数。
升麻葛根汤的方歌？,【方歌】《局方》升麻葛根汤，芍药甘草合成方，麻疹初起出不透，解肌透疹此方良。
葱鼓桔梗汤的组成？,【组成】鲜葱白三枚至五枚(9g)苦枯梗－钱至钱半(5g)焦山枙二钱至三钱(6g)淡豆鼓三钱至五钱(9g)苏薄荷－钱至钱半(5g)青连翘钱半至二钱(6g)生甘草六分至八分(2g)鲜淡竹叶三十片(3g)
葱鼓桔梗汤的用法？,【用法】水煎服（现代用法：水煎服）。
葱鼓桔梗汤的功效？,【功用】疏风清热。
葱鼓桔梗汤的主治？,【主治】风温初起证。头痛身热，微恶风寒，咳嗽，咽痛，口渴，舌尖红，苔薄白，脉浮数。
葱鼓桔梗汤的证治机理？,【证治机理】风温初起乃风热之邪侵犯肺卫所致。风热袭表，卫气被郁，则发热、微恶风寒；风邪袭阳位，致经脉不利，故头痛；肺气失宣，则咳嗽；风热侵袭肺系门户，则咽痛；温热伤津，则口渴；舌尖红，苔薄白，脉浮数，均为风温初起之征。治当疏风兼以清热。
葱鼓桔梗汤方解？,【方解】方中葱白辛温通阳，豆鼓解肌发表，二者合用，疏风散邪，共为君药。薄荷、连翘疏散风热，助君解表，用以为臣。桔梗宣肺止咳利咽；山枙、竹叶清泻心肺之热，并导热从小便而去，俱为佐药。生甘草合桔梗以清利咽喉，又可调和药性，为佐使之用。如此配伍，使风温之邪，既得辛散从外而解，又得清泄从下而去，诸症悉除。
葱鼓桔梗汤的运用特点？,【运用】本方为治疗风温初起证之常用方。以头痛身热、咳嗽、咽痛、口渴、脉浮数为辨证要点。俞氏加减法：如咽阻喉痛者，加紫金锭两粒磨冲，大青叶三钱；如胸疮，原方去甘草，加生枳壳二钱，白翘未八分冲；如发疹，加蝉衣十二只，皂角刺五分，大力子三钱；如咳甚痰多，加苦杏仁三钱，广橘红钱半；如鼻衄，加生侧柏叶四钱，鲜茅根五十支、去衣；如热盛化火，加条芩二钱，绿豆二两煎药；如火旺就燥，加生石营八钱，知母四钱。
葱鼓桔梗汤的方论选录？,【方论选录】《肘后》葱鼓汤，本为发汗之通剂，配合刘河间桔梗汤，君以荷、翘、桔、竹之辛凉，佐以枙、草之苦甘，合成轻扬清散之良方。善治风温、风热等初起证候，历验不爽。惟刘氏原方，尚有黄芩一味，而此不用者，畏其苦寒化燥，凅其汗源也。若风火证初起，亦可酌加。（俞根初《重订通俗伤寒论》）
葱鼓桔梗汤的方歌？,【方歌】葱鼓桔梗薄荷翘，山枙竹叶合甘草，热邪束肺嗽咽痛，风温初起此方疗。
败毒散（原名人参败毒散）的组成？,【组成】柴胡去苗，甘草，枯梗，人参去芦，川芎，茯苓去皮，枳壳去帜麸炒，前胡去苗洗，羌活去苗，独活去苗，各三十两（各9g)
败毒散（原名人参败毒散）的用法？,"【用法】为粗未。每服二钱(6g)，水一盏，入生姜、薄荷各少许，同煎七分，去滓，不拘时候，寒多则热服，热多则温服（现代用法：加生姜3g,薄荷2g,水煎服）。"
败毒散（原名人参败毒散）的功效？,【功用】散寒祛湿，益气解表。
败毒散（原名人参败毒散）的主治？,【主治】气虚外感风寒湿证。憎寒壮热，头项强痛，肢体酸痛，无汗，鼻塞声重，咳嗽有痰，胸膳疮满，舌苔白腻，脉浮而重按无力。
败毒散（原名人参败毒散）的证治机理？,【证治机理】本证是由气虚而风寒湿邪束表，痰湿内生，肺气失宣所致。风寒湿邪束于肌表，卫阳被遏，邪正交争，故见憎寒壮热、无汗；寒主收引，湿性重着，肢体关节经络气血运行不畅，故头项强痛、肢体酸痛；脾虚气弱，湿痰内生，加之风寒犯肺，肺失宣降，故鼻塞声重、咳嗽有痰、胸脱疮满、舌苔自腻；脉浮、重按无力，为气虚外感之征。由千元气素弱之人，药虽外行，气从中俀，轻者半出不出，留连为困；重者随元气缩入，发热无休(《寓意草》），故以散寒祛湿，益气解表立法。
败毒散（原名人参败毒散）方解？,【方解】方中羌活、独活并用，祛风散寒，除湿止痛，通治一身上下之风寒湿邪，共为君药。柴胡发散退热，助君解表；川芎行气活血，助君宣痹止痛，俱为臣药。桔梗宣肺，枳壳降气，前胡化痰，茯苓渗湿，升降相合，宽胸利气，化痰止咳，皆为佐药。佐入人参，意在扶助正气以鼓邪外出，并使祛邪不更伤正气，且可防邪复入。如喻昌所论：虚弱之体，必用人参三、五、七分，入表药中少助元气，以为驱邪之主，使邪气得药，一涌而去，全非补养虚弱之意也。(《寓意草》）生姜、薄荷为引，以助发散表邪；甘草调和药性，兼以益气和中，共为佐使。诸药相伍，主辛温以解表，辅宣肃以止咳，佐益气以助祛邪，共奏祛风散寒、除湿止痛、宽胸利气、化痰止咳之功。喻嘉言又用本方治外邪陷里而成痢疾者，使陷里之邪还出表解，此谓逆流挽舟之法。
败毒散（原名人参败毒散）的运用特点？,【运用】本方原名人参败毒散，为益气解表之常用方。以恶寒发热，头身重痛，无汗，脉浮、重按无力为辨证要点。
败毒散（原名人参败毒散）的鉴别？,【鉴别】荆防败毒散即败毒散去人参、生姜、薄荷，加荆井、防风而成，其祛风散寒之力增强而无扶正之功，为祛风散寒、除湿解表之剂，是治疗外感风寒湿表证之常用方。原用治疮疡初起，寒热尤汗者。
败毒散（原名人参败毒散）的方论选录？,【方论选录】此足太阳、少阳、手太阴药也。羌活入太阳而理游风；独活入少阴而理伏风，兼能去湿除痛；柴胡散热升清，协川芎和血平肝，以治头痛目昏；前胡、枳壳降气行痰，协桔梗、茯苓以泄肺热而除湿消肿；甘草和里而发表；人参辅正以匡邪，疏导经络，表散邪滞，故曰败毒。（汪昂《医方集解．发表之剂》）
败毒散（原名人参败毒散）的医案举例？,【医案举例】一人饮酒患伤风，头疼身疼，如火热，骨痛无比，不吃饭，人参败毒散加干葛。（《名医类案》）
败毒散（原名人参败毒散）的方歌？,【方歌】人参败毒茯苓草，枳桔柴前羌独笃，薄荷少许姜三片，四时感冒有奇功。
败毒散（原名人参败毒散）的附方组成？,【附方】荆防败毒散（《摄生众妙方》）羌活，独活，柴胡，前胡，枳壳，茯苓，荆芥，防风，桔梗，川芍各一钱五分（各4.5g)甘草五分(1.5g)用水一蛊半，煎至八分，温服。
败毒散（原名人参败毒散）的附方功用？,功用：发汗解表，消疮止痛。主治：疮肿初起。症见红肿疼痛，恶寒发热，无汗不渴，舌苔薄白，脉浮数。
参苏饮的组成？,【组成】陈皮去白枳壳去凯，麸炒桔梗去芦甘草炙木香各半两（各6g)半夏紫苏用叶干葛洗前胡去苗人参去芦茯苓去皮，各三分（各9g)
参苏饮的用法？,【用法】上哎咀。每服四钱(12g)，水一盏半，姜七片，枣一个，煎六分，去滓，微热服，不拘时候（现代用法：加生姜7片，大枣l枚，水煎温服）。
参苏饮的功效？,【功用】益气解表，理气化痰。
参苏饮的主治？,【主治】气虚外感，内有痰湿证。恶寒发热，无汗，头痛鼻塞，咳嗽痰白，胸肮满闷，倦怠无力，气短懒言，苔白脉弱。
参苏饮的证治机理？,【证治机理】本证由素体气虚，内有痰湿，又外感风寒而致。风寒束表，正邪交争，卫阳郁遏，肺气郁闭，故见恶寒发热、无汗、头痛鼻塞；风寒犯肺，痰湿内壅，气机不畅，故咳嗽痰白、胸院满闷；倦怠无力、气短懒言、脉弱，乃气虚之征。气虚则无力鼓邪，法当益气解表，理气化痰。
参苏饮方解？,【方解】方中苏叶辛温，发散表邪，宣肺宽中，故为君药。臣以葛根助君药发散风寒，解肌舒筋。佐以半夏、前胡、桔梗化痰止咳；陈皮、木香、枳壳理气宽胸；脾为生湿生痰之源，茯苓健脾渗湿以治生痰之源。化痰与理气兼顾，既寓治痰先治气之意，又使升降复常，有助于表邪之宣散、肺气之开阖。更佐入人参益气扶正，既助解表，又使表药祛邪不伤正。炙甘草合茯苓、人参益气健脾，兼和诸药，为佐使。煎服时，少加生姜、大枣，可助发表、益脾。诸药相合，散补同用，燥行合法，散不伤正，补不留邪，使邪去正安，气顺痰消。
参苏饮的运用特点？,【运用】本方为治疗气虚外感风寒，内有痰湿证之常用方。以恶寒发热，无汗头痛，咳痰色白，胸胱满闷，倦怠乏力，苔白，脉弱为辨证要点。
参苏饮的鉴别？,【鉴别】参苏饮与败毒散皆佐入人参、茯苓、甘草，治气虚外感风寒之证。然败毒散以羌活、独活、川芎、柴胡等祛邪为主，以治风寒夹湿之表证；而参苏饮以苏叶、葛根配半夏、陈皮等，治外感表邪而内有痰湿之证。
参苏饮的方论选录？,【方论选录】盖邪之所凑，其气必虚，故君人参以补之。皮毛者，肺之合也，肺受风寒，皮毛先病，故有头痛无汗、发热憎寒之表，以苏叶、葛根、前胡为臣以散之。肺一受邪，胸中化浊，故用桔、积、二陈以清之，则咳嗽、涕唾稠黏、胸脱满闷之证除矣。加木香以宣诸里气，加姜、枣以调诸表气，斯则表里之气和，和则解也。（吴谦《医宗金鉴删补名医方论》）
参苏饮的医案举例？,【医案举例】相国戴莲士，发热，头痛，干呕，烦躁。众皆以冬月伤寒，当用麻黄汤发汗。余曰：脉浮大而滑，此外感风寒，内停痰饮，且脉浮而不紧，邪尚轻浅，非伤寒邪甚而深也，宜进参苏饮去枣，加杏仁、葱白，以解表和中，则邪散而痰消矣。次日客邪悉退，脉静身，惟心部虚涩，乃思虑劳心，故虚烦不寐，易服归脾汤。数帖而愈。（《临证医案笔记》）
参苏饮的方歌？,【方歌】参苏饮内用陈皮，枳壳前胡半夏宜，干葛木香甘桔获，内伤外感此方推。
再造散的组成？,【组成】黄苠(6g)人参(3g)桂枝(3g)甘草(1.5g)熟附(3g)细辛(2g)羌活(3g)防风(3g)川芍(3g)煨生姜(3g)（原著本方无用晕）
再造散的用法？,"【用法】水二蛊，枣二枚，煎至一蛊。梩法再加炒芍药一撮，煎三沸，温服（现代用法：加大枣2枚，炒白芍3g,水煎服）。"
再造散的功效？,【功用】助阳益气，解表散寒。
再造散的主治？,【主治】阳气虚弱，外感风寒表证。恶寒发热，热轻寒重，无汗肢冷，倦怠嗜卧，面色苍白，语声低微，舌淡苔白，脉沉无力或浮大无力。
再造散的证治机理？,【证治机理】本证为素体阳气虚弱，复感风寒所致。恶寒发热，无汗，是外感风寒、邪在肌表之象。热轻寒重与肢冷嗜卧、神疲懒言、面色苍白并见，则是素体阳气虚弱，又感风寒之征。素体阳虚，四肢失于温煦，故肢冷嗜卧；阳气衰微，故见神疲懒言、面色苍白、脉沉细无力。阳加于阴谓之汗，若阳气虚绥，无力作汗，服发汗药二三剂，汗不出者，此为无阳证（《伤寒六书》）。若强发其汗，易致阳随汗脱，唯有助阳益气与解表散寒兼顾，方为两全之策。
再造散方解？,【方解】方中君以桂枝、羌活，臣以防风、细辛，君臣相伍旨在发散风寒。佐入熟附子温补元阳，黄苠、人参补益元气，既可鼓舞正气以利发散，又可防止阳随汗脱；川芎行气活血，并能祛风；白芍养血敛阴，合桂枝有调和营卫之意，并制附、桂、羌、辛诸药之温燥；煨生姜温胃，大枣滋脾，合用以助脾胃升发之气，滋汗源以助解表。使以甘草调和药性。诸药相合，辛温与甘温合法，共成助阳益气、解表散寒之功。
再造散的运用特点？,【运用】本方为益气助阳解表之常用方。以恶寒发热，热轻寒重，无汗，肢冷倦怠，舌淡苔白，脉沉无力为辨证要点。
再造散的方论选录？,【方论选录l此足太阳药也。经曰：阳之汗，以天地之雨名之。太阳病汗之无汗，是邪盛而真阳虚也。故以参、苠、甘草、姜、桂、附子大补其阳，而以羌、防、笃、细发其表邪；加芍药者，千阳中敛阴，散中有收也。人第知参、苠能止汗，而不知能发汗。以在表药队中，则助表药而能解散也。东垣、丹溪治虚人感冒，多用补中益气加表药，即同此意也。（《伤寒六书》）
再造散的方歌？,【方歌】再造散用参苠甘，桂附羌防笃芍参，细辛加枣煨姜煎，阳虚无汗法当谙。
麻黄细辛附子汤的组成？,【组成】麻黄去节，二两(6g)细辛二两(3g)附子炮，去皮，一枚，破八片(9g)
麻黄细辛附子汤的用法？,【用法】上三味，以水一斗，先煮麻黄，减二升，去上沫，内诸药，煮取三升，去滓，温服一升，日三服（现代用法：水煎服）。
麻黄细辛附子汤的功效？,【功用】助阳解表。
麻黄细辛附子汤的主治？,【主治】素体阳虚，外感风寒表证。发热，恶寒甚剧，其寒不解，神疲欲寐，脉沉微。
麻黄细辛附子汤的证治机理？,【证治机理】本证是因素体阳虚，复感风寒所致。外受风寒，邪正相争则恶寒发热。加之素体阳虚，故恶寒甚剧，其寒不解；神疲欲寐，脉不浮反沉微，更知阳气虚弱。此阳虚外感，表里俱寒之证。若纯以辛温发散，则因阳虚而无力作汗，或虽得汗必致阳随液脱，治当助阳与解表并行。
